Gene stable ID	Musa acuminata gene stable ID	%id. target Musa acuminata gene identical to query gene	%id. query gene identical to target Musa acuminata gene
BAC19852	GSMUA_AchrUn_randomG03100_001	30.4615	80.4878
BAC19853	GSMUA_AchrUn_randomG10140_001	81.0714	97.0085
BAC19854	GSMUA_AchrUn_randomG19600_001	21.8274	53.0864
BAC19860	GSMUA_AchrUn_randomG14210_001	72.2581	69.5652
BAC19862	GSMUA_AchrUn_randomG10130_001	85.8537	85.0242
BAC19863	GSMUA_AchrUn_randomG03210_001	90.8333	86.8526
BAC19865	GSMUA_AchrUn_randomG07980_001	82.1561	81.25
BAC19871	GSMUA_AchrUn_randomG03090_001	65.8064	86.4407
BAC19872	GSMUA_AchrUn_randomG03080_001	90.4	90.4
BAC19874	GSMUA_AchrUn_randomG09050_001	28.5714	65.0943
BAC19885	GSMUA_AchrUn_randomG03290_001	94.6667	86.5854
BAC19887	GSMUA_AchrUn_randomG10070_001	78.4946	79.3478
BAC19889	GSMUA_Achr10G24130_001	82.5726	9.9153
BAC19889	GSMUA_Achr5G16520_001	2.90456	0.622222
BAC19889	GSMUA_Achr5G16530_001	79.6681	21.2389
BAC19889	GSMUA_Achr7G16080_001	80.9129	10.036
BAC19890	GSMUA_AchrUn_randomG10100_001	42.8212	64.3939
BAC19892	GSMUA_AchrUn_randomG07960_001	51.1628	31.0954
BAC19894	GSMUA_AchrUn_randomG03330_001	60.3211	78.979
BAC19898	GSMUA_AchrUn_randomG10090_001	76.5957	78.2609
BAC19899	GSMUA_AchrUn_randomG15230_001	80.943	80.4688
BAC19900	GSMUA_AchrUn_randomG05630_001	88.4211	88.4211
BAC19903	GSMUA_AchrUn_randomG09680_001	84.9515	84.9515
CAA33909	GSMUA_AchrUn_randomG29040_001	58.427	85.2459
CAA33912	GSMUA_Achr6G06682_001	60	60.6742
CAA33919	GSMUA_Achr11G00200_001	17.9487	47.4576
CAA33927	GSMUA_Achr3G31260_001	67.7419	71.5909
CAA33927	GSMUA_Achr9G14720_001	31.1828	63.0435
CAA33935	GSMUA_Achr11G15530_001	48.3221	55.814
CAA33942	GSMUA_Achr11G00200_001	17.9487	47.4576
CAA33948	GSMUA_Achr6G06682_001	60	60.6742
CAA33952	GSMUA_Achr11G16510_001	18.6916	62.5
CAA33954	GSMUA_AchrUn_randomG06620_001	41.9753	30.6306
CAA33961	GSMUA_AchrUn_randomG10690_001	34.375	80.8824
