Gene stable ID	Physcomitrella patens gene stable ID	% identity	Physcomitrella patens % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	PP1S346_15V6	35	34	1
OS01G0100400	PP1S136_116V6	50	50	0
OS01G0100400	PP1S217_57V6	43	47	0
OS01G0100600	PP1S533_4V6	30	29	1
OS01G0100700	PP1S101_208V6	87	88	0
OS01G0100700	PP1S10_385V6	87	88	0
OS01G0100700	PP1S114_143V6	87	88	0
OS01G0100700	PP1S114_146V6	87	88	0
OS01G0100700	PP1S400_33V6	87	88	0
OS01G0100800	PP1S129_157V6	21	23	1
OS01G0100800	PP1S257_33V6	20	20	1
OS01G0100800	PP1S51_73V6	19	21	1
OS01G0100900	PP1S88_125V6	58	58	1
OS01G0101200	PP1S1_661V6	50	30	0
OS01G0101200	PP1S247_41V6	48	37	0
OS01G0101300	PP1S62_76V6	52	48	1
OS01G0101600	PP1S18_66V6	34	26	0
OS01G0101600	PP1S8_29V6	35	30	0
OS01G0101700	PP1S145_153V6	30	40	1
OS01G0101700	PP1S160_132V6	31	26	1
OS01G0102000	PP1S223_40V6	44	46	1
OS01G0102000	PP1S282_70V6	45	47	1
OS01G0102000	PP1S45_270V6	45	45	1
OS01G0102000	PP1S93_117V6	47	49	1
OS01G0102300	PP1S103_80V6	29	30	1
OS01G0102600	PP1S103_79V6	28	25	1
OS01G0102800	PP1S66_144V6	57	41	1
OS01G0103000	PP1S197_31V6	17	24	1
OS01G0103100	PP1S71_306V6	43	37	0
OS01G0103600	PP1S89_30V6	52	52	1
OS01G0103700	PP1S408_25V6	24	3	1
OS01G0103800	PP1S189_114V6	25	22	1
OS01G0103800	PP1S24_276V6	26	22	1
OS01G0104000	PP1S409_19V6	46	42	1
OS01G0104000	PP1S51_310V6	45	43	1
OS01G0104100	PP1S13_197V6	46	44	1
OS01G0104400	PP1S5_325V6	4	3	1
OS01G0104400	PP1S6_371V6	3	2	1
OS01G0104400	PP1S74_70V6	3	2	1
OS01G0104600	PP1S235_35V6	53	33	1
