Gene stable ID	Oryza glumaepatula gene stable ID	%id. target Oryza glumaepatula gene identical to query gene	%id. query gene identical to target Oryza glumaepatula gene
BAC19853	OGLUM12G08770	86.7857	54.3624
BAC19877	OGLUM02G15520	44.0994	88.75
BAC19880	OGLUM01G38720	34.3284	98.2906
BAC19898	OGLUM09G03270	99.4681	98.9418
BAC19899	OGLUM09G03280	73.4774	93.2668
CAA33909	OGLUM01G05490	26.4045	54.6512
CAA33911	OGLUM07G21340	35.1145	37.7049
CAA33933	OGLUM02G25010	31.6176	51.8072
CAA33993	OGLUM09G03130	24.0631	91.0448
CAA34000	OGLUM03G22440	10.1626	18.6567
CAA34004	OGLUM11G15220	57.2327	67.5743
Os01g0100100	OGLUM01G00020	96.1538	98.5401
Os01g0100200	OGLUM01G00040	39.4366	53.8462
Os01g0100300	OGLUM01G00030	54.2751	70.1923
Os01g0100400	OGLUM01G00050	99.6627	99.6627
Os01g0100600	OGLUM01G00060	99.7183	99.7183
Os01g0100800	OGLUM01G00070	72.7528	78.4848
Os01g0100900	OGLUM01G00080	89.9814	99.3852
Os01g0101150	OGLUM01G00110	97.4074	67.0918
Os01g0101300	OGLUM01G00120	99.7543	98.5437
Os01g0101600	OGLUM01G00130	99.4888	99.4888
Os01g0101700	OGLUM01G00140	96.2766	95.2632
Os01g0101800	OGLUM01G00150	99.4083	99.2614
Os01g0101900	OGLUM01G00160	100	100
Os01g0102000	OGLUM01G00170	99.6212	99.6212
Os01g0102300	OGLUM01G00180	99.6109	99.6109
Os01g0102500	OGLUM01G00190	99.6988	99.6988
Os01g0102700	OGLUM05G00240	56.0976	60.2094
Os01g0102800	OGLUM01G00200	68.5932	65.5892
Os01g0102900	OGLUM01G00210	97.6562	100
Os01g0103000	OGLUM01G00220	100	100
Os01g0103100	OGLUM01G00230	100	99.3443
Os01g0103600	OGLUM01G00250	99.5434	49.8856
Os01g0103700	OGLUM01G00240	88.0952	12.9484
Os01g0103800	OGLUM01G00270	99.6071	99.6071
Os01g0103900	OGLUM01G00280	99.3724	72.0789
Os01g0104000	OGLUM01G00290	99.0991	99.4575
Os01g0104100	OGLUM01G00300	52.8708	95.671
Os01g0104200	OGLUM01G00330	97.3451	97.9229
Os01g0104400	OGLUM01G00340	98.8806	93.9716
Os01g0104500	OGLUM01G00350	98.4375	98.1308
Os01g0104600	OGLUM01G00360	99.6086	92.5455
Os01g0104800	OGLUM01G00370	97.9845	96.4885
Os01g0104900	OGLUM01G00380	99.7863	99.7863
Os01g0105400	OGLUM11G06050	57.9545	19.8444
Os01g0105700	OGLUM01G00400	97.6804	97.4293
Os01g0105800	OGLUM01G00410	93.4783	94.8529
Os01g0105900	OGLUM01G00420	97.0976	97.3545
Os01g0106200	OGLUM01G00440	100	100
Os01g0106300	OGLUM01G00450	100	100
Os01g0106400	OGLUM01G00470	100	100
Os01g0106500	OGLUM01G00480	98.5981	96.789
Os01g0106600	OGLUM01G00490	97.6027	98.2759
Os01g0106700	OGLUM01G00500	94.3173	88.2218
Os01g0106800	OGLUM01G00510	93.6508	95.935
Os01g0106900	OGLUM01G00520	99.7886	99.7886
Os01g0107000	OGLUM01G00530	96.4523	96.882
Os01g0107700	OGLUM01G00580	97.8182	89.3688
Os01g0107900	OGLUM01G00590	99.681	99.681
Os01g0108000	OGLUM01G00600	98.5488	98.9404
Os01g0108200	OGLUM01G00610	91.5069	67.8862
Os01g0108400	OGLUM01G00620	69.4323	29.6642
Os01g0108500	OGLUM05G13200	19.6078	44.7761
Os01g0108600	OGLUM01G00630	83.9286	85.0679
Os01g0108800	OGLUM01G00640	92.6407	75.8865
Os01g0109300	OGLUM01G00660	98.7903	86.2676
Os01g0109700	OGLUM01G00690	97.3605	83.9402
Os01g0109750	OGLUM01G00700	97.8102	97.8102
Os01g0110100	OGLUM01G00720	97.622	97.622
Os01g0110400	OGLUM01G00750	99.2788	99.2788
Os01g0110500	OGLUM01G00760	74.4986	97.3783
Os01g0110700	OGLUM01G00780	99.8068	99.8068
Os01g0110800	OGLUM01G00790	98	92.4528
Os01g0111000	OGLUM01G00800	81.6327	67.7966
Os01g0111100	OGLUM01G00810	97.9592	97.9592
Os01g0111200	OGLUM01G00820	98.3871	95.1638
Os01g0111500	OGLUM01G00830	98.3051	99.6564
Os01g0111600	OGLUM01G00840	99.4253	99.4253
Os01g0111700	OGLUM01G00850	98.2857	97.7273
Os01g0111800	OGLUM01G00870	90.0901	94.3396
Os01g0111900	OGLUM01G00880	100	100
Os01g0112000	OGLUM01G00890	98.7421	98.125
Os01g0112100	OGLUM01G00900	98.6702	93.4509
Os01g0112400	OGLUM01G00920	99.3007	100
Os01g0112500	OGLUM01G00930	96.6292	93.2249
Os01g0112800	OGLUM01G00950	98.9059	63.3497
Os01g0113150	OGLUM01G00950	99.0461	43.658
Os01g0113200	OGLUM01G00980	98.2412	63.3712
Os01g0113300	OGLUM01G00970	97.2686	74.7958
Os01g0113300	OGLUM01G00990	86.4947	98.9583
Os01g0113400	OGLUM01G01020	95.2733	98.7749
Os01g0113700	OGLUM01G01060	94.1606	95.2733
Os01g0113800	OGLUM01G01050	91.1111	77.7778
Os01g0113900	OGLUM01G01270	18.1176	31.8182
Os01g0114400	OGLUM01G01200	92.0118	43.6185
Os01g0114800	OGLUM01G18110	36	29.8343
Os01g0115200	OGLUM01G01160	71.1538	39.2226
Os01g0115500	OGLUM01G01070	84.9557	42.6035
Os01g0115566	OGLUM01G01270	29.4821	30.5785
Os01g0115700	OGLUM01G01080	31.3694	97.5247
Os01g0115750	OGLUM01G01090	82.5959	43.6477
Os01g0115800	OGLUM01G01270	23.4114	28.9256
Os01g0116000	OGLUM01G01130	96.9298	96.6472
Os01g0116200	OGLUM01G01200	92.6761	92.2861
Os01g0116400	OGLUM01G01220	98.2275	95.4089
Os01g0116600	OGLUM01G01250	95.8779	92.0821
Os01g0117000	OGLUM01G01290	82.973	85.1595
Os01g0117400	OGLUM01G01290	97.1014	27.8779
Os01g0117600	OGLUM01G01290	84.4228	84.1886
Os01g0117700	OGLUM01G01280	87.7138	64.9022
Os01g0117900	OGLUM01G01310	99.7326	99.7326
Os01g0118000	OGLUM01G01170	65.9794	99.6109
Os01g0118100	OGLUM01G01320	100	75.1838
Os01g0118300	OGLUM01G01330	77.1765	99.0937
Os01g0118400	OGLUM01G01340	96.7577	87.907
Os01g0118600	OGLUM01G01350	98.3929	86.7717
Os01g0118700	OGLUM01G01360	98.6487	48.482
Os01g0119100	OGLUM01G01370	98.2788	81.108
Os01g0119500	OGLUM01G01390	98.2833	82.5225
Os01g0120300	OGLUM01G01440	93.4509	80.8279
Os01g0120400	OGLUM01G01450	99.6212	99.6212
Os01g0120500	OGLUM01G01460	85.0394	71.7608
Os01g0120600	OGLUM01G01470	76.5957	79.4118
Os01g0120800	OGLUM01G01480	91.0751	90.433
Os01g0121000	OGLUM01G01500	99.5025	99.5025
Os01g0121100	OGLUM01G01510	99.1228	99.4135
Os01g0121200	OGLUM01G01520	100	100
Os01g0121300	OGLUM01G01530	99.4444	99.4444
Os01g0121500	OGLUM01G01540	83.3333	63.2911
Os01g0121600	OGLUM01G01550	97.9592	99.3103
Os01g0121700	OGLUM01G01560	98.503	96.4809
Os01g0121800	OGLUM01G01570	98.5075	100
Os01g0121900	OGLUM01G01580	99.3243	99.3243
Os01g0121950	OGLUM01G01610	52.5886	58.4848
Os01g0121950	OGLUM01G01630	52.5886	58.4848
Os01g0122200	OGLUM01G01640	90.5044	90.5044
Os01g0122701	OGLUM01G01600	93.0693	31.0231
Os01g0123800	OGLUM01G01680	61.399	62.533
Os01g0123900	OGLUM01G01690	82.3834	82.8125
Os01g0124000	OGLUM01G01700	54.8387	86.4407
Os01g0124100	OGLUM01G01710	97.6834	99.6063
Os01g0124200	OGLUM01G01720	96.4143	50.3119
Os01g0124600	OGLUM01G01750	91.5789	91.0995
Os01g0124650	OGLUM01G01760	89.1892	91.6667
Os01g0124900	OGLUM01G01770	92.4242	34.4633
Os01g0125000	OGLUM01G01780	97.9351	80.3874
Os01g0125500	OGLUM01G01790	24.1993	61.2613
Os01g0125500	OGLUM01G01800	55.1601	99.359
Os01g0125550	OGLUM01G01810	55.3846	63.1579
Os01g0125600	OGLUM01G01820	99.5238	99.5238
Os01g0125700	OGLUM01G01830	99.0476	99.0476
Os01g0125800	OGLUM01G01840	99.8361	99.8361
Os01g0125900	OGLUM01G01850	96.7074	96.3449
Os01g0125900	OGLUM01G01860	96.7074	96.3449
Os01g0126100	OGLUM01G01870	99.8282	99.8282
Os01g0126200	OGLUM01G01880	99.6656	99.6656
Os01g0126900	OGLUM01G01890	91.9328	96.8142
Os01g0127000	OGLUM01G01910	82.397	52.8846
Os01g0127000	OGLUM01G01920	97.0037	40.6913
Os01g0127300	OGLUM01G01940	98.3402	98.3402
Os01g0127400	OGLUM01G01950	96.2264	84.1237
Os01g0127500	OGLUM01G01960	99.1098	99.4048
Os01g0127600	OGLUM01G01970	98.324	98.324
Os01g0127900	OGLUM01G01990	99.7664	99.7664
Os01g0128000	OGLUM01G02010	99.4286	99.4286
Os01g0128100	OGLUM01G02020	96.9072	98.9474
Os01g0128200	OGLUM01G02030	99.6753	99.6753
Os01g0128300	OGLUM01G02040	96.0526	88.3064
Os01g0128400	OGLUM01G02050	99.8294	98.6509
Os01g0128800	OGLUM01G02070	64.3777	19.4553
Os01g0129200	OGLUM01G02080	93.9164	98.0159
Os01g0129500	OGLUM01G02090	99.0521	99.3661
Os01g0129600	OGLUM01G02100	75.5162	83.3876
Os01g0129800	OGLUM01G02110	98.9691	96
Os01g0130000	OGLUM01G02120	92.5831	79.9117
