Gene stable ID	Arabidopsis lyrata gene stable ID	% identity	Arabidopsis lyrata % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	fgenesh2_kg.5__2415__AT3G59570.1	43	42	1
OS01G0100100	scaffold_403239.1	42	40	1
OS01G0100400	Al_scaffold_0008_1090	62	66	1
OS01G0100500	fgenesh2_kg.6__1642__AT5G16520.1	44	38	1
OS01G0100700	fgenesh2_kg.3__1244__AT3G11940.2	83	80	0
OS01G0100700	fgenesh2_kg.4__1779__AT2G37270.2	84	81	0
OS01G0100800	Al_scaffold_0001_2798	31	32	1
OS01G0100800	scaffold_103041.1	29	29	1
OS01G0100900	fgenesh2_kg.1__2954__AT1G27980.1	67	67	1
OS01G0101150	fgenesh1_pg.C_scaffold_3002852	46	40	1
OS01G0101200	fgenesh1_pm.C_scaffold_8001076	54	32	1
OS01G0101300	fgenesh2_kg.7__1783__AT4G24880.1	61	60	1
OS01G0101600	scaffold_302903.1	44	43	0
OS01G0101700	fgenesh2_kg.7__2965__AT4G13830.2	38	37	0
OS01G0101800	Al_scaffold_0007_2937	5	11	1
OS01G0101800	fgenesh2_kg.3__2590__AT3G23740.1	17	21	1
OS01G0102000	Al_scaffold_0005_1678	57	57	1
OS01G0102300	Al_scaffold_0001_3970	14	31	1
OS01G0102300	Al_scaffold_0005_2811	15	32	1
OS01G0102300	Al_scaffold_0006_3399	14	31	1
OS01G0102300	scaffold_701835.1	37	42	1
OS01G0102400	fgenesh1_pg.C_scaffold_7003362	12	21	1
OS01G0102400	fgenesh2_kg.7__3596__AT5G38140.1	11	25	1
OS01G0102500	scaffold_601319.1	59	55	1
OS01G0102600	fgenesh2_kg.5__464__AT3G26900.2	31	30	1
OS01G0102700	scaffold_601416.1	43	45	0
OS01G0102800	Al_scaffold_0003_3959	64	50	1
OS01G0102900	fgenesh2_kg.5__439__AT3G26740.1	37	34	1
OS01G0103000	fgenesh1_pm.C_scaffold_6000341	71	70	0
OS01G0103000	fgenesh2_kg.3__1099__AT3G10640.1	72	71	0
