Gene stable ID	Trifolium pratense gene stable ID	% identity	Trifolium pratense % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	Tp57577_TGAC_v2_gene6502	52.1368	52.6619	1
OS01G0100400	Tp57577_TGAC_v2_gene26837	67.7909	67.4497	0
OS01G0100500	Tp57577_TGAC_v2_gene32005	45.229	39.1089	1
OS01G0100600	Tp57577_TGAC_v2_gene14653	33.8028	37.7358	1
OS01G0100600	Tp57577_TGAC_v2_gene14659	34.6479	23.1638	1
OS01G0100700	Tp57577_TGAC_v2_gene31109	30.5	64.2105	1
OS01G0100700	Tp57577_TGAC_v2_gene32296	74.5	76.0204	1
OS01G0100700	Tp57577_TGAC_v2_gene543	59	63.4409	1
OS01G0100700	Tp57577_TGAC_v2_gene908	11.5	28.3951	1
OS01G0100800	Tp57577_TGAC_v2_gene2940	19.1011	17.5258	1
OS01G0100900	Tp57577_TGAC_v2_gene2913	45.0835	65.8537	1
OS01G0101150	Tp57577_TGAC_v2_gene10350	49.7531	49.6305	1
OS01G0101300	Tp57577_TGAC_v2_gene12158	61.6708	61.2195	1
OS01G0101300	Tp57577_TGAC_v2_gene26152	62.6536	63.1188	1
OS01G0101600	Tp57577_TGAC_v2_gene11920	44.7853	41.6746	0
OS01G0101700	Tp57577_TGAC_v2_gene11800	38.2979	38.5027	1
OS01G0101800	Tp57577_TGAC_v2_gene636	9.91124	12.3389	1
OS01G0102000	Tp57577_TGAC_v2_gene14217	57.5758	59.0291	1
OS01G0102300	Tp57577_TGAC_v2_gene14207	35.7977	41.8182	1
OS01G0102500	Tp57577_TGAC_v2_gene2946	60.241	51.9481	1
OS01G0102600	Tp57577_TGAC_v2_gene36708	34.5725	31.4189	1
OS01G0102700	Tp57577_TGAC_v2_gene5764	47.3171	50	1
OS01G0102800	Tp57577_TGAC_v2_gene5864	69.0294	51.7157	1
OS01G0102900	Tp57577_TGAC_v2_gene10346	34.375	26.3473	1
OS01G0103000	Tp57577_TGAC_v2_gene37809	75.8621	74.8936	0
OS01G0103100	Tp57577_TGAC_v2_gene8920	31.1881	63	0
OS01G0103100	Tp57577_TGAC_v2_gene9698	34.6535	53.2995	0
OS01G0103600	Tp57577_TGAC_v2_gene21858	51.5982	55.122	1
OS01G0103600	Tp57577_TGAC_v2_gene38962	58.9041	56.5789	1
OS01G0103600	Tp57577_TGAC_v2_gene38981	59.3607	14.8741	1
OS01G0103700	Tp57577_TGAC_v2_gene23000	0	0	1
OS01G0103700	Tp57577_TGAC_v2_gene940	7.14286	10.7143	1
OS01G0103800	Tp57577_TGAC_v2_gene26423	43.6149	46.5409	1
OS01G0103900	Tp57577_TGAC_v2_gene12794	32.4268	27.6786	1
OS01G0103900	Tp57577_TGAC_v2_gene21492	12.3431	31.0526	1
OS01G0104000	Tp57577_TGAC_v2_gene20646	61.982	62.7737	1
OS01G0104100	Tp57577_TGAC_v2_gene5121	54.5455	53.3958	1
OS01G0104500	Tp57577_TGAC_v2_gene5898	40.9375	33.0808	1
OS01G0104500	Tp57577_TGAC_v2_gene6053	41.875	35.8289	1
OS01G0104600	Tp57577_TGAC_v2_gene38040	69.2759	65.9218	1
OS01G0104800	Tp57577_TGAC_v2_gene1297	12.7132	39.6135	1
OS01G0104800	Tp57577_TGAC_v2_gene23553	33.0233	32.2727	1
OS01G0104900	Tp57577_TGAC_v2_gene12341	16.0256	41.6667	1
OS01G0104900	Tp57577_TGAC_v2_gene34565	33.547	38.8614	1
OS01G0104900	Tp57577_TGAC_v2_gene989	39.1026	47.4093	1
OS01G0105400	Tp57577_TGAC_v2_gene12611	43.1818	34.2342	1
OS01G0105400	Tp57577_TGAC_v2_gene27672	32.9545	19.863	1
OS01G0105700	Tp57577_TGAC_v2_gene12404	30.1546	26.6515	1
OS01G0105800	Tp57577_TGAC_v2_gene4681	38.4058	49.0741	1
OS01G0105800	Tp57577_TGAC_v2_gene9901	70.2899	60.2484	1
OS01G0105900	Tp57577_TGAC_v2_gene12384	42.7441	71.0526	1
OS01G0105900	Tp57577_TGAC_v2_gene39858	23.219	53.6585	1
OS01G0106200	Tp57577_TGAC_v2_gene22542	69.3878	68	1
OS01G0106700	Tp57577_TGAC_v2_gene494	6.00981	62.2881	1
OS01G0106700	Tp57577_TGAC_v2_gene6034	25.5519	50.9788	1
OS01G0106800	Tp57577_TGAC_v2_gene4597	70.6349	78.7611	1
OS01G0106900	Tp57577_TGAC_v2_gene31563	71.4588	71.9149	1
OS01G0106900	Tp57577_TGAC_v2_gene37486	79.704	79.2017	1
OS01G0107000	Tp57577_TGAC_v2_gene37553	26.6075	23.301	1
