Gene stable ID	Chlamydomonas reinhardtii gene stable ID	%id. target Chlamydomonas reinhardtii gene identical to query gene	%id. query gene identical to target Chlamydomonas reinhardtii gene
BAC19852	AAB93446	42.4615	47.2603
BAC19853	CHLREDRAFT_56014	31.7857	23.2984
BAC19875	AAB93441	35.1515	39.2777
BAC19876	CHLREDRAFT_184789	23.0769	21.1268
BAC19880	CHLREDRAFT_136578	21.4925	21.1765
BAC19885	CHLREDRAFT_195724	56	26.4151
BAC19885	CHLREDRAFT_195725	56	26.7516
BAC19887	CHLREDRAFT_118058	29.0323	34.6154
BAC19890	AAB93440	54.4081	56.6929
BAC19900	CHLREDRAFT_182980	48.9474	32.9787
CAA33909	CHLREDRAFT_132909	23.5955	18.1818
CAA33910	AAB93446	28.1768	34.9315
CAA33911	CHLREDRAFT_185013	39.9491	33.6188
CAA33918	DAA00960	80.2326	51.8797
CAA33919	DAA00925	44.2308	41.0714
CAA33920	AAB93444	20.1961	26.9634
CAA33923	DAA00914	39.7849	38.9474
CAA33924	DAA00915	44.6886	43.8849
CAA33927	DAA00916	52.6882	53.2609
CAA33928	DAA00915	44.6886	43.8849
CAA33930	CHLREDRAFT_75266	27.1028	43.2836
CAA33931	DAA00920	46.3235	41.1765
CAA33932	DAA00918	67.4797	68.0328
CAA33933	DAA00917	69.8529	69.8529
CAA33934	DAA00947	25.1046	8.42697
CAA33938	DAA00914	39.7849	38.9474
CAA33941	AAB93444	20.1961	26.9634
CAA33942	DAA00925	44.2308	41.0714
CAA33949	CHLREDRAFT_185013	41.0714	4.92505
CAA33950	AAB93442	23.4332	31.5018
CAA33952	DAA00929	39.5639	35.9773
CAA33954	DAA00967	87.6543	87.6543
CAA33958	DAA00939	43.7838	41.1168
CAA33960	DAA00953	24.7826	11.4
CAA33961	DAA00904	63.4375	64.0379
CAA33963	DAA00945	81.5789	70.4545
CAA33964	DAA00944	71.7949	63.6364
CAA33965	DAA00941	73.494	74.3902
CAA33967	DAA00946	67.5676	67.5676
CAA33968	DAA00961	59.0909	63.4146
CAA33969	CHLREDRAFT_195626	45.4545	29.703
CAA33970	DAA00937	20.8589	24.8175
CAA33971	DAA00909	27.7311	29.4643
CAA33972	DAA00910	24.0741	9.92366
CAA33973	DAA00933	79.9213	79.9213
CAA33974	DAA00932	68.5714	77.4194
CAA33975	DAA00931	51.1628	50
CAA33976	DAA00930	52.0548	43.1818
CAA33977	DAA00911	88.8372	88.8372
CAA33978	DAA00905	78.75	78.75
CAA33980	DAA01543	37.0629	40.7692
CAA33981	DAA00913	67.5676	67.5676
CAA33984	DAA00927	67.6471	67.6471
CAA33986	DAA00943	6.23256	8.15085
CAA33987	DAA00969	20.9677	29.2434
CAA33989	DAA00936	25.4237	10.5263
CAA33990	DAA00962	65.587	68.0672
CAA33991	DAA00954	85.1852	84.1463
CAA33993	CHLREDRAFT_141145	14.3984	9.91848
CAA33994	DAA00926	55.3398	57
CAA33995	DAA00949	82.8338	82.7211
CAA33997	DAA00938	68.6391	67.4419
CAA33998	DAA00921	47.2637	36.965
CAA34000	CHLREDRAFT_139850	28.0488	42.0732
CAA34002	DAA00924	40.8759	39.7163
CAA34003	DAA00958	78.9157	80.0407
CAA34004	DAA00950	88.6792	89.0526
CAA34007	DAA00922	92.3513	92.6136
CAA34007	DAA00957	92.3513	92.6136
CAA34009	CHLREDRAFT_195629	38.7097	18.75
CAA34010	DAA00907	52.459	69.5652
CAA34011	DAA00952	80.5556	78.3784
CAA34013	DAA00964	92.6346	92.8977
CAA34014	DAA00966	82.8753	85.0325
CAA34015	DAA00928	56.4516	56.4516
Os01g0100100	CHLREDRAFT_195588	11.9658	20.8955
