Gene stable ID	Oryza rufipogon gene stable ID	%id. target Oryza rufipogon gene identical to query gene	%id. query gene identical to target Oryza rufipogon gene
BAC19853	ORUFI12G08360	99.6429	99.6429
BAC19854	ORUFI12G08370	44.6701	98.8764
BAC19859	ORUFI12G15460	67.8295	73.5294
BAC19860	ORUFI12G15450	65.1613	70.6294
BAC19862	ORUFI12G15440	29.7561	49.1936
BAC19865	ORUFI12G15400	94.052	100
BAC19867	ORUFI12G15360	53.125	70.8333
BAC19875	ORUFI12G15470	8.08081	49.3827
BAC19879	ORUFI03G27390	76.4706	85.119
BAC19896	ORUFI12G15340	51.4085	65.4709
BAC19898	ORUFI12G15350	71.2766	97.1014
BAC19899	ORUFI12G11150	14.1454	75.7895
CAA33911	ORUFI07G22400	23.4097	28.1346
CAA33911	ORUFI12G06860	16.5394	90.2778
CAA33927	ORUFI10G18640	48.3871	63.3803
CAA33930	ORUFI12G06870	57.9439	92.5373
CAA33931	ORUFI03G28370	97.7941	58.3333
CAA33932	ORUFI05G17080	86.9919	67.7215
CAA33934	ORUFI09G08030	15.4812	37
CAA33958	ORUFI01G36870	17.8378	86.8421
CAA33979	ORUFI12G06880	78.3383	97.417
CAA33990	ORUFI10G17490	59.1093	36.962
CAA33993	ORUFI04G05830	31.7554	44.8468
CAA33993	ORUFI04G05840	36.4892	46.1347
CAA33993	ORUFI09G02870	21.3018	93.913
CAA33993	ORUFI09G03100	16.3708	76.1468
CAA33996	ORUFI10G17480	95.0667	99.0278
CAA33998	ORUFI10G17460	78.607	93.4911
CAA33999	ORUFI04G07970	59.7484	94.0594
CAA34000	ORUFI03G22330	12.6016	31.9588
CAA34003	ORUFI06G01240	51.4056	98.4615
CAA34013	ORUFI02G15680	95.4674	52.0866
Os01g0100100	ORUFI01G00040	96.0114	98.3942
Os01g0100300	ORUFI01G00030	59.4796	49.5356
Os01g0100400	ORUFI01G00050	99.8314	81.2071
Os01g0100600	ORUFI01G00060	99.7183	99.7183
Os01g0100800	ORUFI01G00070	73.0337	85.2459
Os01g0100900	ORUFI01G00080	100	100
Os01g0101150	ORUFI01G00090	100	70.4961
Os01g0101300	ORUFI01G00100	99.7543	98.5437
Os01g0101600	ORUFI01G00120	99.0798	99.0798
Os01g0101800	ORUFI01G00130	99.5562	99.5562
Os01g0101900	ORUFI01G00140	100	100
Os01g0102000	ORUFI01G00150	99.8106	99.8106
Os01g0102300	ORUFI01G00160	99.2218	99.2218
