Gene stable ID	Oryza punctata gene stable ID	%id. target Oryza punctata gene identical to query gene	%id. query gene identical to target Oryza punctata gene
BAC19853	OPUNC12G12590	100	63.7813
BAC19862	OPUNC12G12640	96.0976	50.2551
BAC19864	OPUNC12G12630	90.1639	88.7097
BAC19865	OPUNC12G12660	97.3978	98.8679
BAC19874	OPUNC01G38340	71.2215	89.5833
BAC19875	OPUNC12G12750	27.2727	71.4286
BAC19876	OPUNC02G06640	93.4615	71.8935
BAC19889	OPUNC02G14030	94.1909	47.8903
BAC19890	OPUNC02G14020	25.6927	98.0769
BAC19891	OPUNC12G12610	87.1681	92.3438
BAC19898	OPUNC12G12770	53.1915	92.5926
BAC19899	OPUNC12G12580	96.6601	100
BAC19901	OPUNC12G12560	87.8613	65.2361
CAA33927	OPUNC01G14980	73.1183	30.0885
CAA33961	OPUNC04G19660	90.625	20.7291
CAA33961	OPUNC07G10180	70.625	62.4309
CAA33972	OPUNC07G10170	52.7778	99.1304
CAA33973	OPUNC07G10160	37.7953	96.9697
CAA33977	OPUNC02G14050	74.8837	77.7778
CAA33979	OPUNC09G01990	64.6884	84.1699
CAA33980	OPUNC07G10150	12.5874	6.66667
CAA33990	OPUNC09G01190	96.3563	55.0926
CAA34000	OPUNC12G12570	70.7317	82.0755
CAA34003	OPUNC01G41930	18.0723	58.8235
CAA34013	OPUNC01G14260	49.5751	91.623
Os01g0100100	OPUNC01G00010	92.3077	78.6408
Os01g0100400	OPUNC01G00020	96.2901	96.944
Os01g0100500	OPUNC01G00030	96.7557	96.7557
Os01g0100600	OPUNC01G00040	85.6338	91.5663
Os01g0100700	OPUNC01G00050	98.5	98.5
Os01g0100800	OPUNC01G00060	75.8427	39.2442
Os01g0100900	OPUNC01G00070	87.7551	96.9262
Os01g0101150	OPUNC01G00080	91.8519	68.0695
Os01g0101300	OPUNC01G00090	95.5774	66.9535
Os01g0101600	OPUNC01G00100	94.274	94.7585
Os01g0101700	OPUNC01G00110	72.3404	72.7273
Os01g0101800	OPUNC01G00130	90.2367	92.4242
Os01g0101900	OPUNC01G00140	95.8333	95.8333
Os01g0102000	OPUNC01G00150	91.0985	89.5717
Os01g0102300	OPUNC01G00160	78.5992	83.1276
Os01g0102400	OPUNC01G00170	80.5226	48.4286
Os01g0102600	OPUNC01G00180	79.1822	71.4765
Os01g0102700	OPUNC01G00190	74.1463	78.3505
Os01g0102800	OPUNC01G00200	95.747	68.2737
Os01g0102900	OPUNC01G00210	95.3125	93.1298
Os01g0103000	OPUNC01G00220	96.9828	89.2857
Os01g0103100	OPUNC01G00230	88.2838	89.7651
Os01g0103600	OPUNC01G00240	90.8676	73.7037
Os01g0103700	OPUNC01G00250	82.7381	11.3655
Os01g0103800	OPUNC01G00260	94.6955	93.9571
Os01g0103900	OPUNC01G00270	96.4435	74.7164
Os01g0104000	OPUNC01G00280	94.7748	94.7748
Os01g0104100	OPUNC01G00290	76.7943	81.2658
Os01g0104200	OPUNC01G00300	69.0266	78.5235
Os01g0104400	OPUNC01G00310	79.4776	78.022
Os01g0104500	OPUNC01G00320	82.8125	82.8125
Os01g0104800	OPUNC01G00340	87.2868	88.6614
Os01g0104900	OPUNC01G00350	83.7607	84.8485
Os01g0105700	OPUNC01G00360	83.5052	87.5676
Os01g0105800	OPUNC01G00370	83.3333	78.7671
Os01g0105900	OPUNC01G00380	86.8074	89.4022
Os01g0106200	OPUNC01G00390	97.449	97.9487
Os01g0106300	OPUNC01G00400	86.7924	87.619
Os01g0106400	OPUNC11G17220	86.9427	86.6667
Os01g0106500	OPUNC01G00410	88.3178	37.9518
Os01g0106700	OPUNC01G00420	88.6754	78.8154
Os01g0106800	OPUNC01G00430	88.8889	81.7518
Os01g0106900	OPUNC01G00440	87.7378	68.8226
Os01g0107000	OPUNC01G00450	87.5831	88.764
Os01g0107700	OPUNC01G00490	87.8182	92.8846
Os01g0107900	OPUNC01G00500	98.4051	99.0369
Os01g0108000	OPUNC01G00510	82.5858	91.1208
Os01g0108200	OPUNC09G01380	96.1644	91.4062
Os01g0108400	OPUNC01G00520	53.7118	60.2941
Os01g0108600	OPUNC01G00530	68.75	75.8621
Os01g0108800	OPUNC01G00550	92.6407	39.5564
Os01g0109300	OPUNC01G00560	96.371	97.551
Os01g0109700	OPUNC01G00570	94.4947	52.6471
Os01g0109750	OPUNC01G00580	81.7518	77.7778
Os01g0110100	OPUNC01G00600	94.1176	93.7656
Os01g0110200	OPUNC01G00610	97.0833	97.8992
Os01g0110400	OPUNC01G00620	96.3942	96.6265
Os01g0110500	OPUNC01G00630	95.5587	95.422
Os01g0110700	OPUNC01G00640	98.0676	98.0676
Os01g0110800	OPUNC01G00650	93.7778	86.653
Os01g0111000	OPUNC01G00660	74.1497	61.236
Os01g0111100	OPUNC01G00670	94.2177	94.5392
Os01g0111200	OPUNC01G00680	66.2903	97.3934
Os01g0111500	OPUNC01G00700	86.7797	95.8801
Os01g0111600	OPUNC01G00710	94.8276	94.8276
Os01g0111700	OPUNC01G00720	82.2857	86.747
Os01g0111800	OPUNC01G00730	83.7838	82.3009
Os01g0111900	OPUNC01G00740	90.7514	93.4524
Os01g0112000	OPUNC01G00750	87.4214	88.535
Os01g0112100	OPUNC01G00760	77.3936	93.871
Os01g0112400	OPUNC01G00770	93.7063	93.0556
Os01g0112500	OPUNC01G00780	93.8202	88.3598
Os01g0113200	OPUNC01G00820	90.4523	60.2007
Os01g0113300	OPUNC01G00830	96.8134	96.8134
Os01g0113350	OPUNC01G00840	91.7178	91.2977
Os01g0113400	OPUNC01G00860	73.5598	94.3182
Os01g0113650	OPUNC01G00890	66.0061	82.9502
Os01g0113700	OPUNC01G00880	94.3066	95.421
Os01g0113800	OPUNC01G00870	94.6032	28.5851
Os01g0114700	OPUNC01G00950	70.1754	73.3333
Os01g0114900	OPUNC01G00940	89.4737	75.3463
Os01g0116300	OPUNC01G00930	62.9032	78.3133
Os01g0116600	OPUNC04G21320	96.0305	93.1852
Os01g0117000	OPUNC01G00920	76.6216	19.5652
Os01g0117100	OPUNC01G00970	92.5824	53.92
Os01g0117400	OPUNC01G00920	96.1353	6.8668
Os01g0117500	OPUNC01G00970	78.178	59.04
Os01g0117600	OPUNC01G00920	83.032	20.6004
Os01g0117700	OPUNC01G00970	83.2037	85.6
Os01g0117900	OPUNC01G01000	98.6631	97.878
Os01g0118000	OPUNC01G01010	97.6804	85.553
Os01g0118100	OPUNC01G01020	98.533	66.888
Os01g0118300	OPUNC01G01030	62.5882	78.2353
Os01g0118300	OPUNC01G01040	62.5882	78.2353
Os01g0118400	OPUNC01G01050	94.3686	87.9173
Os01g0118600	OPUNC01G01080	96.0714	93.0796
Os01g0118700	OPUNC01G01090	94.5946	94.5946
Os01g0119000	OPUNC01G01100	90.6639	89.002
Os01g0119100	OPUNC01G01110	92.9432	80.4769
Os01g0120300	OPUNC01G01120	95.8438	76.329
Os01g0120400	OPUNC01G01130	94.697	95.057
Os01g0120500	OPUNC01G01140	82.6772	83.3333
Os01g0120600	OPUNC01G01150	73.0496	75.7353
Os01g0120700	OPUNC01G01160	87.7193	89.2857
Os01g0120800	OPUNC01G01170	89.858	89.6761
Os01g0121000	OPUNC01G01180	85.5721	85.1485
Os01g0121100	OPUNC01G01190	85.9649	93.6306
Os01g0121200	OPUNC01G01200	60.223	75.3488
Os01g0121300	OPUNC01G01210	92.037	92.3792
Os01g0121500	OPUNC01G01220	76.6667	57.1429
Os01g0121600	OPUNC01G01230	80.2721	77.1242
Os01g0121700	OPUNC01G01240	97.6048	95.8824
Os01g0121800	OPUNC01G01250	97.0149	98.4848
Os01g0121900	OPUNC01G01260	82.4324	37.9471
Os01g0123700	OPUNC01G01290	74.8344	35.3125
Os01g0123800	OPUNC01G01310	84.1969	87.1314
Os01g0123900	OPUNC01G01330	87.0466	90.3226
Os01g0124000	OPUNC01G01340	73.1183	81.4371
Os01g0124100	OPUNC01G01350	79.9228	80.8594
Os01g0124200	OPUNC01G01360	90.0398	90.0398
Os01g0124600	OPUNC01G01390	64.7368	33.515
Os01g0124650	OPUNC01G01410	77.2973	78.1421
Os01g0124900	OPUNC01G01400	45.4545	45.2261
Os01g0124900	OPUNC01G01420	78.2828	11.1671
Os01g0125550	OPUNC01G01430	40	58.427
Os01g0125600	OPUNC01G01440	98.8095	98.8095
Os01g0125700	OPUNC01G01460	94.9206	94.9206
Os01g0125800	OPUNC01G01470	98.0328	98.0328
Os01g0125900	OPUNC01G01480	97.2719	95.1242
Os01g0126600	OPUNC01G01490	94.7891	24.3622
Os01g0127000	OPUNC01G01500	85.3933	70.9176
Os01g0127200	OPUNC01G01510	77.551	89.4928
Os01g0127300	OPUNC01G01520	87.3444	86.9835
Os01g0127400	OPUNC01G01530	95.9906	92.7107
Os01g0127500	OPUNC01G01540	92.8783	94.5619
Os01g0127600	OPUNC01G01550	69.2737	31.5522
Os01g0127900	OPUNC01G01570	92.2897	91.0138
Os01g0128000	OPUNC01G01580	63.1429	75.4266
Os01g0128100	OPUNC01G01590	81.0997	93.6508
Os01g0128200	OPUNC01G01610	85.7143	77.6471
Os01g0128300	OPUNC01G01620	90.3509	51.6291
Os01g0128400	OPUNC01G01630	95.0512	63.512
Os01g0128800	OPUNC01G01640	90.1288	25.5474
Os01g0129200	OPUNC01G01650	79.0875	84.5528
Os01g0129500	OPUNC01G01660	82.1485	81.1232
Os01g0129600	OPUNC01G01670	72.2714	80.0654
Os01g0130000	OPUNC01G01680	90.5371	71.0843
Os01g0130200	OPUNC01G01690	59.0551	52.8169
Os01g0130400	OPUNC01G01700	96.8884	96.8884
Os01g0130900	OPUNC01G01710	92.5287	92.5287
Os01g0131300	OPUNC01G01730	97.1429	97.7011
Os01g0131600	OPUNC01G01740	93.2039	85.7143
Os01g0131900	OPUNC01G01760	95.0495	95.0495
Os01g0132000	OPUNC01G01770	98	98
Os01g0132100	OPUNC01G01790	86.9763	81.9743
Os01g0132200	OPUNC01G01810	89.6266	91.5254
Os01g0132400	OPUNC01G01820	84.4612	85.9694
Os01g0132500	OPUNC01G01830	84.434	82.4885
Os01g0132700	OPUNC01G01840	93.2432	75.4098
Os01g0132766	OPUNC01G01850	94.0075	94.0075
Os01g0132800	OPUNC01G01860	84.9421	85.2713
Os01g0133100	OPUNC01G01870	81.6944	61.1552
Os01g0133200	OPUNC01G01880	86.0825	94.3503
Os01g0133400	OPUNC01G01890	97.2325	96.1679
Os01g0133500	OPUNC01G01900	94.4867	91.0256
Os01g0133700	OPUNC01G01910	91.4027	69.8962
Os01g0134500	OPUNC01G01930	97.4453	96.0432
Os01g0134700	OPUNC01G01940	94.5205	94.5205
Os01g0134800	OPUNC01G01950	97.5543	32.2842
Os01g0135700	OPUNC01G01960	95.5801	96.1111
Os01g0135800	OPUNC01G01970	93.3333	93.3333
Os01g0135900	OPUNC01G01980	95.1807	96.3415
Os01g0136100	OPUNC01G02000	100	100
Os01g0136300	OPUNC01G02020	88.4615	90.1961
Os01g0136400	OPUNC01G02040	91.9162	30.654
Os01g0136500	OPUNC01G02100	55.4656	47.2414
Os01g0136800	OPUNC01G02050	87.988	87.988
Os01g0136900	OPUNC01G02070	91.6031	41.7029
Os01g0137400	OPUNC01G02080	67.8179	34.7546
Os01g0137950	OPUNC01G00800	21.5686	41.5094
Os01g0138400	OPUNC01G02110	92.5329	49.4523
Os01g0138500	OPUNC01G02120	90.4478	85.8357
Os01g0138600	OPUNC01G10800	77.9762	43.8127
Os01g0138800	OPUNC01G02140	95.3596	93.6219
Os01g0138900	OPUNC01G02150	94.1704	95.672
Os01g0139000	OPUNC01G02160	95.3052	81.8548
Os01g0139200	OPUNC01G02170	97.7645	96.4706
Os01g0139600	OPUNC01G02180	96.4856	86.2857
Os01g0139700	OPUNC01G02190	87	75.6522
Os01g0139900	OPUNC01G02200	71.7647	53.5088
Os01g0140100	OPUNC01G02210	96.0317	97.7778
