Gene stable ID	Oryza barthii gene stable ID	%id. target Oryza barthii gene identical to query gene	%id. query gene identical to target Oryza barthii gene
BAC19860	OBART12G07340	52.2581	75
BAC19877	OBART02G15470	42.8571	86.25
CAA33911	OBART07G21470	7.12468	13.0233
CAA33924	OBART04G05090	52.381	56.5217
CAA33928	OBART04G05090	52.381	56.5217
CAA33931	OBART05G15940	97.7941	36.3388
CAA33933	OBART02G24610	33.0882	54.2169
CAA33950	OBART07G01500	21.7984	99.3789
CAA33979	OBART09G02320	51.632	85.2941
CAA33988	OBART04G05110	72.7032	98.0392
CAA33993	OBART03G30270	31.9527	66.6667
CAA34000	OBART03G21620	9.7561	26.6667
CAA34004	OBART11G15750	21.5933	96.2617
Os01g0100100	OBART01G00010	84.6154	95.04
Os01g0100200	OBART01G00030	41.5493	58.4158
Os01g0100300	OBART01G00020	52.0446	58.3333
Os01g0100400	OBART01G00040	99.6627	92.9245
Os01g0100500	OBART01G00050	99.6183	99.6183
Os01g0100600	OBART01G00060	96.6197	81.0875
Os01g0100700	OBART01G00070	100	100
Os01g0100800	OBART01G00080	73.5955	79.3939
Os01g0100900	OBART01G00090	99.8145	99.8145
Os01g0101150	OBART01G00110	99.7531	70.7531
Os01g0101300	OBART01G00120	73.9558	76.9821
Os01g0101600	OBART01G00140	94.0695	97.9766
Os01g0101700	OBART01G00150	95.7447	94.7368
Os01g0101800	OBART01G00160	99.7041	99.5569
Os01g0101900	OBART01G00170	100	100
Os01g0102000	OBART01G00180	88.0682	99.7854
Os01g0102300	OBART01G00190	99.6109	99.6109
Os01g0102400	OBART01G00200	97.1496	96.2353
Os01g0102500	OBART01G00210	99.6988	95.6647
Os01g0102600	OBART01G00220	99.6283	90.8475
Os01g0102700	OBART05G00190	56.5854	61.3757
Os01g0102800	OBART01G00230	99.5638	76.9815
Os01g0102900	OBART01G00240	100	100
Os01g0103000	OBART01G00250	100	100
Os01g0103100	OBART01G00260	99.67	68.7927
Os01g0103600	OBART01G00270	99.5434	58.7601
Os01g0103700	OBART01G00280	87.5	13.3032
Os01g0103800	OBART01G00290	99.6071	99.6071
Os01g0103900	OBART01G00300	99.5816	72.0121
Os01g0104000	OBART01G00310	99.6396	99.6396
Os01g0104100	OBART01G00320	85.8852	98.6264
Os01g0104200	OBART01G00330	71.0914	97.9675
Os01g0104400	OBART01G00350	100	91.1565
