Gene stable ID	Selaginella moellendorffii gene stable ID	%id. target Selaginella moellendorffii gene identical to query gene	%id. query gene identical to target Selaginella moellendorffii gene
BAC19853	SELMODRAFT_6020	26.4286	48.0519
BAC19857	SELMODRAFT_77094	41.2162	38.6076
BAC19857	SELMODRAFT_83611	41.2162	38.6076
BAC19872	SELMODRAFT_121656	68.8	67.7165
BAC19872	SELMODRAFT_77819	58.4	62.931
BAC19872	SELMODRAFT_82882	58.4	62.931
BAC19872	SELMODRAFT_92747	68.8	67.7165
BAC19887	SELMODRAFT_101648	45.1613	42.4242
BAC19887	SELMODRAFT_80593	45.1613	42.4242
BAC19888	SELMODRAFT_138426	46	44.2308
BAC19889	SELMODRAFT_157296	67.6349	8.51175
BAC19889	SELMODRAFT_163802	67.6349	8.5385
BAC19889	SELMODRAFT_177798	67.6349	8.59705
BAC19889	SELMODRAFT_267830	70.1245	9.15989
BAC19889	SELMODRAFT_449402	67.6349	23.8304
BAC19889	SELMODRAFT_451068	70.1245	9.16486
BAC19889	SELMODRAFT_87485	67.6349	8.5385
CAA33908	ADH10450	39.2045	36.3158
CAA33908	SELMODRAFT_137798	39.2045	36.3158
CAA33909	ADH10449	50.5618	47.619
CAA33909	SELMODRAFT_137743	48.8764	47.027
CAA33910	ADH10448	53.0387	51.4745
CAA33910	SELMODRAFT_137854	51.6575	56.6667
CAA33911	ADH10447	71.7557	71.7557
CAA33911	SELMODRAFT_137890	71.5013	71.5013
CAA33911	SELMODRAFT_39915	16.7939	77.6471
CAA33918	SELMODRAFT_121656	69.7674	47.2441
CAA33918	SELMODRAFT_77819	66.2791	49.1379
CAA33918	SELMODRAFT_82882	66.2791	49.1379
CAA33918	SELMODRAFT_92747	69.7674	47.2441
CAA33919	ADH10435	55.7692	55.414
CAA33919	SELMODRAFT_137860	55.7692	55.7692
CAA33920	ADH10434	54.3137	53.6822
CAA33920	SELMODRAFT_137726	53.5294	49.9086
CAA33923	ADH10379	39.7849	39.3617
CAA33923	SELMODRAFT_137703	39.7849	39.3617
CAA33924	ADH10380	45.7875	44.1696
CAA33924	SELMODRAFT_137825	45.0549	42.8571
CAA33924	SELMODRAFT_17971	5.49451	16.4835
CAA33927	ADH10381	49.4624	50
CAA33927	SELMODRAFT_137793	49.4624	46.4646
CAA33928	ADH10380	45.7875	44.1696
CAA33928	SELMODRAFT_137825	45.0549	42.8571
CAA33928	SELMODRAFT_17971	5.49451	16.4835
CAA33930	SELMODRAFT_102311	38.3178	50
CAA33930	SELMODRAFT_79973	38.3178	50
CAA33931	ADH10386	45.5882	46.6165
CAA33931	SELMODRAFT_137784	45.5882	46.6165
CAA33932	ADH10385	65.0406	65.0406
CAA33932	SELMODRAFT_137846	64.2276	59.3985
CAA33933	ADH10384	72.0588	70.5036
CAA33933	SELMODRAFT_137887	69.8529	64.6258
CAA33934	ADH10383	40.1674	42.8571
CAA33934	SELMODRAFT_137759	39.749	42.4107
CAA33935	ADH10382	30.8725	38.3333
CAA33935	SELMODRAFT_137709	30.8725	38.3333
CAA33938	ADH10379	39.7849	39.3617
CAA33938	SELMODRAFT_137703	39.7849	39.3617
CAA33941	ADH10434	54.3137	53.6822
