Gene stable ID	Beta vulgaris subsp. vulgaris gene stable ID	%id. target Beta vulgaris subsp. vulgaris gene identical to query gene	%id. query gene identical to target Beta vulgaris subsp. vulgaris gene
BAC19871	BVRB_042200	29.0323	52.3256
BAC19874	BVRB_2g035710	21.5321	42.1053
BAC19887	BVRB_8g193640	68.8172	69.5652
BAC19889	BVRB_6g132520	73.8589	9.27083
BAC19892	BVRB_012680	54.6512	46.5347
BAC19892	BVRB_1g010680	54.6512	46.5347
CAA33909	BVRB_5g124780	76.9663	80.5882
CAA33919	BVRB_5g108360	79.4872	80
CAA33920	BVRB_7g180310	13.3333	60.7143
CAA33930	BVRB_5g109380	27.1028	51.7857
CAA33931	BVRB_7g180320	20.5882	53.8462
CAA33932	BVRB_033470	68.2927	78.5047
CAA33932	BVRB_4g093640	83.7398	85.124
CAA33933	BVRB_4g074590	53.6765	30.2905
CAA33934	BVRB_4g093650	37.2385	63.1206
CAA33934	BVRB_8g182860	22.5941	72.973
CAA33935	BVRB_4g093660	27.5168	56.1644
CAA33941	BVRB_7g180310	13.3333	60.7143
CAA33942	BVRB_5g108360	79.4872	80
CAA33954	BVRB_7g168100	95.0617	95.0617
CAA33957	BVRB_7g180290	83.3333	83.3333
CAA33960	BVRB_6g139450	61.3043	61.5721
CAA33961	BVRB_013660	46.5625	87.6471
CAA33965	BVRB_2g037630	98.7952	98.7952
CAA33968	BVRB_019610	81.8182	57.1429
CAA33977	BVRB_017630	54.4186	75
CAA33977	BVRB_1g008880	48.8372	84.6774
CAA33980	BVRB_011720	48.951	58.8235
CAA33980	BVRB_023160	46.8531	58.7719
CAA33980	BVRB_042230	61.5385	69.8413
CAA33987	BVRB_029090	6.8915	70.1493
CAA33989	BVRB_032520	13.5593	74.4186
CAA33990	BVRB_032280	48.9879	84.6154
CAA33991	BVRB_038090	80.2469	92.8571
CAA33992	BVRB_4g094260	21.6667	69.6429
CAA33993	BVRB_021470	46.3511	85.1449
CAA33993	BVRB_1g011690	10.6509	43.5484
CAA33993	BVRB_8g185160	18.5404	72.8682
CAA33996	BVRB_7g180180	16.2667	86.5248
CAA33996	BVRB_7g180190	9.46667	28.0632
CAA33996	BVRB_7g180200	18.6667	43.2099
CAA33997	BVRB_7g180640	91.1243	95.6522
CAA33998	BVRB_7g180170	20.398	75.9259
CAA33999	BVRB_7g165970	42.1384	72.8261
CAA34000	BVRB_5g111340	8.94309	11.9565
CAA34001	BVRB_7g180260	38.3333	74.1936
CAA34002	BVRB_030820	38.6861	66.25
CAA34003	BVRB_017690	46.7871	86.6171
CAA34003	BVRB_037600	28.9157	83.237
CAA34004	BVRB_030460	13.2075	78.75
CAA34007	BVRB_5g110110	37.9603	93.7063
CAA34013	BVRB_5g110350	80.17	95.6081
CAA34015	BVRB_7g180210	87.0968	87.0968
Os01g0100100	BVRB_3g057880	52.1368	52.8902
Os01g0100400	BVRB_3g056030	58.0101	58.6031
Os01g0100400	BVRB_5g097940	62.3946	62.2896
Os01g0100400	BVRB_5g118530	63.7437	62.8952
Os01g0100500	BVRB_2g024580	26.9084	33.8942
Os01g0100500	BVRB_4g080840	37.2137	39.3145
Os01g0100600	BVRB_4g075480	34.0845	41.4384
Os01g0100700	BVRB_3g050700	85.5	81.0427
Os01g0100800	BVRB_6g132660	25.2809	24.6575
Os01g0100800	BVRB_6g150460	16.2921	24.8927
Os01g0100900	BVRB_6g150440	71.7996	71.9331
Os01g0101150	BVRB_6g151940	44.6914	44.2002
Os01g0101300	BVRB_5g110300	61.1794	59.1449
Os01g0101600	BVRB_3g065620	41.3088	40.9736
Os01g0101700	BVRB_3g065580	38.8298	37.0558
Os01g0101800	BVRB_3g065170	18.0473	17.1348
Os01g0102000	BVRB_5g124530	52.4621	59.3148
Os01g0102300	BVRB_5g124510	36.965	38.9344
Os01g0102400	BVRB_023860	4.27553	17.8218
Os01g0102500	BVRB_6g150390	60.5422	58.0925
Os01g0102600	BVRB_6g130930	33.4572	30.303
Os01g0102700	BVRB_6g152120	42.439	44.6154
Os01g0102700	BVRB_6g152130	42.439	44.6154
