Gene stable ID	Chondrus crispus gene stable ID	%id. target Chondrus crispus gene identical to query gene	%id. query gene identical to target Chondrus crispus gene
BAC19887	CHC_T00002798001	34.4086	36.3636
BAC19900	CHC_T00006423001	50	37.6984
CAA33909	CHC_T00003883001	24.1573	19.8157
CAA33918	CHC_470	80.2326	55.6452
CAA33919	CHC_465	50	50
CAA33923	CHC_585	34.4086	32
CAA33924	CHC_580	46.1538	45.8182
CAA33927	CHC_575	52.6882	53.2609
CAA33928	CHC_580	46.1538	45.8182
CAA33930	CHC_T00008801001	31.7757	48.5714
CAA33931	CHC_530	50	51.5152
CAA33932	CHC_545	61.7886	62.2951
CAA33933	CHC_560	63.2353	62.7737
CAA33934	CHC_565	36.8201	40
CAA33935	CHC_570	26.1745	33.913
CAA33938	CHC_585	34.4086	32
CAA33942	CHC_465	50	50
CAA33950	CHC_T00001073001	23.9782	38.3442
CAA33952	CHC_1050	43.3022	45.7237
CAA33954	CHC_1075	85.1852	85.1852
CAA33958	CHC_915	40	40.884
CAA33960	CHC_895	26.9565	22.3022
CAA33961	CHC_735	53.4375	53.4375
CAA33962	CHC_1155	62.5	64.1026
CAA33963	CHC_1160	78.9474	78.9474
CAA33964	CHC_1165	66.6667	59.0909
CAA33965	CHC_1170	68.6747	67.8571
CAA33967	CHC_620	72.973	72.973
CAA33969	CHC_785	42.4242	43.0769
CAA33970	CHC_780	17.1779	40
CAA33971	CHC_715	34.4538	35.9649
CAA33972	CHC_T00008948001	45.3704	37.2624
CAA33973	CHC_440	77.3622	77.2102
CAA33974	CHC_435	65.7143	74.1936
CAA33975	CHC_430	60.4651	60.4651
CAA33976	CHC_425	49.3151	53.7313
CAA33977	CHC_305	90.2326	90.2326
CAA33978	CHC_310	74.375	74.375
CAA33980	CHC_495	38.4615	42.6357
CAA33981	CHC_505	70.2703	70.2703
CAA33985	CHC_675	62.069	62.069
CAA33986	CHC_795	43.2558	40.5052
CAA33987	CHC_T00002920001	16.2757	8.88
CAA33989	CHC_810	44.0678	44.6352
CAA33990	CHC_820	64.3725	64.1129
CAA33991	CHC_825	81.4815	80.4878
CAA33993	CHC_845	71.9921	72.5646
CAA33994	CHC_625	54.3689	56
