Gene stable ID	Ostreococcus lucimarinus gene stable ID	% identity	Ostreococcus lucimarinus % identity	Orthology confidence [0 low, 1 high]
OS01G0100700	OSTLU_12674	81	83	1
OS01G0100900	OSTLU_119543	37	37	1
OS01G0101300	OSTLU_33010	27	31	1
OS01G0101600	OSTLU_26579	8	33	1
OS01G0102300	OSTLU_33443	19	30	1
OS01G0102600	OSTLU_10503	12	19	1
OS01G0103000	OSTLU_87009	41	42	1
OS01G0104600	OSTLU_16748	24	24	1
OS01G0104800	OSTLU_6323	9	24	0
OS01G0104800	OSTLU_8451	6	40	0
OS01G0105800	OSTLU_9276	47	59	1
OS01G0105900	OSTLU_18364	24	33	1
OS01G0106200	OSTLU_7961	48	53	1
OS01G0106700	OSTLU_51045	7	46	1
OS01G0106800	OSTLU_119493	37	43	0
OS01G0106900	OSTLU_31255	60	61	1
OS01G0107900	OSTLU_89546	25	26	1
OS01G0109300	OSTLU_39912	37	36	1
OS01G0110100	OSTLU_26654	19	19	1
OS01G0111100	OSTLU_41204	22	50	1
OS01G0111200	OSTLU_28052	20	30	1
OS01G0116600	OSTLU_36881	27	38	1
OS01G0118000	OSTLU_13796	56	65	1
OS01G0118100	OSTLU_42076	20	31	0
OS01G0118300	OSTLU_3295	31	14	1
OS01G0120300	OSTLU_41128	57	51	1
OS01G0120400	OSTLU_41622	36	35	1
OS01G0120600	OSTLU_119689	22	23	1
OS01G0120800	OSTLU_12762	38	43	1
OS01G0121700	OSTLU_14894	42	51	1
OS01G0127300	OSTLU_10147	31	39	1
OS01G0127900	OSTLU_3605	40	42	1
OS01G0128300	OSTLU_8856	21	34	1
OS01G0128300	OSTLU_93971	23	23	1
OS01G0130000	OSTLU_33926	43	45	1
OS01G0131800	OSTLU_36742	26	21	1
OS01G0131800	OSTLU_93629	26	21	1
OS01G0132800	OSTLU_7303	26	36	1
OS01G0133400	OSTLU_3240	36	46	1
OS01G0133400	OSTLU_52000	31	36	1
OS01G0133500	OSTLU_10245	10	18	1
OS01G0134500	OSTLU_6297	24	36	0
OS01G0135900	OSTLU_25657	22	26	1
OS01G0138500	OSTLU_88941	28	34	1
OS01G0139600	OSTLU_33830	14	17	0
OS01G0140500	OSTLU_8655	35	35	1
OS01G0141100	OSTLU_26031	71	49	1
OS01G0141300	OSTLU_26031	51	55	1
OS01G0141600	OSTLU_94434	20	18	0
OS01G0142200	OSTLU_33384	24	32	1
OS01G0142300	OSTLU_37583	9	10	0
OS01G0142500	OSTLU_8087	31	57	1
OS01G0143100	OSTLU_5951	43	48	1
OS01G0143300	OSTLU_31802	25	24	1
OS01G0143700	OSTLU_31802	24	22	1
OS01G0143800	OSTLU_31802	20	20	1
OS01G0144100	OSTLU_10537	21	34	1
OS01G0144500	OSTLU_34773	34	23	1
OS01G0147200	OSTLU_3738	21	40	1
OS01G0147900	OSTLU_43602	61	46	1
OS01G0148400	OSTLU_34162	7	13	1
OS01G0150000	OSTLU_49170	54	54	1
OS01G0150200	OSTLU_13214	31	30	0
OS01G0150200	OSTLU_29682	31	30	0
OS01G0150400	OSTLU_13214	18	17	0
OS01G0150400	OSTLU_29682	18	17	0
OS01G0150500	OSTLU_13214	20	19	0
OS01G0150500	OSTLU_29682	20	19	0
OS01G0150800	OSTLU_13214	30	30	0
OS01G0150800	OSTLU_29682	30	30	0
OS01G0151200	OSTLU_3329	28	48	1
OS01G0152700	OSTLU_12804	93	34	1
OS01G0152700	OSTLU_13105	93	34	1
OS01G0153200	OSTLU_40222	29	25	0
OS01G0153400	OSTLU_16561	56	35	0
OS01G0155600	OSTLU_8794	10	26	1
OS01G0157800	OSTLU_38616	56	57	0
OS01G0158500	OSTLU_119542	42	42	1
OS01G0164400	OSTLU_26310	32	29	1
OS01G0164500	OSTLU_1733	38	42	1
OS01G0164600	OSTLU_30844	31	24	1
OS01G0164800	OSTLU_26389	20	5	1
OS01G0164900	OSTLU_26389	0	0	1
OS01G0165800	OSTLU_31598	3	3	1
OS01G0166800	OSTLU_40132	28	30	0
OS01G0167500	OSTLU_5074	42	53	1
OS01G0168200	OSTLU_10652	23	46	1
OS01G0168300	OSTLU_92220	14	23	1
OS01G0168400	OSTLU_41951	17	44	1
OS01G0168500	OSTLU_3284	39	46	1
OS01G0168500	OSTLU_41442	19	32	1
OS01G0169500	OSTLU_33410	17	19	1
OS01G0170000	OSTLU_744	33	16	1
OS01G0172000	OSTLU_47741	44	14	1
OS01G0172100	OSTLU_4751	42	53	1
OS01G0172100	OSTLU_49715	39	47	1
OS01G0172200	OSTLU_1794	28	51	0
OS01G0172200	OSTLU_47095	29	53	0
OS01G0173000	OSTLU_26844	30	29	1
OS01G0174000	OSTLU_29020	15	31	1
OS01G0174500	OSTLU_87339	28	27	1
OS01G0174700	OSTLU_40751	32	22	1
OS01G0174900	OSTLU_8492	27	41	1
OS01G0175000	OSTLU_32853	29	33	0
OS01G0175600	OSTLU_36876	18	24	0
OS01G0175600	OSTLU_38528	24	27	0
OS01G0175700	OSTLU_36876	18	24	0
OS01G0175700	OSTLU_38528	24	27	0
OS01G0177200	OSTLU_87099	42	40	1
OS01G0178200	OSTLU_6328	32	39	1
OS01G0178400	OSTLU_35344	46	22	1
OS01G0179200	OSTLU_6042	40	53	1
OS01G0179400	OSTLU_40935	28	31	1
OS01G0179700	OSTLU_12689	81	81	1
OS01G0179800	OSTLU_24852	17	24	1
OS01G0182700	OSTLU_26580	14	16	1
OS01G0183100	OSTLU_40396	39	39	1
OS01G0184000	OSTLU_29087	23	18	1
OS01G0184100	OSTLU_25657	26	31	1
OS01G0184500	OSTLU_31789	28	41	1
OS01G0184800	OSTLU_34013	32	31	1
OS01G0184900	OSTLU_28032	7	18	1
OS01G0185200	OSTLU_23867	33	48	0
OS01G0185500	OSTLU_32579	25	32	1
OS01G0186000	OSTLU_26580	22	17	1
OS01G0186200	OSTLU_35077	8	30	0
OS01G0186700	OSTLU_33378	44	60	1
OS01G0187900	OSTLU_9418	16	75	1
OS01G0188100	OSTLU_36774	28	31	1
OS01G0188100	OSTLU_51291	28	31	1
OS01G0188400	OSTLU_41212	38	44	1
OS01G0191150	OSTLU_33083	26	11	1
OS01G0191500	OSTLU_51888	34	39	1
OS01G0191800	OSTLU_50582	69	60	1
OS01G0192000	OSTLU_24342	30	21	1
OS01G0192300	OSTLU_9418	18	74	1
OS01G0192600	OSTLU_29706	27	29	1
OS01G0192600	OSTLU_51192	27	29	1
OS01G0193600	OSTLU_39526	39	40	1
OS01G0193900	OSTLU_27410	11	11	1
OS01G0193900	OSTLU_27481	11	11	1
OS01G0195500	OSTLU_44011	25	28	1
OS01G0196500	OSTLU_44260	23	24	1
OS01G0198200	OSTLU_24026	63	67	1
OS01G0199400	OSTLU_31753	18	19	1
