A2X747	Ensembl:OPUNC02G21690
A2XPN8	Ensembl:OPUNC04G00700
A2Y626	Ensembl:OPUNC05G19020
A2Y8A8	Ensembl:OPUNC06G00230
A2ZRY8	Ensembl:OPUNC01G11650
A2ZW27	Ensembl:OPUNC01G24830
A2ZWY7	Ensembl:OPUNC01G27690
A3AAR2	Ensembl:OPUNC02G27910
A3AC56	Ensembl:OPUNC02G32580
A3AQC6	Ensembl:OPUNC04G00950
A3BJI6	Ensembl:OPUNC07G12180
A3BZ14	Ensembl:OPUNC09G09490
A3C4N5	Ensembl:OPUNC10G08360
A3CDR8	Ensembl:OPUNC11G18750 Ensembl:OPUNC11G18700
A4LBC0	Ensembl:OPUNC01G28450
A9CM06	Ensembl:OPUNC02G12140
B1B534	Ensembl:OPUNC10G08850
B7E8M5	Ensembl:OPUNC04G02720
B7EA04	Ensembl:OPUNC04G22610
B7EJ81	Ensembl:OPUNC09G12310
B7EM10	Ensembl:OPUNC09G13330
B7F409	Ensembl:OPUNC05G16240
B7F4K3	Ensembl:OPUNC01G14600
B7F7B9	Ensembl:OPUNC02G05660
B7F8P7	Ensembl:OPUNC09G18690
B7F8T0	Ensembl:OPUNC05G09280
B7F924	Ensembl:OPUNC01G17830
B7F9K3	Ensembl:OPUNC09G18220
B7FA34	Ensembl:OPUNC05G22270
B7FA90	Ensembl:OPUNC06G21180
B7FAP2	Ensembl:OPUNC01G05010
B8ACC6	Ensembl:OPUNC01G24140
B8AG62	Ensembl:OPUNC02G00250
B8AHI9	Ensembl:OPUNC02G14470
B8AT82	Ensembl:OPUNC04G08650
B8AZ97	Ensembl:OPUNC05G17770
B8B8K7	Ensembl:OPUNC07G20930
B8BB38	Ensembl:OPUNC08G14240
B8BF84	Ensembl:OPUNC09G07900
B9EUK4	Ensembl:OPUNC01G08500
B9EZJ8	Ensembl:OPUNC01G29760
B9F8T8	Ensembl:OPUNC02G07710 Ensembl:OPUNC03G18910
B9FRT6	Ensembl:OPUNC06G04740
B9FYX6	Ensembl:OPUNC08G01930
B9FZ46	Ensembl:OPUNC08G03030
B9G3A7	Ensembl:OPUNC09G07070
B9G4Z8	Ensembl:OPUNC09G17450
B9G6J6	Ensembl:OPUNC10G13710
C7IWK8	Ensembl:OPUNC01G33450
C7J0P3	Ensembl:OPUNC03G14060
C7J5F5	Ensembl:OPUNC08G15540
C7J5T9	Ensembl:OPUNC08G15550
C7J732	Ensembl:OPUNC09G06410
D5A7I6	Ensembl:OPUNC11G02080
D5A7J1	Ensembl:OPUNC05G24420
H6TFZ4	Ensembl:OPUNC04G04410
I1QJ08	Ensembl:OPUNC08G14160
I1QQP8	Ensembl:OPUNC09G15910
O04226	Ensembl:OPUNC05G16550
O04882	Ensembl:OPUNC01G27790
O22105	Ensembl:OPUNC03G35060
O22567	Ensembl:OPUNC05G14300
O24174	Ensembl:OPUNC04G13080
O24210	Ensembl:OPUNC03G38280
O64422	Ensembl:OPUNC03G11390
O64437	Ensembl:OPUNC03G06510
O82117	Ensembl:OPUNC09G01480
O82427	Ensembl:OPUNC03G02590
P0C128	Ensembl:OPUNC08G00650
P0C129	Ensembl:OPUNC11G06990
P0C587	Ensembl:OPUNC10G13390
P0C5A4	Ensembl:OPUNC05G21940 Ensembl:OPUNC05G21880
P0C5B2	Ensembl:OPUNC10G15300
P14654	Ensembl:OPUNC03G08600
P14655	Ensembl:OPUNC04G25650
P14656	Ensembl:OPUNC02G29390 Ensembl:OPUNC02G29370
P14717	Ensembl:OPUNC02G22510
P15280	Ensembl:OPUNC08G10720
P16081	Ensembl:OPUNC08G15460
P17784	Ensembl:OPUNC05G13940 Ensembl:OPUNC05G13960
P17814	Ensembl:OPUNC08G07160
P18566	Ensembl:OPUNC12G08350
P30298	Ensembl:OPUNC06G05810
P31924	Ensembl:OPUNC03G19510
