A2X747	Ensembl:OBART02G23830
A2XPN8	Ensembl:OBART04G00630
A2Y626	Ensembl:OBART05G21360
A2Y8A8	Ensembl:OBART06G00250
A2ZW27	Ensembl:OBART01G24840
A2ZWY7	Ensembl:OBART01G27810
A3AAR2	Ensembl:OBART02G30290
A3AC56	Ensembl:OBART02G35410
A3AQC6	Ensembl:OBART04G00900
A3BZ14	Ensembl:OBART09G10980
A3C4N5	Ensembl:OBART10G09640
A3CDR8	Ensembl:OBART11G22150
A4LBC0	Ensembl:OBART01G28660
A9CM06	Ensembl:OBART02G13630
B1B534	Ensembl:OBART10G10130
B7E8M5	Ensembl:OBART04G02820
B7EA04	Ensembl:OBART04G25570
B7EJ81	Ensembl:OBART09G13850
B7EM10	Ensembl:OBART09G14880
B7ERE7	Ensembl:OBART09G19170
B7F409	Ensembl:OBART05G18420
B7F4K3	Ensembl:OBART03G01100
B7F7B9	Ensembl:OBART02G06370
B7F8P7	Ensembl:OBART09G20410
B7F8T0	Ensembl:OBART05G10890
B7F924	Ensembl:OBART01G17310
B7F9K3	Ensembl:OBART09G19890
B7FA34	Ensembl:OBART05G24750
B7FA90	Ensembl:OBART06G23480
B7FA99	Ensembl:OBART02G13470
B7FAE9	Ensembl:OBART06G05580
B8ACC6	Ensembl:OBART01G24160
B8AG62	Ensembl:OBART02G00600
B8AHI9	Ensembl:OBART02G16240
B8AT82	Ensembl:OBART04G10580
B8AY22	Ensembl:OBART05G15710
B8AZ97	Ensembl:OBART05G20050
B8B8K7	Ensembl:OBART07G22330
B8BB38	Ensembl:OBART08G16180
B8BF84	Ensembl:OBART09G09320 Ensembl:OBART12G11320
B9EUK4	Ensembl:OBART01G08640
B9EZJ8	Ensembl:OBART01G29910
B9F8T8	Ensembl:OBART03G20090
B9FM98	Ensembl:OBART12G13150
B9FRT6	Ensembl:OBART07G13760
B9FYX6	Ensembl:OBART08G01960
B9FZ46	Ensembl:OBART08G03240
B9G3A7	Ensembl:OBART09G08240
B9G4Z8	Ensembl:OBART09G19100
B9G6J6	Ensembl:OBART10G15240
C7IWK8	Ensembl:OBART01G34430
C7IXG8	Ensembl:OBART01G34030
C7J0P3	Ensembl:OBART03G14540
C7J5F5	Ensembl:OBART08G17720
C7J5T9	Ensembl:OBART08G17740
C7J6Z0	Ensembl:OBART09G07410
C7J732	Ensembl:OBART09G07640
D5A7J1	Ensembl:OBART05G26800
E5RQA1	Ensembl:OBART07G06400
H6TFZ4	Ensembl:OBART04G05240
I1QJ08	Ensembl:OBART08G16130
I1QQP8	Ensembl:OBART09G17550
O04226	Ensembl:OBART05G18960
O04882	Ensembl:OBART01G27900
O22105	Ensembl:OBART03G38000
O22567	Ensembl:OBART05G16180
O24174	Ensembl:OBART04G15230
O24210	Ensembl:OBART03G41200
O64422	Ensembl:OBART03G11840
O64437	Ensembl:OBART03G06720
O82427	Ensembl:OBART03G02860
P0C128	Ensembl:OBART08G00680
P0C129	Ensembl:OBART11G07070
P0C132	Ensembl:OBART12G18090
P0C587	Ensembl:OBART10G14870
P0C5A4	Ensembl:OBART05G24440
P0C5B2	Ensembl:OBART10G16960
P14654	Ensembl:OBART03G08910
P14655	Ensembl:OBART04G28170
P14656	Ensembl:OBART02G31620
P14717	Ensembl:OBART02G24730
P15280	Ensembl:OBART08G11760
P16081	Ensembl:OBART08G17610
P17784	Ensembl:OBART05G15800
P17814	Ensembl:OBART08G07460
P18566	Ensembl:OBART12G09080
P30298	Ensembl:OBART06G06050
P31924	Ensembl:OBART03G20680
P37833	Ensembl:OBART01G31740
P38419	Ensembl:OBART08G19970
P42862	Ensembl:OBART03G35980
P42863	Ensembl:OBART06G09780
P48642	Ensembl:OBART02G37000
P93438	Ensembl:OBART01G13590
P93844	Ensembl:OBART06G20390
Q01KF3	Ensembl:OBART10G03780
Q05JG2	Ensembl:OBART02G29320
Q06967	Ensembl:OBART03G31590
Q0D3B6	Ensembl:OBART07G27450
Q0D3D2	Ensembl:OBART07G27290
Q0D3H8	Ensembl:OBART07G26790
Q0D3T5	Ensembl:OBART07G25600
Q0D7I3	Ensembl:OBART07G08590
Q0D7W4	Ensembl:OBART07G06740
Q0D8I9	Ensembl:OBART07G03530
Q0D8J6	Ensembl:OBART07G03470
Q0D8N3	Ensembl:OBART07G02670
Q0D980	Ensembl:OBART07G00160
Q0DAA4	Ensembl:OBART06G23980
Q0DAE1	Ensembl:OBART06G23570
Q0DAJ3	Ensembl:OBART02G06150
Q0DBD3	Ensembl:OBART06G19190
Q0DBF4	Ensembl:OBART06G18950
