Gene stable ID	Brassica rapa gene stable ID	%id. target Brassica rapa gene identical to query gene	%id. query gene identical to target Brassica rapa gene
BAC19853	Bra013231	16.7857	58.0247
BAC19874	Bra031984	18.4265	42.9952
BAC19887	Bra001922	56.9892	38.1295
BAC19887	Bra014985	59.1398	21.8254
BAC19887	Bra028346	58.0645	23.176
BAC19889	Bra037213	72.6141	9.1623
CAA33909	Bra041055	89.3258	92.4419
CAA33911	Bra010822	12.7226	70.4225
CAA33915	Bra021037	18.797	10.5485
CAA33915	Bra041142	22.5564	28.0374
CAA33919	Bra041145	99.359	99.359
CAA33924	Bra040982	52.7473	87.2727
CAA33928	Bra040982	52.7473	87.2727
CAA33930	Bra040979	60.7477	79.2683
CAA33932	Bra040980	78.8618	56.7251
CAA33933	Bra016064	63.2353	26.3804
CAA33934	Bra040981	94.5607	94.5607
CAA33942	Bra041145	99.359	99.359
CAA33945	Bra021037	18.797	10.5485
CAA33945	Bra041142	22.5564	28.0374
CAA33958	Bra041105	92.4324	92.4324
CAA33961	Bra041106	97.1875	97.1875
CAA33965	Bra041107	100	100
CAA33971	Bra040975	90.7563	90.7563
CAA33972	Bra040976	41.6667	96.7742
CAA33973	Bra040977	92.9134	97.1193
CAA33980	Bra040978	73.4266	22.1053
CAA33989	Bra041038	84.322	96.6019
CAA33993	Bra041120	97.2387	97.8175
CAA33996	Bra041122	70.4	96.7033
CAA34000	Bra006117	29.2683	33.1797
CAA34000	Bra008938	29.2683	33.3333
CAA34000	Bra023341	28.8618	32.7189
CAA34014	Bra041123	16.0677	97.4359
Os01g0100100	Bra004766	47.0085	46.1538
Os01g0100100	Bra007460	48.0057	45.9128
Os01g0100100	Bra037712	43.8746	44.8326
Os01g0100400	Bra000773	60.8769	61.7094
Os01g0100400	Bra013877	56.1551	55.7789
Os01g0100400	Bra018479	61.0455	61.7747
Os01g0100400	Bra020700	63.575	63.3613
Os01g0100400	Bra022551	57.1669	56.7839
Os01g0100400	Bra028255	34.0641	52.3316
Os01g0100400	Bra029171	56.3238	57.094
Os01g0100700	Bra001428	83.5	80.6763
Os01g0100700	Bra005209	85	82.1256
Os01g0100700	Bra017199	84	81.1594
Os01g0100700	Bra023113	85	43.9277
Os01g0100700	Bra034799	84	81.1594
Os01g0100700	Bra038689	84	81.1594
Os01g0100800	Bra010956	29.2135	30.0578
Os01g0100800	Bra032812	26.6854	23.1707
Os01g0100800	Bra032813	25.5618	28.1734
Os01g0100900	Bra010909	70.3154	69.6691
Os01g0100900	Bra032860	8.53432	64.7887
Os01g0101150	Bra028462	47.284	47.1675
Os01g0101300	Bra019204	61.6708	59.7619
Os01g0101600	Bra014989	40.4908	45.465
Os01g0101700	Bra013993	35.6383	33.5
Os01g0101700	Bra032742	36.1702	34
Os01g0101800	Bra014976	17.7515	19.4175
Os01g0102000	Bra018045	53.9773	60.2537
