A2XPN8	Ensembl:BVRB_1g022200
A2Y626	Ensembl:BVRB_2g042320 Ensembl:BVRB_3g063580
A2Y8A8	Ensembl:BVRB_5g118530 Ensembl:BVRB_5g097940 Ensembl:BVRB_3g056030
A2ZRY8	Ensembl:BVRB_3g070500
A2ZW27	Ensembl:BVRB_9g210240
A2ZWY7	Ensembl:BVRB_2g034480
A3AAR2	Ensembl:BVRB_7g159480
A3AC56	Ensembl:BVRB_8g192320
A3AQC6	Ensembl:BVRB_4g081640
A3B7R7	Ensembl:BVRB_7g175810
A3B9A0	Ensembl:BVRB_8g190650
A3BZ14	Ensembl:BVRB_8g192320
A3C6G9	Ensembl:BVRB_5g106360
A9CM06	Ensembl:BVRB_5g107030 Ensembl:BVRB_9g225780 Ensembl:BVRB_4g086570 Ensembl:BVRB_9g225800
B1B534	Ensembl:BVRB_5g119990
B7E8M5	Ensembl:BVRB_1g004790
B7EA04	Ensembl:BVRB_7g159350
B7EM10	Ensembl:BVRB_6g139620 Ensembl:BVRB_2g040480 Ensembl:BVRB_6g130130
B7ERE7	Ensembl:BVRB_6g131640
B7F4K3	Ensembl:BVRB_7g160330
B7F7B9	Ensembl:BVRB_8g193450 Ensembl:BVRB_2g030670
B7F8P7	Ensembl:BVRB_3g049250
B7F956	Ensembl:BVRB_5g099850
B7F9K3	Ensembl:BVRB_7g160330
B7FA24	Ensembl:BVRB_3g063510 Ensembl:BVRB_3g063500 Ensembl:BVRB_3g063480
B7FA90	Ensembl:BVRB_8g198360
B7FA99	Ensembl:BVRB_5g107030 Ensembl:BVRB_9g225780 Ensembl:BVRB_4g086570 Ensembl:BVRB_9g225800
B7FAE9	Ensembl:BVRB_2g044150
B7FAP2	Ensembl:BVRB_3g065160
B8ACC6	Ensembl:BVRB_006270
B8AG62	Ensembl:BVRB_5g098340
B8AHI9	Ensembl:BVRB_4g097180
B8AY22	Ensembl:BVRB_8g187490
B8AZ97	Ensembl:BVRB_7g157660
B8B8K7	Ensembl:BVRB_7g169130
B8BB38	Ensembl:BVRB_9g223090
B9EUK4	Ensembl:BVRB_1g002880 Ensembl:BVRB_5g125780
B9EZJ8	Ensembl:BVRB_8g196270 Ensembl:BVRB_8g196280 Ensembl:BVRB_2g031740
B9F3B6	Ensembl:BVRB_2g047750
B9FDB8	Ensembl:BVRB_8g183390
B9FLB9	Ensembl:BVRB_5g115070
B9FRT6	Ensembl:BVRB_3g062630
B9FYX6	Ensembl:BVRB_8g187880
B9FZ46	Ensembl:BVRB_5g118530 Ensembl:BVRB_5g097940 Ensembl:BVRB_3g056030
B9G3A7	Ensembl:BVRB_5g116720
B9G4Z8	Ensembl:BVRB_6g135980
B9G6J6	Ensembl:BVRB_5g118530 Ensembl:BVRB_5g097940 Ensembl:BVRB_3g056030
B9G942	Ensembl:BVRB_4g075150
C7IWB6	Ensembl:BVRB_5g124540
C7IWK8	Ensembl:BVRB_2g041830 Ensembl:BVRB_3g062960
C7IXG8	Ensembl:BVRB_2g038200
C7IY93	Ensembl:BVRB_2g044720
D5A7I6	Ensembl:BVRB_3g063090 Ensembl:BVRB_8g185320
D5A7J1	Ensembl:BVRB_3g061190
E3WF37	Ensembl:BVRB_8g191220
H6TFZ4	Ensembl:BVRB_4g084720
I1QJ08	Ensembl:BVRB_8g184370
I1QQP8	Ensembl:BVRB_5g117180
I3QK18	Ensembl:BVRB_5g104710
O04226	Ensembl:BVRB_2g025540
O04882	Ensembl:BVRB_4g090750 Ensembl:BVRB_8g184270
O22105	Ensembl:BVRB_9g216620 Ensembl:BVRB_9g216610
O22567	Ensembl:BVRB_001500
O24174	Ensembl:BVRB_5g116230
