Gene stable ID	Musa acuminata gene stable ID	% identity	Musa acuminata % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	GSMUA_Achr6G28710_001	41	55	1
OS01G0100100	GSMUA_Achr9G08200_001	44	53	1
OS01G0100400	GSMUA_Achr3G17240_001	71	71	1
OS01G0100500	GSMUA_Achr3G19470_001	57	57	1
OS01G0100500	GSMUA_Achr7G23030_001	47	47	1
OS01G0100500	GSMUA_Achr8G17460_001	48	59	1
OS01G0100600	GSMUA_Achr9G07410_001	37	43	1
OS01G0100700	GSMUA_Achr11G15170_001	89	91	1
OS01G0100700	GSMUA_Achr5G25340_001	61	95	1
OS01G0100700	GSMUA_Achr5G25350_001	20	73	1
OS01G0100700	GSMUA_Achr8G00980_001	89	91	1
OS01G0100700	GSMUA_Achr8G08850_001	90	92	1
OS01G0100700	GSMUA_AchrUn_randomG00810_001	89	91	1
OS01G0100800	GSMUA_Achr2G21220_001	33	43	1
OS01G0100800	GSMUA_Achr3G02530_001	34	37	1
OS01G0100800	GSMUA_Achr6G27660_001	32	46	1
OS01G0100900	GSMUA_Achr6G06370_001	73	73	1
OS01G0101150	GSMUA_Achr9G08160_001	38	55	1
OS01G0101300	GSMUA_Achr6G27630_001	66	63	1
OS01G0101600	GSMUA_Achr6G27700_001	49	41	1
OS01G0101700	GSMUA_Achr3G17350_001	46	43	1
OS01G0101700	GSMUA_Achr8G28320_001	31	52	1
OS01G0101800	GSMUA_Achr3G17320_001	14	37	1
OS01G0101900	GSMUA_Achr10G29080_001	58	61	1
OS01G0101900	GSMUA_Achr11G10910_001	54	57	1
OS01G0101900	GSMUA_Achr11G19560_001	56	58	1
OS01G0101900	GSMUA_Achr7G22960_001	58	61	1
OS01G0102000	GSMUA_Achr10G11730_001	51	52	1
OS01G0102300	GSMUA_Achr3G02560_001	40	47	1
OS01G0102400	GSMUA_Achr10G20180_001	10	33	0
OS01G0102500	GSMUA_Achr6G06070_001	67	66	1
OS01G0102600	GSMUA_Achr6G10980_001	41	38	1
OS01G0102700	GSMUA_Achr10G18470_001	48	48	1
OS01G0102700	GSMUA_Achr2G21470_001	50	64	1
OS01G0102700	GSMUA_Achr3G02310_001	46	69	1
OS01G0102800	GSMUA_AchrUn_randomG10700_001	57	47	1
OS01G0102900	GSMUA_Achr6G28670_001	48	46	1
OS01G0103000	GSMUA_Achr10G12100_001	43	55	1
OS01G0103000	GSMUA_Achr10G12110_001	21	64	1
OS01G0103000	GSMUA_Achr6G16430_001	72	71	1
OS01G0103000	GSMUA_Achr6G23800_001	74	73	1
OS01G0103100	GSMUA_Achr9G01100_001	61	62	0
OS01G0103600	GSMUA_Achr6G06170_001	68	67	1
OS01G0103700	GSMUA_Achr3G02400_001	36	5	1
OS01G0103800	GSMUA_Achr5G22220_001	49	56	1
OS01G0103800	GSMUA_Achr6G36370_001	50	53	1
OS01G0103800	GSMUA_Achr7G20740_001	36	49	1
OS01G0103900	GSMUA_Achr8G16540_001	54	41	1
OS01G0104000	GSMUA_Achr10G28980_001	72	72	1
OS01G0104100	GSMUA_Achr10G05060_001	61	58	1
OS01G0104400	GSMUA_Achr11G25060_001	39	37	0
OS01G0104400	GSMUA_Achr3G09540_001	35	56	0
OS01G0104400	GSMUA_Achr5G27780_001	41	34	0
OS01G0104400	GSMUA_Achr6G32300_001	41	37	0
OS01G0104400	GSMUA_Achr6G32310_001	48	40	0
OS01G0104500	GSMUA_Achr10G05070_001	38	54	1
OS01G0104500	GSMUA_Achr3G09520_001	41	41	1
OS01G0104500	GSMUA_Achr3G18020_001	39	43	1
OS01G0104500	GSMUA_Achr5G07600_001	40	52	1
OS01G0104500	GSMUA_Achr6G08600_001	43	39	1
OS01G0104500	GSMUA_Achr6G32290_001	38	35	1
OS01G0104500	GSMUA_Achr7G18330_001	41	43	1
OS01G0104500	GSMUA_Achr8G21470_001	42	26	1
OS01G0104500	GSMUA_Achr9G16920_001	39	41	1
OS01G0104600	GSMUA_Achr7G07400_001	36	77	1
OS01G0104600	GSMUA_Achr7G07410_001	40	70	1
OS01G0104800	GSMUA_Achr6G08480_001	41	40	1
OS01G0104900	GSMUA_Achr10G20700_001	44	50	1
OS01G0104900	GSMUA_Achr8G18630_001	48	54	1
OS01G0105700	GSMUA_Achr2G23100_001	22	39	1
OS01G0105700	GSMUA_Achr3G14500_001	23	31	1
OS01G0105700	GSMUA_Achr3G20780_001	23	26	1
OS01G0105700	GSMUA_Achr8G18650_001	23	33	1
OS01G0105700	GSMUA_AchrUn_randomG23330_001	26	31	1
OS01G0105900	GSMUA_Achr2G22960_001	13	67	1
OS01G0105900	GSMUA_Achr3G01160_001	71	51	1
OS01G0106200	GSMUA_Achr10G20570_001	76	78	1
OS01G0106200	GSMUA_Achr2G22950_001	72	74	1
OS01G0106200	GSMUA_Achr6G03220_001	46	81	1
OS01G0106200	GSMUA_Achr6G09020_001	75	77	1
OS01G0106300	GSMUA_Achr1G27480_001	30	51	1
OS01G0106300	GSMUA_Achr1G27490_001	16	56	1
OS01G0106300	GSMUA_Achr2G14320_001	53	54	1
OS01G0106300	GSMUA_Achr4G24530_001	55	46	1
OS01G0106300	GSMUA_Achr7G00040_001	52	53	1
OS01G0106400	GSMUA_Achr1G27480_001	31	51	1
OS01G0106400	GSMUA_Achr1G27490_001	16	56	1
OS01G0106400	GSMUA_Achr2G14320_001	56	57	1
OS01G0106400	GSMUA_Achr4G24530_001	54	45	1
OS01G0106400	GSMUA_Achr7G00040_001	56	57	1
OS01G0106700	GSMUA_Achr6G09140_001	47	47	1
OS01G0106800	GSMUA_Achr10G20410_001	79	80	0
OS01G0106800	GSMUA_Achr3G01180_001	77	91	0
OS01G0106800	GSMUA_Achr4G17170_001	72	91	0
OS01G0106800	GSMUA_Achr6G09150_001	79	80	0
OS01G0106900	GSMUA_Achr2G22890_001	85	65	1
OS01G0106900	GSMUA_Achr3G20790_001	83	83	1
OS01G0107000	GSMUA_Achr10G20380_001	33	31	1
OS01G0107700	GSMUA_Achr1G20600_001	49	59	1
OS01G0107900	GSMUA_Achr10G20350_001	11	72	1
OS01G0107900	GSMUA_Achr9G00820_001	48	47	1
OS01G0108000	GSMUA_Achr1G20630_001	50	50	1
OS01G0108000	GSMUA_Achr8G14450_001	51	54	1
OS01G0108200	GSMUA_Achr11G16750_001	74	67	1
OS01G0108200	GSMUA_Achr4G25790_001	69	69	1
OS01G0108200	GSMUA_Achr5G18980_001	73	73	1
OS01G0108400	GSMUA_Achr2G14390_001	32	42	1
OS01G0108400	GSMUA_Achr2G14460_001	32	42	1
OS01G0108400	GSMUA_Achr3G20800_001	34	46	1
OS01G0108400	GSMUA_Achr4G24440_001	33	43	1
OS01G0108400	GSMUA_Achr7G12070_001	34	45	1
OS01G0108600	GSMUA_Achr2G14390_001	38	49	1
OS01G0108600	GSMUA_Achr2G14460_001	38	49	1
OS01G0108600	GSMUA_Achr3G20800_001	40	54	1
OS01G0108600	GSMUA_Achr4G24440_001	38	48	1
OS01G0108600	GSMUA_Achr7G12070_001	38	49	1
OS01G0108800	GSMUA_Achr8G14440_001	48	21	1
OS01G0108800	GSMUA_Achr9G00810_001	43	18	1
OS01G0109300	GSMUA_Achr10G25340_001	67	70	1
OS01G0109700	GSMUA_Achr11G13590_001	61	58	1
OS01G0109700	GSMUA_Achr1G20690_001	64	63	1
OS01G0109700	GSMUA_Achr2G09580_001	59	58	1
OS01G0109700	GSMUA_Achr9G00800_001	63	60	1
OS01G0109750	GSMUA_Achr1G20680_001	34	26	1
OS01G0109750	GSMUA_Achr2G09590_001	32	27	1
OS01G0110100	GSMUA_Achr1G20650_001	66	66	1
OS01G0110400	GSMUA_Achr1G09500_001	75	78	1
OS01G0110400	GSMUA_Achr1G16400_001	70	77	1
OS01G0110400	GSMUA_Achr1G19180_001	75	76	1
OS01G0110500	GSMUA_Achr10G20290_001	52	50	1
OS01G0110500	GSMUA_Achr2G09600_001	51	54	1
OS01G0110500	GSMUA_Achr2G14510_001	47	50	1
OS01G0110500	GSMUA_Achr4G24400_001	46	49	1
OS01G0110700	GSMUA_Achr1G20720_001	69	63	1
OS01G0110800	GSMUA_Achr10G20250_001	39	48	1
OS01G0110800	GSMUA_Achr8G03860_001	45	57	1
OS01G0110800	GSMUA_Achr9G00780_001	50	50	1
OS01G0110800	GSMUA_AchrUn_randomG20550_001	40	49	1
OS01G0111100	GSMUA_Achr8G14410_001	53	43	0
OS01G0111200	GSMUA_Achr1G20740_001	55	58	1
OS01G0111200	GSMUA_Achr2G07060_001	52	55	1
OS01G0111200	GSMUA_Achr9G00760_001	51	53	1
OS01G0111400	GSMUA_Achr6G09360_001	55	59	1
OS01G0111500	GSMUA_Achr10G20230_001	37	37	1
OS01G0111500	GSMUA_Achr2G22860_001	35	32	1
OS01G0111500	GSMUA_Achr3G01250_001	27	65	1
OS01G0111500	GSMUA_Achr6G09370_001	37	32	1
OS01G0111600	GSMUA_Achr3G20880_001	66	66	1
OS01G0111600	GSMUA_Achr6G09410_001	66	66	1
OS01G0111600	GSMUA_AchrUn_randomG20510_001	66	66	1
OS01G0112100	GSMUA_Achr6G27360_001	36	34	1
OS01G0112500	GSMUA_Achr10G20190_001	65	61	1
OS01G0112500	GSMUA_Achr1G20800_001	64	63	1
OS01G0112500	GSMUA_Achr4G24390_001	62	34	1
OS01G0112500	GSMUA_Achr6G09450_001	53	54	1
OS01G0112500	GSMUA_Achr9G00690_001	31	51	1
OS01G0112500	GSMUA_Achr9G00700_001	17	59	1
OS01G0112500	GSMUA_AchrUn_randomG12570_001	63	59	1
OS01G0113200	GSMUA_AchrUn_randomG08850_001	42	28	1
OS01G0113200	GSMUA_AchrUn_randomG23380_001	38	27	1
OS01G0113300	GSMUA_Achr10G20170_001	39	44	1
OS01G0113300	GSMUA_Achr1G12150_001	39	40	1
OS01G0113300	GSMUA_Achr1G12320_001	37	41	1
OS01G0113400	GSMUA_Achr10G20170_001	36	42	1
OS01G0113400	GSMUA_Achr1G12150_001	39	41	1
OS01G0113400	GSMUA_Achr1G12320_001	36	41	1
OS01G0113500	GSMUA_AchrUn_randomG08850_001	42	45	1
