A2XPN8	Ensembl:OB04G10560
A2Y626	Ensembl:OB05G28810
A2Y8A8	Ensembl:OB06G10340
A2ZW27	Ensembl:OB01G34030
A2ZWY7	Ensembl:OB01G36950
A3AAR2	Ensembl:OB02G37420
A3AC56	Ensembl:OB02G42240
A3C4N5	Ensembl:OB10G17480
A3CDR8	Ensembl:OB11G26720
A4LBC0	Ensembl:OB01G37620
A9CM06	Ensembl:OB02G22070
B1B534	Ensembl:OB10G18000
B7EA04	Ensembl:OB04G32030
B7EM10	Ensembl:OB09G21450
B7ERE7	Ensembl:OB09G25800
B7F409	Ensembl:OB05G26230
B7F4K3	Ensembl:OB09G26580
B7F7B9	Ensembl:OB02G15710
B7F8P7	Ensembl:OB09G27130
B7F8T0	Ensembl:OB05G19690 Ensembl:OB12G23760
B7F924	Ensembl:OB01G26870
B7F9K3	Ensembl:OB09G26580
B7FA24	Ensembl:OB01G43120
B7FA34	Ensembl:OB05G32180
B7FA90	Ensembl:OB06G31090
B7FAE9	Ensembl:OB06G15160
B8ACC6	Ensembl:OB01G33450
B8AG62	Ensembl:OB02G10600
B8AHI9	Ensembl:OB02G24390
B8AT82	Ensembl:OB04G17760
B8AZ97	Ensembl:OB05G27650
B8B8K7	Ensembl:OB07G27860
B8BB38	Ensembl:OB08G23710
B8BF84	Ensembl:OB09G16090
B9EUK4	Ensembl:OB01G18840
B9EZJ8	Ensembl:OB01G38810
B9F8T8	Ensembl:OB03G29260
B9FRT6	Ensembl:OB06G14570
B9FYX6	Ensembl:OB08G12180
B9FZ46	Ensembl:OB08G13450
B9G3A7	Ensembl:OB09G15590
B9G4Z8	Ensembl:OB09G25720
B9G6J6	Ensembl:OB10G22330
C7IWK8	Ensembl:OB01G43330
C7J0P3	Ensembl:OB03G24480
C7J5F5	Ensembl:OB08G24880
C7J5T9	Ensembl:OB08G24890
C7J732	Ensembl:OB09G15010
D5A7I6	Ensembl:OB12G12260
D5A7J1	Ensembl:OB05G34360
H6TFZ4	Ensembl:OB04G13990
I1QQP8	Ensembl:OB09G24090
O04226	Ensembl:OB05G26560
O04882	Ensembl:OB01G37080
O22105	Ensembl:OB03G44890
O22567	Ensembl:OB05G24110
O24174	Ensembl:OB04G22560
O24210	Ensembl:OB03G48170
O64422	Ensembl:OB03G21970
O64437	Ensembl:OB03G16880
O82117	Ensembl:OB09G10860
O82427	Ensembl:OB03G12860
P0C132	Ensembl:OB12G24720
P0C587	Ensembl:OB10G22030
P0C5A4	Ensembl:OB05G31940
P0C5B2	Ensembl:OB10G24040
P14654	Ensembl:OB03G19100
P14655	Ensembl:OB04G35160
P14656	Ensembl:OB02G38630
P14717	Ensembl:OB02G32060
P15280	Ensembl:OB08G20190
P16081	Ensembl:OB08G24790
P17814	Ensembl:OB08G17190
P30298	Ensembl:OB06G15620
P31924	Ensembl:OB03G29830
P37833	Ensembl:OB01G40640
P38419	Ensembl:OB08G26890
P42862	Ensembl:OB03G42910
P48642	Ensembl:OB02G43610
P93438	Ensembl:OB01G23310
P93844	Ensembl:OB06G28090
Q01KF3	Ensembl:OB04G22760
Q01M39	Ensembl:OB04G15980
Q05JG2	Ensembl:OB02G36470
Q06967	Ensembl:OB03G38630
Q0D3B6	Ensembl:OB07G32960
Q0D3D2	Ensembl:OB07G32810
Q0D3H8	Ensembl:OB07G32300
Q0D3T5	Ensembl:OB07G30960
Q0D4Z4	Ensembl:OB07G26430
Q0D7I3	Ensembl:OB07G16320
Q0D7J0	Ensembl:OB07G16220
Q0D7W4	Ensembl:OB07G15070
Q0D8I9	Ensembl:OB07G12670
Q0D8J6	Ensembl:OB07G12610
Q0DAA4	Ensembl:OB06G31730
Q0DAE1	Ensembl:OB06G31240
Q0DAJ3	Ensembl:OB06G30540
Q0DBD3	Ensembl:OB06G26770
Q0DBF4	Ensembl:OB06G26550 Ensembl:OB06G26530 Ensembl:OB06G26560 Ensembl:OB06G26540
Q0DBN4	Ensembl:OB06G25510
Q0DCE9	Ensembl:OB08G15950
Q0DDD2	Ensembl:OB06G17950
Q0DDS1	Ensembl:OB06G16080
Q0DEC8	Ensembl:OB06G13760
Q0DFL6	Ensembl:OB05G34770
Q0DGG8	Ensembl:OB05G31370
Q0DGS1	Ensembl:OB05G30280
Q0DHF6	Ensembl:OB05G27370
Q0DHT1	Ensembl:OB05G26080
Q0DJJ9	Ensembl:OB08G26500
Q0DKE8	Ensembl:OB05G14470
Q0DKM0	Ensembl:OB05G13620
Q0DKP3	Ensembl:OB05G13370
Q0DKY4	Ensembl:OB05G12390
Q0DNU1	Ensembl:OB03G40300
Q0DS41	Ensembl:OB03G26140
Q0DS96	Ensembl:OB03G25460
Q0DSM1	Ensembl:OB03G24060
Q0DUI1	Ensembl:OB03G17240
Q0DV32	Ensembl:OB03G14130
Q0DWC7	Ensembl:OB02G44410
Q0DWF2	Ensembl:OB02G44040
Q0DWY7	Ensembl:OB02G42010
Q0DXA9	Ensembl:OB02G40580
Q0DXM9	Ensembl:OB02G39190
Q0DY86	Ensembl:OB02G36920
Q0DYK7	Ensembl:OB02G35490
Q0DZE0	Ensembl:OB02G32100
Q0E079	Ensembl:OB02G28880
Q0E0S0	Ensembl:OB02G26610
Q0E2P1	Ensembl:OB02G18190
Q0E2P9	Ensembl:OB02G18080
Q0E2Y8	Ensembl:OB02G17160
Q0E3F2	Ensembl:OB02G15160
Q0E3J1	Ensembl:OB02G14740
Q0E4F0	Ensembl:OB02G11590
Q0E4H0	Ensembl:OB02G11330
Q0E4N2	Ensembl:OB02G10600
Q0ILP7	Ensembl:OB12G26490
Q0IMS8	Ensembl:OB12G22120
Q0INY7	Ensembl:OB12G17840 Ensembl:OB0077G10020 Ensembl:OB12G17720 Ensembl:OB12G17810
Q0INZ4	Ensembl:OB12G17110
Q0IPE5	Ensembl:OB12G15490
Q0IQA5	Ensembl:OB12G12260
