Gene stable ID	Vitis vinifera gene stable ID	% identity	Vitis vinifera % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	VIT_00s0226g00020	37	46	1
OS01G0100100	VIT_00s0226g00160	45	46	1
OS01G0100400	VIT_07s0141g00540	69	68	1
OS01G0100500	VIT_04s0023g00280	43	40	1
OS01G0100600	VIT_04s0023g00170	34	39	1
OS01G0100700	VIT_04s0043g00440	85	83	0
OS01G0100700	VIT_08s0007g07220	85	73	0
OS01G0100800	VIT_01s0010g03920	30	29	1
OS01G0100900	VIT_01s0010g03940	72	73	1
OS01G0101150	VIT_14s0068g01170	50	49	1
OS01G0101200	VIT_12s0028g03470	52	22	1
OS01G0101200	VIT_19s0014g02480	54	32	1
OS01G0101300	VIT_17s0000g01420	65	63	1
OS01G0101600	VIT_04s0159g00020	37	43	0
OS01G0101700	VIT_00s0362g00010	35	32	0
OS01G0101700	VIT_05s0029g00500	43	37	0
OS01G0101800	VIT_05s0062g00260	16	21	1
OS01G0102000	VIT_17s0000g01190	53	54	1
OS01G0102300	VIT_17s0000g01170	39	44	1
OS01G0102400	VIT_14s0006g02320	7	24	0
OS01G0102500	VIT_01s0010g04010	23	50	1
OS01G0102500	VIT_01s0146g00020	61	59	1
OS01G0102500	VIT_01s0146g00040	19	52	1
OS01G0102600	VIT_14s0068g01460	36	31	1
OS01G0102600	VIT_16s0039g01380	28	29	1
OS01G0102700	VIT_09s0054g00420	43	49	0
OS01G0102700	VIT_14s0068g01370	47	51	0
OS01G0102800	VIT_07s0005g03670	66	50	1
OS01G0102900	VIT_01s0244g00170	39	36	1
OS01G0102900	VIT_14s0068g01160	38	36	1
OS01G0103000	VIT_08s0007g02300	74	72	0
OS01G0103000	VIT_13s0073g00330	76	74	0
OS01G0103000	VIT_13s0073g00340	39	68	0
OS01G0103100	VIT_01s0150g00250	65	62	0
OS01G0103600	VIT_06s0004g02100	60	55	1
OS01G0103700	VIT_14s0068g00700	30	4	1
OS01G0103800	VIT_18s0122g00140	47	50	1
OS01G0103900	VIT_11s0016g00050	51	38	0
OS01G0104000	VIT_16s0013g02130	66	66	1
OS01G0104100	VIT_13s0047g00170	57	54	1
OS01G0104400	VIT_08s0007g07660	41	32	0
OS01G0104500	VIT_08s0007g07640	41	33	1
OS01G0104600	VIT_15s0048g02140	71	68	1
OS01G0104800	VIT_05s0094g00440	38	35	1
OS01G0104900	VIT_18s0001g12990	46	48	1
OS01G0105700	VIT_04s0023g02410	19	46	1
OS01G0105700	VIT_18s0001g12970	29	26	1
OS01G0105800	VIT_08s0007g03400	67	58	0
OS01G0105900	VIT_00s0380g00030	12	52	1
OS01G0105900	VIT_06s0004g07610	33	62	1
OS01G0105900	VIT_09s0070g00740	12	66	1
OS01G0105900	VIT_18s0001g12750	65	64	1
OS01G0106200	VIT_03s0038g04600	72	73	1
OS01G0106700	VIT_17s0000g08350	6	28	1
OS01G0106700	VIT_17s0000g08360	28	63	1
OS01G0106800	VIT_09s0002g01050	71	73	0
OS01G0106800	VIT_11s0016g00970	78	82	0
OS01G0106900	VIT_17s0000g08390	84	84	1
OS01G0107700	VIT_00s0341g00040	49	46	1
OS01G0107900	VIT_11s0078g00150	14	43	1
OS01G0107900	VIT_17s0000g08220	48	46	1
OS01G0108000	VIT_07s0130g00420	47	48	1
OS01G0108200	VIT_18s0001g00510	72	72	0
OS01G0108400	VIT_01s0026g00010	15	31	0
OS01G0108400	VIT_17s0000g08150	28	35	0
OS01G0108600	VIT_01s0026g00010	18	36	0
OS01G0108600	VIT_17s0000g08150	36	46	0
OS01G0108800	VIT_01s0026g00030	45	17	1
OS01G0109300	VIT_01s0026g00080	40	67	0
OS01G0109300	VIT_14s0066g01390	61	64	0
OS01G0109700	VIT_01s0026g01010	60	54	0
OS01G0109700	VIT_14s0066g02330	53	51	0
OS01G0109700	VIT_17s0000g07540	3	23	0
OS01G0110100	VIT_01s0011g02520	63	64	1
OS01G0110400	VIT_18s0089g00570	15	45	1
OS01G0110500	VIT_01s0011g02460	49	47	1
OS01G0110500	VIT_14s0083g00330	41	65	1
OS01G0110700	VIT_01s0011g02740	72	70	1
