Gene stable ID	Oryza brachyantha gene stable ID	% identity	Oryza brachyantha % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	OB01G10010	87	87	1
OS01G0100200	OB02G44720	39	54	1
OS01G0100400	OB01G10020	93	93	1
OS01G0100500	OB01G10030	93	92	1
OS01G0100600	OB01G10040	77	83	1
OS01G0100700	OB11G20650	93	85	1
OS01G0100800	OB01G10050	86	86	1
OS01G0100900	OB01G10060	89	90	1
OS01G0101150	OB01G10070	82	85	1
OS01G0101150	OB01G27580	83	79	1
OS01G0101200	OB01G10080	72	87	1
OS01G0101300	OB01G10090	86	85	1
OS01G0101600	OB01G10100	74	88	1
OS01G0101700	OB01G10110	52	54	1
OS01G0101800	OB01G10130	72	71	1
OS01G0101900	OB01G10140	89	89	1
OS01G0102000	OB01G10150	84	73	1
OS01G0102300	OB01G10160	28	49	1
OS01G0102400	OB01G10170	68	65	1
OS01G0102500	OB01G10180	87	88	1
OS01G0102600	OB01G10190	86	88	1
OS01G0102800	OB01G10210	86	67	1
OS01G0102900	OB01G10220	77	72	1
OS01G0103000	OB01G10230	96	96	1
OS01G0103100	OB01G10240	76	82	1
OS01G0103600	OB06G24600	71	72	1
OS01G0103700	OB06G21870	79	11	0
OS01G0103800	OB02G25400	87	87	1
OS01G0103900	OB01G10260	89	64	1
OS01G0104000	OB01G10270	90	91	1
OS01G0104100	OB01G10280	73	85	1
OS01G0104400	OB01G10290	73	63	1
OS01G0104500	OB01G10300	59	59	1
OS01G0104600	OB01G10310	96	96	1
OS01G0104800	OB02G10010	74	73	1
OS01G0104800	OB09G27280	29	68	1
OS01G0104900	OB01G10320	73	77	1
OS01G0105700	OB01G10340	54	53	1
OS01G0105800	OB01G10350	83	88	1
OS01G0105900	OB01G10360	87	88	0
OS01G0106300	OB01G10390	81	82	1
OS01G0106400	OB01G10400	86	78	1
OS01G0106600	OB01G10420	54	36	1
OS01G0106700	OB01G10430	83	72	1
OS01G0106800	OB01G10440	89	75	1
OS01G0106900	OB01G10450	91	92	1
OS01G0107000	OB01G10460	82	82	1
OS01G0107700	OB01G10510	78	74	1
OS01G0107900	OB01G10520	83	84	1
OS01G0108000	OB01G10530	85	85	1
OS01G0108200	OB09G10950	93	86	1
OS01G0108600	OB01G10560	62	67	1
OS01G0108800	OB01G10570	6	7	0
OS01G0109300	OB01G10580	90	92	1
OS01G0109700	OB01G10590	93	85	1
OS01G0110100	OB01G10690	85	86	0
OS01G0110200	OB01G10700	42	90	1
OS01G0110400	OB01G10720	92	92	1
OS01G0110500	OB01G10730	81	80	1
OS01G0110600	OB01G10740	83	73	1
OS01G0110700	OB01G10750	93	93	1
OS01G0110800	OB01G10760	76	78	1
OS01G0111000	OB01G10790	56	63	1
OS01G0111100	OB01G10800	88	89	1
OS01G0111200	OB01G10810	89	91	1
OS01G0111400	OB01G10840	92	92	1
OS01G0111500	OB01G10850	79	85	1
OS01G0111600	OB01G10860	92	92	1
OS01G0111700	OB01G10870	67	69	1
OS01G0111800	OB01G10880	77	66	1
OS01G0111900	OB01G10900	77	81	1
OS01G0112000	OB01G10920	84	89	1
OS01G0112100	OB01G10930	86	87	1
OS01G0112400	OB01G10940	77	78	1
OS01G0112500	OB01G10950	74	89	0
OS01G0112800	OB01G10970	60	44	1
OS01G0113150	OB01G10970	73	37	1
OS01G0113200	OB01G10980	86	57	1
OS01G0113300	OB01G11000	89	88	1
OS01G0113350	OB01G11020	65	84	1
OS01G0113650	OB01G11030	81	81	1
OS01G0114100	OB01G11040	67	67	1
OS01G0114400	OB01G11060	82	38	0
OS01G0114700	OB01G11100	61	73	0
OS01G0114900	OB01G11080	92	43	1
OS01G0115600	OB01G11050	86	86	1
OS01G0115750	OB01G11040	67	69	1
OS01G0116200	OB01G11060	72	69	0
OS01G0116400	OB01G11090	82	82	1
OS01G0116600	OB04G30660	88	87	1
OS01G0116800	OB01G11130	43	30	1
OS01G0116800	OB01G11140	89	48	1
OS01G0116900	OB01G11150	77	57	1
OS01G0117000	OB01G11130	44	60	1
OS01G0117000	OB01G11140	71	75	1
OS01G0117100	OB01G11150	89	47	1
OS01G0117200	OB01G11060	57	57	0
OS01G0117500	OB01G11150	74	51	1
OS01G0117600	OB01G11130	47	62	1
OS01G0117600	OB01G11140	78	81	1
OS01G0117700	OB01G11150	72	67	1
OS01G0117900	OB01G11180	95	94	1
OS01G0118000	OB01G11190	92	98	1
OS01G0118100	OB01G11200	97	73	1
OS01G0118300	OB01G11220	99	39	1
OS01G0118400	OB01G11230	54	78	1
OS01G0118600	OB01G11250	85	82	1
OS01G0118700	OB01G11260	87	91	1
