A2X747	Ensembl:SORBI_3004G212300
A2XPN8	Ensembl:SORBI_3006G008700
A2Y626	Ensembl:SORBI_3009G181800
A2Y8A8	Ensembl:SORBI_3010G003100
A2ZRY8	Ensembl:SORBI_3003G137200
A2ZW27	Ensembl:SORBI_3003G239900
A2ZWY7	Ensembl:SORBI_3003G269600
A3AAR2	Ensembl:SORBI_3004G259800
A3AC56	Ensembl:SORBI_3004G325900
A3AQC6	Ensembl:SORBI_3002G378000
A3B9A0	Ensembl:SORBI_3010G073600
A3C4N5	Ensembl:SORBI_3001G251700
A3C6G9	Ensembl:SORBI_3008G062500
A4LBC0	Ensembl:SORBI_3003G275400
A9CM06	Ensembl:SORBI_3002G041200 Ensembl:SORBI_3002G041100
B7E8M5	Ensembl:SORBI_3001G531400
B7EA04	Ensembl:SORBI_3006G213100
B7EJ81	Ensembl:SORBI_3002G236200
B7EM10	Ensembl:SORBI_3002G249400 Ensembl:SORBI_3002G249200 Ensembl:SORBI_3002G249300
B7ERE7	Ensembl:SORBI_3002G293000
B7F4K3	Ensembl:SORBI_3002G133000
B7F7B9	Ensembl:SORBI_3004G068400
B7F8P7	Ensembl:SORBI_3002G139400
B7F8T0	Ensembl:SORBI_3005G019100
B7F956	Ensembl:SORBI_3003G009700
B7F9K3	Ensembl:SORBI_3002G133000
B7FA24	Ensembl:SORBI_3010G055300
B7FA34	Ensembl:SORBI_3009G218900
B7FA90	Ensembl:SORBI_3010G215600
B7FA99	Ensembl:SORBI_3003G199900
B7FAE9	Ensembl:SORBI_3010G067100
B7FAP2	Ensembl:SORBI_3003G042900
B8ACC6	Ensembl:SORBI_3003G234701
B8AG62	Ensembl:SORBI_3004G330600
B8AHI9	Ensembl:SORBI_3004G141300 Ensembl:SORBI_3008G110500
B8AY22	Ensembl:SORBI_3001G334100 Ensembl:SORBI_3009G130500
B8AZ97	Ensembl:SORBI_3009G172500
B8B8K7	Ensembl:SORBI_3002G375800
B8BB38	Ensembl:SORBI_3007G141200
B8BF84	Ensembl:SORBI_3002G194700
B9EUK4	Ensembl:SORBI_3003G003800
B9EZJ8	Ensembl:SORBI_3003G286500
B9F3B6	Ensembl:SORBI_3004G058600
B9FDB8	Ensembl:SORBI_3006G270100
B9FLB9	Ensembl:SORBI_3009G212600
B9FRT6	Ensembl:SORBI_3010G059200
B9FYX6	Ensembl:SORBI_3007G030100
B9FZ46	Ensembl:SORBI_3007G043300
B9G3A7	Ensembl:SORBI_3002G188500
B9G4Z8	Ensembl:SORBI_3002G292100
B9G6J6	Ensembl:SORBI_3001G199400
C7IWK8	Ensembl:SORBI_3003G329500
C7J0P3	Ensembl:SORBI_3003G059600
C7J5F5	Ensembl:SORBI_3007G155200 Ensembl:SORBI_3007G155100 Ensembl:SORBI_3007G155000
C7J5T9	Ensembl:SORBI_3007G154800
C7J6Z0	Ensembl:SORBI_3002G180400
D5A7I6	Ensembl:SORBI_3005G025900
D5A7J1	Ensembl:SORBI_3010G051000
E3WF37	Ensembl:SORBI_3004G321800
E5RQA1	Ensembl:SORBI_3006G004400
H6TFZ4	Ensembl:SORBI_3010G276700
I1QQP8	Ensembl:SORBI_3002G275700
I3QK18	Ensembl:SORBI_3001G098400
O04226	Ensembl:SORBI_3009G160100
O04882	Ensembl:SORBI_3003G270500
O22105	Ensembl:SORBI_3001G049600
O22567	Ensembl:SORBI_3009G135500
O24174	Ensembl:SORBI_3006G109500
O24210	Ensembl:SORBI_3001G009900
O64422	Ensembl:SORBI_3001G425400
O64437	Ensembl:SORBI_3001G472800
O82427	Ensembl:SORBI_3001G513600
P0C128	Ensembl:SORBI_3007G009300
P0C129	Ensembl:SORBI_3005G098400
P0C132	Ensembl:SORBI_3008G156900
P0C587	Ensembl:SORBI_3001G202600 Ensembl:SORBI_3006G234100
P0C5A4	Ensembl:SORBI_3009G215700
P0C5B2	Ensembl:SORBI_3001G314400
P14654	Ensembl:SORBI_3001G451500
P14655	Ensembl:SORBI_3006G249400
P14656	Ensembl:SORBI_3004G247000
P14717	Ensembl:SORBI_3004G220300
P15280	Ensembl:SORBI_3007G101500
P16081	Ensembl:SORBI_3007G153900
P17784	Ensembl:SORBI_3003G393900 Ensembl:SORBI_3004G146000
P17814	Ensembl:SORBI_3007G089900
P18566	Ensembl:SORBI_3005G042000
P30298	Ensembl:SORBI_3010G072300
P31924	Ensembl:SORBI_3001G344500
P37833	Ensembl:SORBI_3003G303300
P38419	Ensembl:SORBI_3007G210400
P42862	Ensembl:SORBI_3001G071800
P42863	Ensembl:SORBI_3001G071800
P48642	Ensembl:SORBI_3004G341200
P93438	Ensembl:SORBI_3003G151600
P93844	Ensembl:SORBI_3010G185600
Q01KF3	Ensembl:SORBI_3006G111700
Q01M39	Ensembl:SORBI_3010G113100 Ensembl:SORBI_3009G176600
Q05JG2	Ensembl:SORBI_3004G268700
Q0D3D2	Ensembl:SORBI_3002G429000
Q0D3F2	Ensembl:SORBI_3001G151400
Q0D3H8	Ensembl:SORBI_3002G425600
Q0D3T5	Ensembl:SORBI_3002G408500
Q0D4G3	Ensembl:SORBI_3002G383900
Q0D4Z4	Ensembl:SORBI_3002G361700
Q0D5H9	Ensembl:SORBI_3002G338400
Q0D7E4	Ensembl:SORBI_3002G095600
Q0D7I3	Ensembl:SORBI_3002G088600
Q0D7W4	Ensembl:SORBI_3002G072400
Q0D8I9	Ensembl:SORBI_3003G014500
Q0D8J6	Ensembl:SORBI_3002G037400
Q0D8N3	Ensembl:SORBI_3002G031000
Q0DAA4	Ensembl:SORBI_3010G220600
Q0DAE1	Ensembl:SORBI_3010G216700
Q0DAJ3	Ensembl:SORBI_3010G209200 Ensembl:SORBI_3010G209100
Q0DAZ7	Ensembl:SORBI_3008G039900
Q0DBF4	Ensembl:SORBI_3010G172700
Q0DCE9	Ensembl:SORBI_3004G243400 Ensembl:SORBI_3002G096000
Q0DDS1	Ensembl:SORBI_3010G077100
Q0DEC8	Ensembl:SORBI_3010G047700
Q0DG18	Ensembl:SORBI_3009G228100
Q0DGG8	Ensembl:SORBI_3009G209200
Q0DGS1	Ensembl:SORBI_3009G196900
Q0DHF6	Ensembl:SORBI_3009G169000
Q0DHT1	Ensembl:SORBI_3009G155050
Q0DJJ9	Ensembl:SORBI_3006G083100
Q0DJT2	Ensembl:SORBI_3009G085200
Q0DKE8	Ensembl:SORBI_3009G060100
Q0DKM0	Ensembl:SORBI_3009G050400
Q0DKP3	Ensembl:SORBI_3009G045300
Q0DKY4	Ensembl:SORBI_3009G033600
Q0DNU1	Ensembl:SORBI_3001G100100
Q0DS41	Ensembl:SORBI_3001G381300
Q0DS96	Ensembl:SORBI_3001G387600
Q0DSM1	Ensembl:SORBI_3001G401600
Q0DUI1	Ensembl:SORBI_3001G470000
Q0DV32	Ensembl:SORBI_3001G187000 Ensembl:SORBI_3001G500800
Q0DWC7	Ensembl:SORBI_3004G349175
Q0DWF2	Ensembl:SORBI_3004G345600
Q0DWH1	Ensembl:SORBI_3004G343200
Q0DWY7	Ensembl:SORBI_3004G323200
Q0DXA9	Ensembl:SORBI_3004G308600
Q0DXM9	Ensembl:SORBI_3004G240900
Q0DY86	Ensembl:SORBI_3004G264900
Q0DYK7	Ensembl:SORBI_3004G279100
Q0DZE0	Ensembl:SORBI_3004G220700 Ensembl:SORBI_3004G220600 Ensembl:SORBI_3004G220500
Q0E079	Ensembl:SORBI_3004G187900
Q0E088	Ensembl:SORBI_3006G211500
Q0E0S0	Ensembl:SORBI_3004G163300
Q0E2P1	Ensembl:SORBI_3004G096400
Q0E2P9	Ensembl:SORBI_3004G095500
Q0E2Y8	Ensembl:SORBI_3004G085600
Q0E3F2	Ensembl:SORBI_3006G234700
Q0E3J1	Ensembl:SORBI_3004G057400
Q0E3L4	Ensembl:SORBI_3004G053700
Q0E4F0	Ensembl:SORBI_3004G019800
Q0E4H0	Ensembl:SORBI_3004G016400
Q0E4N2	Ensembl:SORBI_3004G330600
Q0ILP7	Ensembl:SORBI_3008G186500
Q0ILR7	Ensembl:SORBI_3008G181400
Q0IM00	Ensembl:SORBI_3008G163700
Q0IMS8	Ensembl:SORBI_3008G123100
Q0INY7	Ensembl:SORBI_3005G042000
Q0INZ4	Ensembl:SORBI_3008G088821
Q0IPE5	Ensembl:SORBI_3008G075200
Q0IQ89	Ensembl:SORBI_3005G028800
Q0IQA5	Ensembl:SORBI_3005G025900
Q0IQQ5	Ensembl:SORBI_3008G006100
Q0IRE6	Ensembl:SORBI_3005G199400
Q0ITU1	Ensembl:SORBI_3005G100800
Q0ITW7	Ensembl:SORBI_3005G103300
Q0IU28	Ensembl:SORBI_3005G072200
Q0IUG8	Ensembl:SORBI_3005G044400
Q0IZJ9	Ensembl:SORBI_3002G133100
Q0IZR4	Ensembl:SORBI_3002G292100
Q0IZS0	Ensembl:SORBI_3002G291400
Q0IZX5	Ensembl:SORBI_3002G282500
Q0J0L4	Ensembl:SORBI_3002G257200
Q0J0M8	Ensembl:SORBI_3002G250400
Q0J0N3	Ensembl:SORBI_3002G256100
Q0J0P1	Ensembl:SORBI_3002G247500
Q0J185	Ensembl:SORBI_3002G225400
Q0J1C1	Ensembl:SORBI_3002G221900
Q0J1E1	Ensembl:SORBI_3002G220200
Q0J1V2	Ensembl:SORBI_3002G198400
Q0J268	Ensembl:SORBI_3002G186800
Q0J2L7	Ensembl:SORBI_3002G260300 Ensembl:SORBI_3002G172000
Q0J360	Ensembl:SORBI_3006G255600
Q0J484	Ensembl:SORBI_3007G195201
Q0J7P4	Ensembl:SORBI_3007G059500
Q0J7U6	Ensembl:SORBI_3007G051700
Q0J7W9	Ensembl:SORBI_3007G047400
Q0J8A4	Ensembl:SORBI_3010G262466 Ensembl:SORBI_3010G262500 Ensembl:SORBI_3007G025400
Q0J8X6	Ensembl:SORBI_3006G271700
Q0J951	Ensembl:SORBI_3006G262100
Q0J9F2	Ensembl:SORBI_3006G248000
Q0J9H0	Ensembl:SORBI_3006G244800
Q0J9K2	Ensembl:SORBI_3006G239800
Q0J9Z0	Ensembl:SORBI_3006G221000
Q0JA82	Ensembl:SORBI_3006G211500
Q0JAI1	Ensembl:SORBI_3006G201600
Q0JAQ3	Ensembl:SORBI_3006G192500
Q0JB49	Ensembl:SORBI_3006G173900
Q0JB91	Ensembl:SORBI_3006G169500
Q0JB99	Ensembl:SORBI_3006G167800
Q0JBF1	Ensembl:SORBI_3006G160700
Q0JBZ8	Ensembl:SORBI_3006G136800
Q0JC10	Ensembl:SORBI_3006G135600
Q0JCU7	Ensembl:SORBI_3006G097500
Q0JCZ4	Ensembl:SORBI_3006G089500
Q0JDD2	Ensembl:SORBI_3006G069300
Q0JDF7	Ensembl:SORBI_3006G066200
Q0JDN5	Ensembl:SORBI_3006G052800 Ensembl:SORBI_3006G052500
Q0JDT1	Ensembl:SORBI_3006G049200
Q0JE53	Ensembl:SORBI_3010G113100 Ensembl:SORBI_3009G176600
Q0JEK1	Ensembl:SORBI_3010G216300 Ensembl:SORBI_3006G186600
Q0JEP5	Ensembl:SORBI_3006G029700
Q0JF02	Ensembl:SORBI_3005G161200
Q0JF30	Ensembl:SORBI_3006G018800
Q0JGK4	Ensembl:SORBI_3003G403300
Q0JHN3	Ensembl:SORBI_3003G359600
Q0JI87	Ensembl:SORBI_3003G336100
Q0JIG6	Ensembl:SORBI_3003G327500
Q0JIJ8	Ensembl:SORBI_3003G324100
Q0JIR6	Ensembl:SORBI_3003G317500
Q0JIR8	Ensembl:SORBI_3003G317400
Q0JJ01	Ensembl:SORBI_3003G308700
Q0JJI1	Ensembl:SORBI_3003G289400
Q0JJV0	Ensembl:SORBI_3003G276700
Q0JKG7	Ensembl:SORBI_3003G254800
Q0JKI9	Ensembl:SORBI_3003G251700
Q0JKX2	Ensembl:SORBI_3003G235800
Q0JKY8	Ensembl:SORBI_3003G234500 Ensembl:SORBI_3003G234400
Q0JLT2	Ensembl:SORBI_3003G194600
Q0JMY2	Ensembl:SORBI_3003G159500
Q0JNI9	Ensembl:SORBI_3003G136900
Q0JP90	Ensembl:SORBI_3003G004500
Q0JPS3	Ensembl:SORBI_3003G024800
Q0JPT4	Ensembl:SORBI_3003G026300
Q0JQ41	Ensembl:SORBI_3003G040700
Q0JR06	Ensembl:SORBI_3003G087600
Q0JR55	Ensembl:SORBI_3003G095800
Q0JRG4	Ensembl:SORBI_3008G134800
Q109F2	Ensembl:SORBI_3001G196300
Q109K4	Ensembl:SORBI_3001G227200 Ensembl:SORBI_3001G524500
Q10A30	Ensembl:SORBI_3003G393900 Ensembl:SORBI_3004G146000
Q10B63	Ensembl:SORBI_3001G132000 Ensembl:SORBI_3001G025400
Q10BA5	Ensembl:SORBI_3001G030000
Q10BT5	Ensembl:SORBI_3001G049400
Q10BX9	Ensembl:SORBI_3001G052600
Q10CE4	Ensembl:SORBI_3001G065600
Q10CQ1	Ensembl:SORBI_3001G086500
Q10CS9	Ensembl:SORBI_3001G069000
