Gene stable ID	Brachypodium distachyon gene stable ID	% identity	Brachypodium distachyon % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	BRADI1G74660	69	70	1
OS01G0100400	BRADI2G03777	81	80	1
OS01G0100500	BRADI2G03770	80	79	1
OS01G0100600	BRADI3G01330	54	55	1
OS01G0100700	BRADI2G03760	88	87	0
OS01G0100700	BRADI4G41050	85	85	0
OS01G0100800	BRADI2G03750	65	67	1
OS01G0100900	BRADI2G03740	82	82	1
OS01G0101150	BRADI1G00380	48	76	1
OS01G0101150	BRADI2G03730	75	75	1
OS01G0101150	BRADI5G27700	44	67	1
OS01G0101300	BRADI2G03710	82	80	1
OS01G0101600	BRADI2G03701	63	78	1
OS01G0101700	BRADI2G03694	52	53	1
OS01G0101800	BRADI2G03630	11	75	1
OS01G0101900	BRADI2G03640	71	72	1
OS01G0102000	BRADI2G03657	73	71	1
OS01G0102300	BRADI1G26880	46	54	1
OS01G0102500	BRADI2G03670	80	75	1
OS01G0102600	BRADI2G03680	71	70	1
OS01G0102800	BRADI2G03617	78	59	1
OS01G0102900	BRADI2G03610	54	47	1
OS01G0103000	BRADI2G03580	90	92	1
OS01G0103100	BRADI2G03560	72	67	1
OS01G0103600	BRADI2G03530	84	85	0
OS01G0103700	BRADI2G03497	16	3	1
OS01G0103800	BRADI1G66850	81	77	1
OS01G0103900	BRADI2G03487	81	57	1
OS01G0104000	BRADI2G03480	84	84	1
OS01G0104100	BRADI1G09110	68	75	1
OS01G0104100	BRADI1G33800	64	70	1
OS01G0104200	BRADI2G03467	40	40	1
OS01G0104400	BRADI2G03460	59	44	1
OS01G0104600	BRADI2G13320	93	92	0
OS01G0104800	BRADI2G13337	58	59	1
OS01G0104900	BRADI2G03437	58	56	1
OS01G0105700	BRADI2G03427	35	32	1
OS01G0105800	BRADI2G00550	76	80	1
OS01G0105900	BRADI2G00560	84	88	1
OS01G0106200	BRADI2G00580	84	81	0
OS01G0106500	BRADI2G00590	39	25	1
OS01G0106600	BRADI2G00600	39	31	1
OS01G0106700	BRADI2G00627	73	63	1
OS01G0106800	BRADI2G00640	92	92	1
OS01G0106900	BRADI2G00650	90	90	0
OS01G0107000	BRADI2G00660	61	59	1
OS01G0107700	BRADI2G00690	60	83	1
OS01G0107900	BRADI2G00697	78	76	1
OS01G0108000	BRADI2G00710	72	72	1
OS01G0108200	BRADI3G03185	87	87	1
OS01G0108400	BRADI2G00720	48	54	1
OS01G0108400	BRADI2G00730	46	50	1
OS01G0108600	BRADI2G00740	49	53	1
OS01G0108800	BRADI2G00750	57	25	1
OS01G0109300	BRADI2G00850	84	85	1
OS01G0109700	BRADI2G00860	79	79	1
OS01G0109750	BRADI2G00870	80	80	1
OS01G0110200	BRADI2G00880	60	64	1
OS01G0110400	BRADI2G00890	87	86	1
OS01G0110500	BRADI2G00900	65	67	1
OS01G0110700	BRADI2G00910	80	80	0
OS01G0110800	BRADI2G00920	66	58	1
OS01G0111100	BRADI2G00950	76	76	1
OS01G0111200	BRADI2G00980	77	67	1
OS01G0111400	BRADI2G00992	74	76	1
OS01G0111500	BRADI2G01000	51	55	1
OS01G0111600	BRADI2G01020	76	76	0
OS01G0111700	BRADI2G01030	41	42	1
OS01G0111900	BRADI2G01050	60	57	1
OS01G0112100	BRADI2G01090	69	69	1
OS01G0112100	BRADI2G01270	70	69	1
OS01G0112400	BRADI2G01095	56	56	1
OS01G0112500	BRADI2G01100	89	89	1
OS01G0113300	BRADI2G01120	57	60	0
OS01G0113350	BRADI2G01150	63	65	0
OS01G0113350	BRADI2G01200	59	62	0
OS01G0113350	BRADI2G01217	62	69	0
OS01G0113650	BRADI2G01150	64	66	0
OS01G0113650	BRADI2G01200	59	63	0
OS01G0113650	BRADI2G01217	62	70	0
OS01G0114000	BRADI1G03475	45	9	1
OS01G0114000	BRADI1G56422	52	22	1
OS01G0114000	BRADI1G69950	52	18	1
OS01G0114400	BRADI2G01180	72	37	1
OS01G0114400	BRADI2G01310	74	38	1
OS01G0114600	BRADI2G39720	59	60	1
OS01G0115700	BRADI2G01180	62	58	1
OS01G0115700	BRADI2G01310	64	61	1
OS01G0116000	BRADI2G01180	57	59	1
OS01G0116000	BRADI2G01310	59	61	1
OS01G0116200	BRADI2G01180	59	63	1
OS01G0116200	BRADI2G01310	57	62	1
OS01G0116400	BRADI2G39720	58	58	1
OS01G0116600	BRADI5G20240	76	75	1
OS01G0116800	BRADI2G39720	79	44	1
OS01G0116900	BRADI2G01170	69	55	0
OS01G0116900	BRADI2G01320	72	60	0
OS01G0116900	BRADI2G39710	72	58	0
OS01G0117000	BRADI2G39720	54	59	1
OS01G0117100	BRADI2G01170	79	45	0
OS01G0117100	BRADI2G01320	82	48	0
OS01G0117100	BRADI2G39710	83	47	0
OS01G0117200	BRADI2G01180	53	58	1
OS01G0117200	BRADI2G01310	53	58	1
OS01G0117300	BRADI2G01170	74	45	0
OS01G0117300	BRADI2G01320	80	51	0
OS01G0117300	BRADI2G39710	78	48	0
OS01G0117400	BRADI1G38710	28	43	0
OS01G0117500	BRADI2G01170	64	47	0
OS01G0117500	BRADI2G01320	68	52	0
OS01G0117500	BRADI2G39710	68	50	0
OS01G0117600	BRADI2G39720	62	65	1
OS01G0117700	BRADI2G01170	61	61	0
OS01G0117700	BRADI2G01320	62	64	0
OS01G0117700	BRADI2G39710	64	64	0
OS01G0117900	BRADI2G01340	83	82	1
OS01G0118000	BRADI2G01350	93	94	1
OS01G0118100	BRADI2G01360	89	65	1
OS01G0118300	BRADI2G01370	91	36	0
OS01G0118400	BRADI2G01380	65	61	1
OS01G0118700	BRADI2G01387	67	68	0
