Gene stable ID	Helianthus annuus gene stable ID	%id. target Helianthus annuus gene identical to query gene	%id. query gene identical to target Helianthus annuus gene
BAC19852	HannXRQ_Chr08g0236071	37.5385	94.5736
BAC19852	HannXRQ_MTg0579311	37.5385	94.5736
BAC19853	HannXRQ_MTg0579171	88.9286	93.9623
BAC19854	HannXRQ_Chr07g0189001	39.5939	80.4124
BAC19854	HannXRQ_Chr09g0253411	78.6802	81.1518
BAC19854	HannXRQ_Chr16g0504431	79.1878	81.6754
BAC19854	HannXRQ_Chr17g0567331	33.5025	79.5181
BAC19854	HannXRQ_MTg0579131	79.1878	81.6754
BAC19857	HannXRQ_Chr08g0225561	63.5135	48.9583
BAC19857	HannXRQ_Chr09g0260701	66.2162	65.3333
BAC19858	HannXRQ_Chr09g0242881	39.7959	25.7596
BAC19860	HannXRQ_Chr09g0250631	44.5161	69
BAC19860	HannXRQ_Chr15g0468771	41.9355	61.9048
BAC19860	HannXRQ_MTg0579161	78.0645	76.1006
BAC19860	HannXRQ_MTg0579521	66.4516	36.7857
BAC19862	HannXRQ_Chr01g0013411	75.6098	88.0682
BAC19862	HannXRQ_Chr02g0049481	77.0732	80.6122
BAC19862	HannXRQ_Chr05g0138851	49.2683	70.6294
BAC19862	HannXRQ_Chr09g0237761	61.4634	78.75
BAC19862	HannXRQ_MTg0579471	86.3415	57.2816
BAC19863	HannXRQ_Chr05g0135281	46.6667	84.8485
BAC19863	HannXRQ_Chr16g0504451	87.9167	85.4251
BAC19863	HannXRQ_MTg0579111	87.9167	85.4251
BAC19865	HannXRQ_Chr01g0007101	41.2639	68.0982
BAC19865	HannXRQ_MTg0579501	80.2974	82.4427
BAC19867	HannXRQ_Chr02g0035251	12.5	48.6486
BAC19867	HannXRQ_Chr05g0134431	10.7639	44.2857
BAC19867	HannXRQ_Chr07g0188961	14.9306	34.9594
BAC19867	HannXRQ_Chr07g0188971	22.2222	37.6471
BAC19867	HannXRQ_Chr07g0189021	13.5417	39.7959
BAC19867	HannXRQ_Chr10g0297161	14.5833	48.8372
