Gene stable ID	Oryza sativa Indica gene stable ID	% identity	Oryza sativa Indica % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	BGIOSGA002569	92	95	0
OS01G0100200	BGIOSGA002570	100	100	1
OS01G0100300	BGIOSGA002567	53	65	0
OS01G0100300	BGIOSGA008009	8	9	0
OS01G0100400	BGIOSGA002571	100	100	1
OS01G0100500	BGIOSGA002572	100	100	1
OS01G0100600	BGIOSGA002573	92	96	0
OS01G0100700	BGIOSGA002574	100	100	1
OS01G0100800	BGIOSGA002575	100	100	1
OS01G0100900	BGIOSGA002576	100	100	1
OS01G0101150	BGIOSGA002578	100	100	1
OS01G0101200	BGIOSGA002579	100	100	1
OS01G0101300	BGIOSGA002566	61	86	1
OS01G0101600	BGIOSGA002581	94	100	1
OS01G0101700	BGIOSGA002582	94	93	1
OS01G0101800	BGIOSGA002583	100	100	1
OS01G0101900	BGIOSGA002565	100	100	1
OS01G0102000	BGIOSGA002564	100	100	1
OS01G0102300	BGIOSGA002584	100	100	1
OS01G0102400	BGIOSGA002585	100	100	1
OS01G0102500	BGIOSGA002586	100	100	1
OS01G0102600	BGIOSGA002587	100	100	1
OS01G0102700	BGIOSGA018981	57	60	0
OS01G0102800	BGIOSGA002588	91	62	0
OS01G0102900	BGIOSGA002563	100	100	1
OS01G0103000	BGIOSGA002562	100	100	1
OS01G0103100	BGIOSGA002589	100	100	1
OS01G0103600	BGIOSGA002561	100	100	1
OS01G0103700	BGIOSGA002590	59	14	1
OS01G0103800	BGIOSGA002591	100	100	1
OS01G0103900	BGIOSGA002592	80	66	0
OS01G0104000	BGIOSGA002560	69	99	1
OS01G0104100	BGIOSGA002594	91	93	1
OS01G0104200	BGIOSGA002593	100	100	1
OS01G0104400	BGIOSGA002596	88	87	1
OS01G0104500	BGIOSGA002597	90	90	0
OS01G0104600	BGIOSGA002558	89	91	0
OS01G0104800	BGIOSGA002598	96	100	1
OS01G0104900	BGIOSGA002557	65	96	0
OS01G0105400	BGIOSGA002599	15	6	0
OS01G0105700	BGIOSGA002600	89	89	0
OS01G0105800	BGIOSGA002555	99	99	1
OS01G0105900	BGIOSGA002554	65	100	0
OS01G0106200	BGIOSGA002602	77	62	0
OS01G0106300	BGIOSGA002552	100	100	0
OS01G0106400	BGIOSGA002551	100	100	1
OS01G0106500	BGIOSGA002550	100	99	1
OS01G0106600	BGIOSGA002549	93	98	1
OS01G0106700	BGIOSGA002603	95	85	1
OS01G0106900	BGIOSGA002548	100	100	1
OS01G0107000	BGIOSGA002547	87	99	1
OS01G0107700	BGIOSGA002613	91	93	0
OS01G0107900	BGIOSGA002543	100	100	1
OS01G0108000	BGIOSGA002614	97	96	1
OS01G0108200	BGIOSGA002616	99	99	0
OS01G0108400	BGIOSGA002617	65	90	1
OS01G0108400	BGIOSGA029658	91	92	1
OS01G0108600	BGIOSGA002618	100	100	1
OS01G0108600	BGIOSGA002619	68	98	1
OS01G0108800	BGIOSGA002620	66	29	0
OS01G0109300	BGIOSGA002621	100	100	1
OS01G0109500	BGIOSGA002623	100	100	1
OS01G0109700	BGIOSGA002542	95	93	1
OS01G0109750	BGIOSGA002541	85	89	0
OS01G0110100	BGIOSGA002625	37	99	1
OS01G0110100	BGIOSGA002626	100	100	1
OS01G0110200	BGIOSGA002539	100	100	1
OS01G0110400	BGIOSGA002627	100	100	1
OS01G0110500	BGIOSGA002538	85	85	1
OS01G0110600	BGIOSGA002628	100	93	1
OS01G0110700	BGIOSGA002537	97	100	1
OS01G0110800	BGIOSGA002536	99	99	1
OS01G0111000	BGIOSGA002629	88	69	0
OS01G0111100	BGIOSGA002534	98	97	0
OS01G0111200	BGIOSGA002630	99	99	0
OS01G0111400	BGIOSGA002631	98	82	0
OS01G0111500	BGIOSGA002533	97	99	1
OS01G0111600	BGIOSGA007632	99	99	0
OS01G0111700	BGIOSGA002532	92	90	0
OS01G0111800	BGIOSGA002632	100	100	1
OS01G0111900	BGIOSGA002633	100	100	1
OS01G0112000	BGIOSGA002634	100	100	1
OS01G0112100	BGIOSGA002530	97	98	0
OS01G0112400	BGIOSGA002526	79	97	1
OS01G0112500	BGIOSGA002527	96	92	0
OS01G0112800	BGIOSGA002636	54	55	1
OS01G0112800	BGIOSGA002638	59	50	1
OS01G0113000	BGIOSGA040104	5	100	1
OS01G0113000	BGIOSGA040408	26	90	1
OS01G0113150	BGIOSGA002636	60	42	1
OS01G0113150	BGIOSGA002638	82	48	1
OS01G0113200	BGIOSGA002525	94	62	0
OS01G0113350	BGIOSGA002643	27	68	1
OS01G0113650	BGIOSGA002644	98	60	1
OS01G0113900	BGIOSGA002520	50	82	1
OS01G0113900	BGIOSGA027537	38	45	1
OS01G0113900	BGIOSGA027538	50	82	1
OS01G0114000	BGIOSGA009150	17	10	1
OS01G0114400	BGIOSGA002518	90	42	0
OS01G0115566	BGIOSGA002514	57	57	1
OS01G0115566	BGIOSGA038354	59	84	1
OS01G0115900	BGIOSGA002648	92	93	0
OS01G0116200	BGIOSGA002518	92	91	0
OS01G0116300	BGIOSGA002649	85	94	1
OS01G0116400	BGIOSGA002510	99	99	1
