Gene stable ID	Lupinus angustifolius gene stable ID	%id. target Lupinus angustifolius gene identical to query gene	%id. query gene identical to target Lupinus angustifolius gene
BAC19854	TanjilG_00357	61.4213	48.4
BAC19854	TanjilG_04924	61.4213	54.7511
BAC19865	TanjilG_23903	24.1636	64.3564
BAC19875	TanjilG_01062	50.7071	61.3692
BAC19885	TanjilG_00356	84	37.0588
BAC19887	TanjilG_21112	58.0645	41.5385
BAC19889	TanjilG_26725	71.3693	8.98642
BAC19890	TanjilG_01058	82.6196	56.7474
BAC19890	TanjilG_25023	82.6196	56.7474
BAC19891	TanjilG_01069	81.7109	60.4804
BAC19891	TanjilG_20523	7.81711	22.9437
BAC19892	TanjilG_04926	76.1628	64.532
BAC19892	TanjilG_14031	58.7209	19.8039
BAC19893	TanjilG_01063	75.5892	69.9377
BAC19894	TanjilG_27323	14.4495	51.2195
BAC19899	TanjilG_09395	82.1218	91.0675
BAC19899	TanjilG_13707	26.5226	41.6667
BAC19899	TanjilG_19789	53.4381	59.2593
BAC19899	TanjilG_19935	54.224	53.6965
CAA33930	TanjilG_01132	45.7944	33.1081
CAA33932	TanjilG_18683	56.0976	40.8284
CAA33933	TanjilG_09915	27.9412	48.1013
CAA33933	TanjilG_14033	38.9706	42.0635
CAA33933	TanjilG_29996	28.6765	47.561
CAA33965	TanjilG_21831	96.3855	96.3855
CAA33965	TanjilG_29727	96.3855	96.3855
CAA33965	TanjilG_29728	96.3855	96.3855
CAA33973	TanjilG_25065	72.2441	87.799
CAA33973	TanjilG_30832	88.5827	88.4086
CAA33976	TanjilG_00093	86.3014	77.7778
CAA33980	TanjilG_00094	42.6573	18.209
CAA33980	TanjilG_31119	42.6573	29.6117
CAA33987	TanjilG_28746	13.6364	80.8696
CAA33988	TanjilG_31120	6.27892	69.3431
CAA33989	TanjilG_03529	40.2542	71.4286
CAA33989	TanjilG_20305	75	75
CAA33989	TanjilG_21146	31.3559	76.2887
CAA33990	TanjilG_03528	90.2834	90.2834
CAA33992	TanjilG_21145	55.5556	47.619
CAA33993	TanjilG_03527	86.5878	79.2419
CAA33996	TanjilG_07599	44.5333	89.5442
CAA33998	TanjilG_03526	74.1294	73.399
CAA33999	TanjilG_21141	76.1006	76.5823
CAA34000	TanjilG_00373	30.0813	35.2381
CAA34000	TanjilG_11998	29.6748	34.5972
CAA34000	TanjilG_24520	13.4146	24.2647
CAA34002	TanjilG_21142	37.9562	70.2703
CAA34003	TanjilG_21143	83.9357	91.0675
CAA34013	TanjilG_24366	17.5637	27.0742
CAA34014	TanjilG_07602	22.6216	52.9703
Os01g0100400	TanjilG_19362	62.9005	63.4354
Os01g0100400	TanjilG_25752	53.2884	56.1279
Os01g0100600	TanjilG_10159	34.6479	21.6549
Os01g0100700	TanjilG_20424	85	81.3397
Os01g0100700	TanjilG_20426	85	81.3397
Os01g0100800	TanjilG_12064	30.8989	29.8103
Os01g0100900	TanjilG_11941	72.3562	72.0887
Os01g0101300	TanjilG_14612	62.6536	61.0048
Os01g0101600	TanjilG_14805	41.9223	42.0945
Os01g0101600	TanjilG_14806	42.0245	42.1971
Os01g0101700	TanjilG_01217	36.1702	34.3434
Os01g0101700	TanjilG_04929	36.1702	34.3434
Os01g0101700	TanjilG_04930	36.1702	34.3434
Os01g0101700	TanjilG_14804	38.2979	37.3057
Os01g0101800	TanjilG_13951	18.6391	11.3924
Os01g0102500	TanjilG_11939	62.6506	55.7641
Os01g0102500	TanjilG_12065	61.1446	58.3333
Os01g0102600	TanjilG_19597	21.5613	36.0248
Os01g0102600	TanjilG_23954	34.9442	17.6692
Os01g0102700	TanjilG_05708	31.2195	43.8356
Os01g0102700	TanjilG_17552	40	42.0513
Os01g0102700	TanjilG_17553	40.4878	42.7835
Os01g0102800	TanjilG_32404	68.4842	52.2463
Os01g0103000	TanjilG_07767	72.8448	71.9149
Os01g0103100	TanjilG_27649	63.0363	59.3168
Os01g0103600	TanjilG_22310	50.2283	48.8889
Os01g0103700	TanjilG_11700	14.2857	5.81114
Os01g0103800	TanjilG_29394	36.5422	43.9716
Os01g0103900	TanjilG_06317	41.0042	31.2102
Os01g0104100	TanjilG_23921	55.7416	64.011
Os01g0104400	TanjilG_03852	22.7612	15.9269
Os01g0104500	TanjilG_03438	40.3125	31.3869
Os01g0104500	TanjilG_19906	41.875	30.8046
Os01g0104500	TanjilG_21191	37.8125	33.2418
Os01g0104600	TanjilG_22934	68.2975	39.6141
Os01g0104800	TanjilG_26013	37.3643	35.6509
Os01g0105700	TanjilG_17043	24.4845	23.0024
Os01g0105800	TanjilG_19610	69.5652	71.6418
Os01g0105800	TanjilG_31140	71.7391	73.8806
Os01g0105900	TanjilG_08195	64.1161	66.2125
Os01g0107900	TanjilG_15775	43.7002	45.7429
Os01g0108000	TanjilG_02544	46.8338	48.5636
Os01g0108000	TanjilG_15084	38.5224	41.7143
Os01g0108200	TanjilG_05419	72.3288	72.2298
Os01g0108200	TanjilG_29411	69.726	68.7838
Os01g0109300	TanjilG_13142	62.5	65.2632
Os01g0109700	TanjilG_13169	7.69231	29.912
Os01g0110100	TanjilG_07779	61.577	62.4365
Os01g0110100	TanjilG_07781	61.577	62.4365
Os01g0110100	TanjilG_15126	60.9512	62.0382
Os01g0110500	TanjilG_07775	47.2779	45.6432
Os01g0110500	TanjilG_15122	46.1318	50.8689
Os01g0110700	TanjilG_31638	73.6232	72.9885
Os01g0110800	TanjilG_10639	45.7778	43.6441
Os01g0110800	TanjilG_25411	47.3333	50.2358
Os01g0110800	TanjilG_31641	45.7778	50.2439
Os01g0111200	TanjilG_07782	45.6452	46.3175
Os01g0111200	TanjilG_07784	33.3871	35.6897
Os01g0111200	TanjilG_15129	46.2903	45.7006
Os01g0111200	TanjilG_25410	45	47.9381
Os01g0111200	TanjilG_28724	42.5806	43.4926
Os01g0111200	TanjilG_31642	46.129	48.8055
Os01g0111600	TanjilG_21952	57.4713	57.8035
Os01g0111600	TanjilG_21954	53.4483	49.7326
Os01g0113300	TanjilG_23948	36.1153	33.8549
Os01g0113300	TanjilG_27614	24.2792	47.3373
Os01g0113300	TanjilG_27615	24.431	48.7879
Os01g0113400	TanjilG_23948	34.4165	33.1437
Os01g0113400	TanjilG_27614	23.9291	47.929
Os01g0113400	TanjilG_27615	24.0768	49.3939
Os01g0113700	TanjilG_23948	34.0146	33.1437
Os01g0113700	TanjilG_27614	23.2117	47.0414
Os01g0113700	TanjilG_27615	23.3577	48.4848
Os01g0114100	TanjilG_23948	31.2595	29.303
Os01g0114100	TanjilG_27614	24.7344	48.2249
Os01g0114100	TanjilG_27615	24.7344	49.3939
Os01g0114400	TanjilG_23948	50.8876	24.4666
Os01g0114400	TanjilG_27614	45.5621	45.5621
Os01g0114400	TanjilG_27615	45.2663	46.3636
Os01g0114600	TanjilG_23948	33.813	33.4282
Os01g0114600	TanjilG_27614	23.8849	49.1124
Os01g0114600	TanjilG_27615	24.0288	50.6061
Os01g0115500	TanjilG_23948	50.1475	24.1821
Os01g0115500	TanjilG_27614	46.0177	46.1538
Os01g0115500	TanjilG_27615	46.6077	47.8788
Os01g0115700	TanjilG_23948	36.465	32.5747
Os01g0115700	TanjilG_27614	25.9554	48.2249
Os01g0115700	TanjilG_27615	26.2739	50
Os01g0115750	TanjilG_23948	33.7758	32.5747
Os01g0115750	TanjilG_27614	24.6313	49.4083
Os01g0115750	TanjilG_27615	24.9263	51.2121
Os01g0116000	TanjilG_23948	35.6725	34.7084
Os01g0116000	TanjilG_27614	24.269	49.1124
Os01g0116000	TanjilG_27615	24.269	50.303
Os01g0116200	TanjilG_23948	33.9437	34.2817
Os01g0116200	TanjilG_27614	23.662	49.7041
Os01g0116200	TanjilG_27615	23.5211	50.6061
