A2X747	Ensembl:ORGLA02G0206100
A2XPN8	Ensembl:ORGLA04G0005500
A2Y626	Ensembl:ORGLA05G0185200
A2Y8A8	Ensembl:ORGLA06G0002400
A2ZRY8	Ensembl:ORGLA01G0101000
A2ZW27	Ensembl:ORGLA01G0202000
A3AAR2	Ensembl:ORGLA02G0258200
A3AC56	Ensembl:ORGLA02G0307000
A3AQC6	Ensembl:ORGLA04G0007600
A3BZ14	Ensembl:ORGLA09G0081800
A3C4N5	Ensembl:ORGLA10G0083000
A3CDR8	Ensembl:ORGLA11G0178500
A4LBC0	Ensembl:ORGLA01G0237800
A9CM06	Ensembl:ORGLA02G0120700
B1B534	Ensembl:ORGLA10G0088000
B7EA04	Ensembl:ORGLA04G0221900
B7EJ81	Ensembl:ORGLA09G0105800 Ensembl:ORGLA06G0286200
B7EM10	Ensembl:ORGLA09G0181100
B7ERE7	Ensembl:ORGLA09G0153800
B7F409	Ensembl:ORGLA05G0159900
B7F4K3	Ensembl:ORGLA01G0123100
B7F7B9	Ensembl:ORGLA02G0059100
B7F8T0	Ensembl:ORGLA05G0094000
B7F956	Ensembl:ORGLA01G0072200
B7F9K3	Ensembl:ORGLA09G0161400
B7FA24	Ensembl:ORGLA12G0109900 Ensembl:ORGLA01G0281800
B7FA34	Ensembl:ORGLA05G0212800
B7FA90	Ensembl:ORGLA06G0196500
B7FA99	Ensembl:ORGLA02G0119100
B7FAE9	Ensembl:ORGLA06G0051100
B7FAP2	Ensembl:ORGLA01G0048000
B8ACC6	Ensembl:ORGLA01G0194700
B8AHI9	Ensembl:ORGLA02G0140900
B8AT82	Ensembl:ORGLA04G0076300 Ensembl:ORGLA02G0351700
B8AY22	Ensembl:ORGLA05G0136400
B8AZ97	Ensembl:ORGLA05G0174800
B8B8K7	Ensembl:ORGLA07G0171800
B8BB38	Ensembl:ORGLA08G0141400
B8BF84	Ensembl:ORGLA09G0069200
B9EUK4	Ensembl:ORGLA01G0077700
B9EZJ8	Ensembl:ORGLA01G0245000
B9F8T8	Ensembl:ORGLA03G0187500
B9FRT6	Ensembl:ORGLA06G0045600
B9FYX6	Ensembl:ORGLA08G0014400
B9FZ46	Ensembl:ORGLA08G0026300
B9G3A7	Ensembl:ORGLA09G0060800
B9G4Z8	Ensembl:ORGLA09G0153100
B9G942	Ensembl:ORGLA04G0064700
C7IXG8	Ensembl:ORGLA01G0279500
C7J0P3	Ensembl:ORGLA03G0140700
C7J5F5	Ensembl:ORGLA08G0155100
C7J5T9	Ensembl:ORGLA08G0155400
C7J6Z0	Ensembl:ORGLA09G0053400
C7J732	Ensembl:ORGLA09G0056100
D5A7I6	Ensembl:ORGLA12G0018400
D5A7J1	Ensembl:ORGLA05G0232600
E5RQA1	Ensembl:ORGLA07G0080500
H6TFZ4	Ensembl:ORGLA04G0039800
I1QJ08	Ensembl:ORGLA08G0140900
I1QQP8	Ensembl:ORGLA09G0137700
O04226	Ensembl:ORGLA05G0163900
O04882	Ensembl:ORGLA01G0230300
O22105	Ensembl:ORGLA03G0346600
O24174	Ensembl:ORGLA04G0122100
O24210	Ensembl:ORGLA03G0380500
O64422	Ensembl:ORGLA03G0114200
O64437	Ensembl:ORGLA03G0065300
O82117	Ensembl:ORGLA09G0014500
O82427	Ensembl:ORGLA03G0026400
P0C128	Ensembl:ORGLA08G0000600
P0C129	Ensembl:ORGLA11G0064000
P0C5A4	Ensembl:ORGLA05G0209500
P0C5B2	Ensembl:ORGLA10G0119200
P14654	Ensembl:ORGLA03G0086500
P14655	Ensembl:ORGLA04G0244300
P14656	Ensembl:ORGLA02G0271200
P14717	Ensembl:ORGLA02G0214200
P15280	Ensembl:ORGLA08G0104300
P17784	Ensembl:ORGLA05G0137300
P17814	Ensembl:ORGLA08G0065300
P18566	Ensembl:ORGLA12G0086000 Ensembl:ORGLA12G0086100
P30298	Ensembl:ORGLA06G0055900
P31924	Ensembl:ORGLA03G0193200
P37833	Ensembl:ORGLA01G0257600
P42862	Ensembl:ORGLA03G0329800
P42863	Ensembl:ORGLA06G0092500
P48642	Ensembl:ORGLA02G0322000
P93438	Ensembl:ORGLA01G0113400
P93844	Ensembl:ORGLA06G0168300
Q01KF3	Ensembl:ORGLA04G0124100
Q01M39	Ensembl:ORGLA04G0056600
Q05JG2	Ensembl:ORGLA02G0251400
Q06967	Ensembl:ORGLA03G0292400
Q0D3B6	Ensembl:ORGLA07G0218800
Q0D3D2	Ensembl:ORGLA07G0217100
Q0D3H8	Ensembl:ORGLA07G0212000
Q0D3T5	Ensembl:ORGLA07G0199200
Q0D4Z4	Ensembl:ORGLA07G0159900
Q0D7I3	Ensembl:ORGLA07G0073000
Q0D7J0	Ensembl:ORGLA07G0071700
Q0D7W4	Ensembl:ORGLA07G0057600
Q0D8I9	Ensembl:ORGLA07G0030100
Q0D8J6	Ensembl:ORGLA07G0029500
Q0D8N3	Ensembl:ORGLA07G0023700
Q0D980	Ensembl:ORGLA07G0001800
Q0DAA4	Ensembl:ORGLA06G0201500
Q0DAE1	Ensembl:ORGLA06G0197400
Q0DAJ3	Ensembl:ORGLA06G0191100
Q0DBD3	Ensembl:ORGLA06G0159200
Q0DBF4	Ensembl:ORGLA06G0157300
Q0DBN4	Ensembl:ORGLA06G0149200
Q0DCE9	Ensembl:ORGLA06G0121900
Q0DDD2	Ensembl:ORGLA06G0080100
Q0DDS1	Ensembl:ORGLA06G0060200
Q0DEC8	Ensembl:ORGLA06G0037300
Q0DFE6	Ensembl:ORGLA05G0244900
Q0DFL6	Ensembl:ORGLA05G0236700
Q0DGG8	Ensembl:ORGLA02G0073700 Ensembl:ORGLA01G0239800
Q0DGS1	Ensembl:ORGLA05G0198900
Q0DHF6	Ensembl:ORGLA05G0173200
Q0DHT1	Ensembl:ORGLA05G0158500
Q0DJJ9	Ensembl:ORGLA06G0135000 Ensembl:ORGLA05G0082200
Q0DKM0	Ensembl:ORGLA05G0036000
Q0DKP3	Ensembl:ORGLA05G0032700
Q0DN31	Ensembl:ORGLA03G0331100
Q0DNU1	Ensembl:ORGLA03G0301600
Q0DS96	Ensembl:ORGLA03G0150600
Q0DSM1	Ensembl:ORGLA03G0136400
Q0DUI1	Ensembl:ORGLA03G0060400
Q0DV32	Ensembl:ORGLA03G0038200
Q0DWC7	Ensembl:ORGLA02G0328200
Q0DWF2	Ensembl:ORGLA02G0325700
Q0DWY7	Ensembl:ORGLA02G0305100
Q0DXA9	Ensembl:ORGLA02G0291000
Q0DXM9	Ensembl:ORGLA02G0277200
Q0DY59	Ensembl:ORGLA02G0255700
Q0DYK7	Ensembl:ORGLA02G0242900
Q0DZE0	Ensembl:ORGLA02G0214500
Q0E079	Ensembl:ORGLA02G0184500
Q0E088	Ensembl:ORGLA02G0183000
Q0E0S0	Ensembl:ORGLA02G0162200
Q0E2P1	Ensembl:ORGLA02G0082700
Q0E2P9	Ensembl:ORGLA02G0082000
Q0E2X2	Ensembl:ORGLA02G0076000
Q0E2Y8	Ensembl:ORGLA02G0074000
Q0E3F2	Ensembl:ORGLA02G0054400
Q0E3J1	Ensembl:ORGLA02G0050900
Q0E4F0	Ensembl:ORGLA02G0015800
Q0E4H0	Ensembl:ORGLA02G0013600
Q0ILP7	Ensembl:ORGLA12G0170900
Q0IM00	Ensembl:ORGLA12G0157200
Q0IMS8	Ensembl:ORGLA11G0212000 Ensembl:ORGLA12G0132400
Q0INY7	Ensembl:ORGLA12G0078200
Q0IPE5	Ensembl:ORGLA12G0058000
Q0IQA5	Ensembl:ORGLA11G0020100
Q0IQQ5	Ensembl:ORGLA12G0001900
Q0IRE6	Ensembl:ORGLA11G0173400
Q0ISY7	Ensembl:ORGLA11G0103300
Q0ITU1	Ensembl:ORGLA11G0062500
Q0IUG8	Ensembl:ORGLA11G0034200
Q0IZR4	Ensembl:ORGLA09G0153000
Q0IZS0	Ensembl:ORGLA09G0152300
Q0J0L4	Ensembl:ORGLA09G0121100
Q0J0M8	Ensembl:ORGLA12G0178900 Ensembl:ORGLA09G0114900
Q0J0N3	Ensembl:ORGLA09G0119900
Q0J0P1	Ensembl:ORGLA09G0113600
Q0J185	Ensembl:ORGLA09G0097600
Q0J268	Ensembl:ORGLA09G0060000
Q0J2L7	Ensembl:ORGLA09G0040600
Q0J2S0	Ensembl:ORGLA09G0035500
Q0J360	Ensembl:ORGLA09G0020800 Ensembl:ORGLA08G0236700
Q0J484	Ensembl:ORGLA08G0232000
Q0J7P4	Ensembl:ORGLA08G0039700
Q0J7U6	Ensembl:ORGLA08G0032000
Q0J7W9	Ensembl:ORGLA08G0028700
Q0J8A4	Ensembl:ORGLA08G0010000
Q0J8X6	Ensembl:ORGLA04G0263500
Q0J951	Ensembl:ORGLA04G0254900
Q0J9F2	Ensembl:ORGLA04G0242900
Q0J9H0	Ensembl:ORGLA04G0240300
Q0J9K2	Ensembl:ORGLA04G0236700
Q0J9Z0	Ensembl:ORGLA04G0229100
Q0JA81	Ensembl:ORGLA04G0220600
Q0JA82	Ensembl:ORGLA04G0220500
Q0JAI1	Ensembl:ORGLA04G0204600
Q0JB49	Ensembl:ORGLA04G0183000
Q0JB91	Ensembl:ORGLA04G0178200
Q0JB99	Ensembl:ORGLA04G0177100
Q0JBA9	Ensembl:ORGLA04G0175900
Q0JBF1	Ensembl:ORGLA04G0170900
