Gene stable ID	Aegilops tauschii gene stable ID	%id. target Aegilops tauschii gene identical to query gene	%id. query gene identical to target Aegilops tauschii gene
BAC19853	F775_33092	36.4286	56.044
BAC19853	F775_33191	93.2143	43.6455
BAC19863	F775_33005	86.25	99.0431
BAC19863	F775_33186	67.9167	94.7674
BAC19863	F775_33272	83.75	96.1722
BAC19872	EPlATAG00000010005	48.8	46.2121
BAC19874	F775_26544	14.9068	25.8065
BAC19874	F775_26620	22.5673	40.824
BAC19887	F775_29251	69.8925	45.1389
BAC19891	F775_23730	34.9558	98.3402
BAC19896	F775_00251	43.662	60.4878
BAC19896	F775_23117	39.4366	68.7117
BAC19896	F775_23611	24.6479	51.0949
BAC19896	F775_23615	22.1831	45.3237
BAC19898	F775_05011	70.7447	50
BAC19899	F775_10999	55.9921	89.9054
BAC19899	F775_11931	57.3674	92.1136
BAC19899	F775_29235	83.3006	92.3747
CAA33908	EPlATAG00000010042	96.5909	96.5909
CAA33909	EPlATAG00000010020	92.6966	91.6667
CAA33910	EPlATAG00000010006	96.6851	96.6851
CAA33912	EPlATAG00000010066	94.4444	94.4444
CAA33915	EPlATAG00000010038	66.1654	61.1111
CAA33918	EPlATAG00000010005	88.3721	57.5758
CAA33920	EPlATAG00000010068	99.4118	99.4118
CAA33923	EPlATAG00000010027	98.9247	98.9247
CAA33924	EPlATAG00000010025	97.8022	97.4453
CAA33927	EPlATAG00000010036	74.1936	97.1831
CAA33928	EPlATAG00000010025	97.8022	97.4453
CAA33930	EPlATAG00000010033	65.4206	85.3659
CAA33931	EPlATAG00000010029	97.7941	97.7941
CAA33932	EPlATAG00000010052	98.374	98.374
CAA33933	EPlATAG00000010070	91.9118	86.8056
CAA33934	EPlATAG00000010007	94.9791	94.9791
CAA33935	EPlATAG00000010028	95.9732	95.9732
CAA33938	EPlATAG00000010027	98.9247	98.9247
CAA33941	EPlATAG00000010068	99.4118	99.4118
CAA33945	EPlATAG00000010038	66.1654	61.1111
CAA33948	EPlATAG00000010066	94.4444	94.4444
CAA33950	EPlATAG00000010064	92.3706	91.7456
CAA33951	EPlATAG00000010014	71.4286	83.3333
CAA33952	EPlATAG00000010049	92.2118	91.9255
CAA33953	EPlATAG00000010062	82.8	82.8
CAA33954	EPlATAG00000010060	100	100
CAA33955	EPlATAG00000010076	99.0099	99.0099
CAA33957	EPlATAG00000010051	91.6667	91.6667
CAA33958	EPlATAG00000010015	92.973	92.973
CAA33960	EPlATAG00000010047	89.1304	89.1304
CAA33961	EPlATAG00000010048	97.1875	97.1875
CAA33962	EPlATAG00000010008	95	95
CAA33963	EPlATAG00000010071	100	100
CAA33964	EPlATAG00000010043	97.4359	97.4359
CAA33966	EPlATAG00000010073	90.3226	90.3226
CAA33967	EPlATAG00000010017	100	100
CAA33968	EPlATAG00000010040	90.9091	95.2381
CAA33969	EPlATAG00000010074	89.3939	89.3939
CAA33970	EPlATAG00000010002	92.638	88.8235
CAA33971	EPlATAG00000010059	90.7563	90.7563
CAA33972	EPlATAG00000010044	96.2963	96.2963
CAA33973	F775_01655	45.0787	92.3387
CAA33973	F775_29654	26.378	74.8603
CAA33974	EPlATAG00000010057	94.2857	86.8421
CAA33975	EPlATAG00000010078	100	100
CAA33976	EPlATAG00000010034	86.3014	86.3014
CAA33977	EPlATAG00000010045	98.6047	91.3793
CAA33979	EPlATAG00000010079	90.8012	90.2655
CAA33980	EPlATAG00000010069	98.6014	98.6014
CAA33981	EPlATAG00000010053	100	100
CAA33984	EPlATAG00000010041	94.1176	94.1176
CAA33985	EPlATAG00000010055	100	100
CAA33986	EPlATAG00000010067	97.3953	97.3048
CAA33987	EPlATAG00000010072	96.3343	96.1933
CAA33989	EPlATAG00000010039	97.0339	97.0339
CAA33990	EPlATAG00000010001	98.7854	98.7854
CAA33990	F775_27731	73.6842	62.3288
CAA33992	EPlATAG00000010050	97.7778	93.617
CAA33993	F775_25750	24.4576	72.9412
CAA33994	EPlATAG00000010061	93.2039	93.2039
CAA33995	EPlATAG00000010016	97.8202	97.8202
CAA33996	EPlATAG00000010035	97.8667	97.8667
CAA33997	EPlATAG00000010065	97.0414	95.3488
CAA33998	EPlATAG00000010030	95.0249	95.0249
CAA33999	EPlATAG00000010011	91.195	91.195
CAA34000	EPlATAG00000010054	91.8699	92.2449
CAA34001	EPlATAG00000010004	94.1667	94.1667
CAA34002	EPlATAG00000010003	95.6204	95.6204
CAA34003	EPlATAG00000010080	97.5904	97.3948
CAA34008	EPlATAG00000010022	82.2878	87.1094
CAA34009	EPlATAG00000010077	82.2581	60
CAA34010	EPlATAG00000010046	93.4426	93.4426
CAA34011	EPlATAG00000010018	97.2222	97.2222
CAA34013	EPlATAG00000010032	99.1501	99.1501
CAA34014	EPlATAG00000010019	98.7315	98.7315
CAA34015	EPlATAG00000010023	98.3871	98.3871
Os01g0100100	F775_06225	67.9487	51.9608
Os01g0100400	F775_10558	61.8887	44.7016
Os01g0100600	F775_05093	45.0704	48.048
Os01g0100700	F775_31857	87.5	87.5
Os01g0100800	F775_09470	39.8876	48.4642
Os01g0100900	F775_07964	78.6642	86.7076
Os01g0101150	F775_52486	77.037	57.2477
Os01g0101200	F775_01702	57.6052	29.7659
Os01g0101300	F775_06259	65.8477	75.2809
Os01g0101600	F775_06444	55.2147	70.3125
Os01g0101800	F775_12074	39.9408	32.767
Os01g0101900	F775_43007	65.2778	65.2778
