A0A0P0X5U4	Jaiswal:GAKM01128495.1
A2X747	Jaiswal:GAKM01043795.1 Jaiswal:GAKM01066877.1 Jaiswal:GAKM01088950.1 Jaiswal:GAKM01029428.1 Jaiswal:GAKM01040126.1 Jaiswal:GAKM01078762.1
A2XPN8	Jaiswal:GAKM01122115.1 Jaiswal:GAKM01073487.1 Jaiswal:GAKM01028316.1 Jaiswal:GAKM01093367.1 Jaiswal:GAKM01117685.1 Jaiswal:GAKM01087612.1
A2Y626	Jaiswal:GAKM01090437.1
A2ZRY8	Jaiswal:GAKM01072697.1
A2ZW27	Jaiswal:GAKM01066513.1 Jaiswal:GAKM01134330.1
A2ZWY3	Jaiswal:GAKM01118712.1 Jaiswal:GAKM01010871.1 Jaiswal:GAKM01039579.1
A2ZWY7	Jaiswal:GAKM01118712.1 Jaiswal:GAKM01010871.1 Jaiswal:GAKM01039579.1
A3AAR2	Jaiswal:GAKM01027511.1 Jaiswal:GAKM01078919.1 Jaiswal:GAKM01000210.1
A3AQC6	Jaiswal:GAKM01129654.1
A3AZW5	Jaiswal:GAKM01015826.1 Jaiswal:GAKM01103140.1 Jaiswal:GAKM01136995.1 Jaiswal:GAKM01059611.1
A3B7R7	Jaiswal:GAKM01124728.1 Jaiswal:GAKM01114792.1 Jaiswal:GAKM01108688.1
A3B9A0	Jaiswal:GAKM01063662.1 Jaiswal:GAKM01117311.1 Jaiswal:GAKM01071245.1 Jaiswal:GAKM01033576.1 Jaiswal:GAKM01137200.1 Jaiswal:GAKM01137264.1
A3BI64	Jaiswal:GAKM01016158.1 Jaiswal:GAKM01069632.1 Jaiswal:GAKM01061978.1 Jaiswal:GAKM01088621.1 Jaiswal:GAKM01123098.1 Jaiswal:GAKM01111056.1 Jaiswal:GAKM01068899.1 Jaiswal:GAKM01099960.1 Jaiswal:GAKM01114974.1 Jaiswal:GAKM01010055.1
