Gene stable ID	Cyanidioschyzon merolae gene stable ID	% identity	Cyanidioschyzon merolae % identity	Orthology confidence [0 low, 1 high]
OS01G0100700	CMT627C	76	77	1
OS01G0100900	CMT631C	39	33	1
OS01G0101200	CMM212C	5	6	0
OS01G0102600	CMT093C	16	15	1
OS01G0102800	CMO092C	34	34	1
OS01G0103000	CML153C	29	26	1
OS01G0103600	CMT530C	21	20	0
OS01G0104800	CMT432C	18	14	0
OS01G0105800	CMT264C	43	52	1
OS01G0106200	CMI263C	44	26	1
OS01G0106800	CMQ353C	52	56	0
OS01G0106900	CMG148C	54	52	1
OS01G0109300	CMD049C	34	33	1
OS01G0109700	CMQ125C	23	20	0
OS01G0110400	CMA042C	48	46	1
OS01G0110400	CME087C	47	34	1
OS01G0110700	CME095C	37	41	1
OS01G0111200	CMT375C	14	16	1
OS01G0116600	CMB091C	21	24	0
OS01G0118000	CMI049C	56	53	1
OS01G0120300	CMP205C	56	42	1
OS01G0120600	CMC076C	31	21	1
OS01G0120800	CMH060C	23	17	1
OS01G0121100	CML028C	19	23	1
OS01G0121700	CMO130C	38	38	1
OS01G0127300	CMH006C	19	15	1
OS01G0127400	CMA099C	36	30	1
OS01G0127900	CMQ359C	36	37	1
OS01G0130000	CMC075C	30	28	1
OS01G0131800	CMO086C	26	25	1
OS01G0132800	CMQ022C	27	26	1
OS01G0134500	CMC055C	28	23	0
OS01G0138800	CMO078C	46	39	1
OS01G0139600	CMR054C	12	13	0
OS01G0139600	CMR488C	12	13	0
OS01G0140500	CMG157C	36	33	0
OS01G0141100	CMO281C	57	33	1
OS01G0141300	CMO281C	42	38	1
OS01G0141600	CMN030C	26	10	1
OS01G0142100	CMT282C	18	18	1
OS01G0142300	CMR015C	22	18	1
OS01G0144100	CMO201C	34	21	1
OS01G0144500	CMK008C	30	21	1
OS01G0147200	CMB042C	14	17	1
OS01G0147900	CMQ172C	53	45	1
OS01G0148400	CMS390C	6	12	1
OS01G0150000	CMD146C	43	42	1
OS01G0150200	CMR006C	36	26	1
OS01G0150400	CMR006C	18	13	1
OS01G0150500	CMR006C	19	14	1
OS01G0150800	CMR006C	27	20	1
OS01G0151200	CMT063C	36	34	1
OS01G0151400	CMM265C	19	7	0
OS01G0151400	CMQ101C	40	12	0
OS01G0151500	CMM265C	21	20	0
OS01G0151500	CMQ101C	33	25	0
OS01G0152700	CMN145C	88	31	0
OS01G0153200	CMI202C	26	23	1
OS01G0153400	CMK087C	41	20	0
OS01G0156000	CMK043C	28	17	1
OS01G0157800	CMP334C	55	55	0
OS01G0158000	CMT096C	26	21	0
OS01G0158500	CMN173C	9	43	0
OS01G0158500	CMN177C	40	34	0
OS01G0164600	CME177C	30	25	0
OS01G0167500	CMH238C	27	28	1
OS01G0167500	CMK065C	24	26	1
OS01G0167500	CMS488C	30	29	1
OS01G0172000	CMK113C	35	10	1
OS01G0172100	CMN328C	38	38	1
OS01G0172200	CMR479C	32	38	1
OS01G0174300	CMH250C	34	31	1
OS01G0174700	CMT328C	29	30	1
OS01G0174900	CMM250C	30	28	0
OS01G0175000	CMF176C	28	25	0
OS01G0175600	CMI004C	20	16	0
OS01G0175600	CMR009C	22	22	0
OS01G0175600	CMT006C	20	16	0
OS01G0175700	CMI004C	20	16	0
OS01G0175700	CMR009C	22	21	0
OS01G0175700	CMT006C	20	16	0
OS01G0177200	CMT098C	27	22	0
OS01G0178000	CMA077C	28	23	1
OS01G0178400	CMF150C	44	12	1
OS01G0178700	CMM012C	20	24	1
OS01G0179200	CMN143C	31	30	1
OS01G0179400	CMO228C	8	7	1
OS01G0179700	CMF181C	61	59	0
OS01G0180600	CMI229C	22	24	1
OS01G0180800	CMS343C	29	27	1
OS01G0183100	CMF157C	35	29	1
OS01G0184000	CMM180C	23	16	1
OS01G0184500	CML156C	28	31	1
OS01G0184900	CMS034C	26	28	0
OS01G0185200	CMS289C	40	35	0
OS01G0185500	CMH078C	25	22	1
OS01G0186700	CMP312C	40	33	1
OS01G0188100	CMR064C	19	13	1
OS01G0191100	CMG118C	46	45	0
OS01G0191150	CMP220C	26	8	1
OS01G0191500	CMK260C	29	27	1
OS01G0191800	CMQ044C	67	43	1
OS01G0195500	CMH011C	27	21	1
OS01G0198200	CMF099C	36	29	1
OS01G0199400	CMS228C	9	9	1
OS01G0200500	CML289C	18	17	1
OS01G0205500	CML196C	60	60	1
OS01G0207300	CMN227C	65	27	1
OS01G0208700	CME095C	35	38	1
OS01G0209000	CMQ162C	31	31	1
OS01G0209200	CMP239C	58	57	1
OS01G0209500	CMM335C	23	3	1
OS01G0210900	CMJ270C	38	35	0
OS01G0210900	CMJ284C	39	35	0
OS01G0211000	CMJ270C	39	36	0
OS01G0211000	CMJ284C	38	36	0
OS01G0211200	CMJ270C	41	37	0
OS01G0211200	CMJ284C	41	37	0
OS01G0211600	CMJ270C	43	29	0
OS01G0211600	CMJ284C	43	29	0
OS01G0212100	CME166C	32	33	0
OS01G0212100	CMG044C	37	20	0
OS01G0212100	CMQ385C	32	27	0
OS01G0214200	CMN032C	32	20	1
OS01G0214200	CMS019C	32	20	1
OS01G0217500	CMS007C	22	30	0
OS01G0217800	CMS007C	24	36	0
OS01G0218032	CMD139C	0	0	1
OS01G0218700	CME117C	37	36	1
OS01G0218700	CMP028C	32	33	1
OS01G0219100	CMT399C	28	20	1
OS01G0221700	CMO222C	27	19	1
OS01G0222500	CMQ010C	34	33	1
OS01G0224400	CMS501C	21	4	1
OS01G0225200	CMB003C	19	6	1
OS01G0227100	CMP155C	21	28	1
OS01G0227300	CMD183C	48	40	1
OS01G0228300	CMG206C	29	21	0
OS01G0228300	CMS031C	29	35	0
OS01G0229100	CMH059C	31	22	1
OS01G0229400	CMH183C	54	30	1
OS01G0232300	CMO192C	18	8	1
