A2X747	Ensembl:LPERR02G19400
A2XPN8	Ensembl:LPERR04G00310
A2Y626	Ensembl:LPERR05G17270
A2Y8A8	Ensembl:LPERR06G00260
A2ZW27	Ensembl:LPERR01G21290
A2ZWY7	Ensembl:LPERR01G23950
A3AAR2	Ensembl:LPERR02G24720
A3AC56	Ensembl:LPERR02G29150
A3AQC6	Ensembl:LPERR04G00490
A3B9A0	Ensembl:LPERR06G05720
A3C4N5	Ensembl:LPERR10G06940
A3C6G9	Ensembl:LPERR10G12010
A4LBC0	Ensembl:LPERR01G24570
A9CM06	Ensembl:LPERR02G11410
B1B534	Ensembl:LPERR10G07370
B7E8M5	Ensembl:LPERR03G01290
B7EA04	Ensembl:LPERR04G20680
B7EM10	Ensembl:LPERR09G11020
B7ERE7	Ensembl:LPERR09G15030
B7F4K3	Ensembl:LPERR09G15860 Ensembl:LPERR03G00870
B7F7B9	Ensembl:LPERR02G05600
B7F8P7	Ensembl:LPERR09G16380
B7F8T0	Ensembl:LPERR05G08800
B7F924	Ensembl:LPERR01G15150
B7F956	Ensembl:LPERR01G07600
B7F9K3	Ensembl:LPERR09G15860 Ensembl:LPERR03G00870
B7FA24	Ensembl:LPERR01G29580
B7FA34	Ensembl:LPERR05G20540
B7FA90	Ensembl:LPERR06G19470
B7FA99	Ensembl:LPERR02G11300
B7FAE9	Ensembl:LPERR06G05180
B7FAP2	Ensembl:LPERR01G04890
B8ACC6	Ensembl:LPERR01G20680
B8AG62	Ensembl:LPERR02G00560 Ensembl:LPERR06G17680
B8AHI9	Ensembl:LPERR02G13000
B8AZ97	Ensembl:LPERR05G15970
B8B8K7	Ensembl:LPERR07G19360
B8BB38	Ensembl:LPERR08G13420
B8BF84	Ensembl:LPERR09G06420
B9EUK4	Ensembl:LPERR01G07680
B9EZJ8	Ensembl:LPERR01G25660
B9F8T8	Ensembl:LPERR03G17250
B9FDB8	Ensembl:LPERR04G25390
B9FLB9	Ensembl:LPERR05G19880
B9FRT6	Ensembl:LPERR06G04490
B9FYX6	Ensembl:LPERR08G02180
B9FZ46	Ensembl:LPERR08G03280
B9G3A7	Ensembl:LPERR09G05790
B9G4Z8	Ensembl:LPERR09G14940
B9G6J6	Ensembl:LPERR10G11560
C7IWB6	Ensembl:LPERR01G36770
C7IWK8	Ensembl:LPERR01G29770
C7J0P3	Ensembl:LPERR03G12840
C7J5F5	Ensembl:LPERR08G14640
C7J5T9	Ensembl:LPERR08G14660 Ensembl:LPERR08G14650
C7J6Z0	Ensembl:LPERR09G04990
C7J732	Ensembl:LPERR09G05180
D5A7I6	Ensembl:LPERR12G02050 Ensembl:LPERR11G01920
D5A7J1	Ensembl:LPERR05G22500
E3WF37	Ensembl:LPERR02G28830
E5RQA1	Ensembl:LPERR07G08310
H6TFZ4	Ensembl:LPERR04G03590
I1QJ08	Ensembl:LPERR08G13380
I1QQP8	Ensembl:LPERR09G13450
I3QK18	Ensembl:LPERR03G27940
O04226	Ensembl:LPERR05G14840
O04882	Ensembl:LPERR01G24050
O22105	Ensembl:LPERR03G32130
O22567	Ensembl:LPERR05G12830
O24174	Ensembl:LPERR04G11970
O24210	Ensembl:LPERR03G35140
O64422	Ensembl:LPERR03G10510
O64437	Ensembl:LPERR03G06050
O82427	Ensembl:LPERR03G02590
P0C128	Ensembl:LPERR08G00960
P0C129	Ensembl:LPERR11G06320
P0C587	Ensembl:LPERR10G11210
