Gene stable ID	Amborella trichopoda gene stable ID	% identity	Amborella trichopoda % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	AMTR_s00066p00146980	42	44	1
OS01G0100400	AMTR_s00163p00059030	67	67	1
OS01G0100500	AMTR_s00020p00152550	46	43	1
OS01G0100600	AMTR_s00020p00156350	18	35	1
OS01G0100700	AMTR_s00068p00119380	87	88	0
OS01G0100700	AMTR_s00090p00050460	87	87	0
OS01G0100800	AMTR_s00013p00157940	26	31	1
OS01G0100900	AMTR_s00013p00165620	43	63	1
OS01G0100900	AMTR_s00013p00166440	23	67	1
OS01G0101200	AMTR_s00068p00163030	57	34	1
OS01G0101300	AMTR_s00013p00200700	61	59	1
OS01G0101600	AMTR_s00013p00253930	39	59	0
OS01G0101700	AMTR_s00064p00089690	43	40	0
OS01G0101800	AMTR_s00013p00248170	18	13	1
OS01G0101900	AMTR_s00013p00100030	51	54	1
OS01G0102000	AMTR_s00013p00083070	56	57	1
OS01G0102300	AMTR_s00278p00013150	38	44	1
OS01G0102300	AMTR_s03074p00007770	16	62	1
OS01G0102400	AMTR_s00213p00014190	11	25	0
OS01G0102500	AMTR_s00016p00013560	57	57	1
OS01G0102600	AMTR_s00016p00187060	35	29	1
OS01G0102700	AMTR_s00016p00171940	48	53	0
OS01G0102800	AMTR_s00067p00081580	63	46	1
OS01G0102900	AMTR_s00016p00166750	43	40	1
OS01G0103000	AMTR_s00030p00194030	63	58	0
OS01G0103000	AMTR_s00142p00090080	75	74	0
OS01G0103100	AMTR_s00016p00024040	65	60	0
OS01G0103600	AMTR_s00002p00072230	63	63	1
OS01G0103700	AMTR_s00142p00022670	27	4	1
OS01G0103800	AMTR_s00022p00077030	40	45	1
OS01G0104000	AMTR_s00016p00259160	67	68	1
OS01G0104100	AMTR_s00119p00030390	31	58	1
OS01G0104100	AMTR_s00119p00032590	10	58	1
OS01G0104400	AMTR_s00010p00266400	6	6	0
OS01G0104400	AMTR_s00119p00043480	41	34	0
OS01G0104600	AMTR_s00027p00237750	61	62	1
OS01G0104800	AMTR_s00032p00138740	13	50	1
OS01G0104900	AMTR_s00014p00154350	43	42	1
OS01G0105700	AMTR_s00014p00103240	25	25	1
OS01G0105800	AMTR_s00036p00222220	33	61	0
