Gene stable ID	Leersia perrieri gene stable ID	% identity	Leersia perrieri % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	LPERR01G00020	77	41	1
OS01G0100500	LPERR01G00030	93	93	1
OS01G0100600	LPERR01G00040	75	81	1
OS01G0100700	LPERR01G00050	92	92	1
OS01G0100700	LPERR11G10750	95	94	1
OS01G0100900	LPERR01G00060	84	48	1
OS01G0101150	LPERR01G28760	87	87	1
OS01G0101200	LPERR01G00070	70	72	1
OS01G0101300	LPERR01G00080	91	80	1
OS01G0101600	LPERR01G00090	75	85	1
OS01G0101700	LPERR03G13720	18	24	0
OS01G0101700	LPERR09G05350	27	28	0
OS01G0101800	LPERR01G00100	71	71	1
OS01G0101900	LPERR01G00110	86	86	1
OS01G0102000	LPERR01G00120	79	78	1
OS01G0102300	LPERR01G00130	67	72	1
OS01G0102400	LPERR06G10620	60	60	1
OS01G0102400	LPERR12G06110	60	60	1
OS01G0102400	LPERR12G06220	54	63	1
OS01G0102500	LPERR01G00140	89	87	1
OS01G0102700	LPERR05G00210	56	46	0
OS01G0102800	LPERR01G00150	52	50	1
OS01G0102900	LPERR01G00160	87	71	1
OS01G0103000	LPERR01G00170	91	97	1
OS01G0103100	LPERR01G00180	85	81	1
OS01G0103600	LPERR01G00200	87	87	0
OS01G0103600	LPERR01G36290	89	58	0
OS01G0103700	LPERR01G00210	76	11	1
OS01G0103800	LPERR03G10700	89	86	1
OS01G0103900	LPERR01G00220	91	65	1
OS01G0104000	LPERR01G00230	89	89	1
OS01G0104100	LPERR01G00240	76	83	1
OS01G0104200	LPERR01G00250	45	49	1
OS01G0104400	LPERR01G00260	62	52	1
OS01G0104500	LPERR01G00270	59	60	1
OS01G0104600	LPERR01G00290	87	84	1
OS01G0104800	LPERR01G09360	69	63	1
OS01G0104900	LPERR01G00300	70	67	1
OS01G0105700	LPERR01G00310	41	41	1
OS01G0105800	LPERR01G00320	88	91	1
OS01G0105900	LPERR01G00330	89	90	1
OS01G0106200	LPERR01G00350	28	87	1
OS01G0106400	LPERR01G00360	73	75	1
OS01G0106400	LPERR01G00370	83	82	1
OS01G0106400	LPERR01G00380	68	69	1
OS01G0106500	LPERR01G00390	52	60	1
OS01G0106600	LPERR01G00410	53	53	1
OS01G0106700	LPERR01G00420	81	75	1
OS01G0106900	LPERR01G00440	92	92	1
OS01G0107000	LPERR01G00450	82	81	1
OS01G0107700	LPERR01G00490	49	61	1
OS01G0107900	LPERR01G00500	81	81	1
OS01G0108000	LPERR01G00510	51	86	1
OS01G0108200	LPERR09G00030	92	89	1
OS01G0108400	LPERR01G00520	57	62	1
OS01G0108600	LPERR01G00530	60	61	1
OS01G0108800	LPERR01G00540	53	22	1
OS01G0109300	LPERR01G00550	81	89	1
OS01G0109700	LPERR01G00560	87	81	1
OS01G0109750	LPERR01G00570	91	50	1
OS01G0110100	LPERR01G00580	88	88	1
OS01G0110400	LPERR01G00610	93	93	1
OS01G0110500	LPERR01G00620	62	89	1
OS01G0110700	LPERR01G00630	85	91	1
OS01G0110800	LPERR01G00640	76	69	1
OS01G0111000	LPERR01G00650	56	45	1
OS01G0111100	LPERR01G00660	82	78	1
OS01G0111200	LPERR01G00670	87	48	1
OS01G0111500	LPERR01G00690	73	77	1
OS01G0111600	LPERR01G00700	93	93	1
OS01G0111700	LPERR01G00710	63	69	1
OS01G0111900	LPERR01G00730	81	82	1
OS01G0112000	LPERR01G00740	78	82	1
OS01G0112100	LPERR01G00750	82	83	1
OS01G0112400	LPERR01G00760	65	66	1
OS01G0112500	LPERR01G00770	92	87	1
OS01G0113200	LPERR01G00840	91	42	1
OS01G0113300	LPERR01G00790	62	61	0
OS01G0113350	LPERR01G06250	34	31	0
OS01G0113350	LPERR01G06260	38	32	0
OS01G0113400	LPERR01G00910	70	71	1
OS01G0113650	LPERR01G06250	35	32	0
OS01G0113650	LPERR01G06260	38	32	0
OS01G0113700	LPERR01G00910	60	62	1
OS01G0114100	LPERR01G00950	44	86	1
OS01G0114400	LPERR01G01030	81	39	0
OS01G0115566	LPERR01G01010	51	48	1
OS01G0115700	LPERR01G00980	72	48	1
OS01G0115750	LPERR01G00950	43	86	1
OS01G0115800	LPERR01G01010	44	50	1
OS01G0115900	LPERR01G00990	43	63	0
OS01G0116000	LPERR01G01020	67	65	1
OS01G0116200	LPERR01G01030	73	74	0
OS01G0116600	LPERR04G19480	79	48	1
OS01G0116800	LPERR01G01050	88	32	1
OS01G0116800	LPERR01G01060	87	46	1
OS01G0116900	LPERR01G01100	40	91	0
OS01G0116900	LPERR01G01110	77	60	0
OS01G0117000	LPERR01G01050	63	45	1
OS01G0117000	LPERR01G01060	64	67	1
OS01G0117100	LPERR01G01100	57	91	0
OS01G0117100	LPERR01G01110	87	48	0
OS01G0117200	LPERR01G01030	57	59	0
OS01G0117400	LPERR01G01040	39	64	1
OS01G0117500	LPERR01G01100	44	91	0
OS01G0117500	LPERR01G01110	73	52	0
OS01G0117600	LPERR01G01050	69	48	1
OS01G0117600	LPERR01G01060	72	73	1
OS01G0117700	LPERR01G01100	32	90	0
OS01G0117700	LPERR01G01110	74	73	0
OS01G0117900	LPERR01G01140	97	97	1
OS01G0118000	LPERR01G01150	96	95	1
OS01G0118100	LPERR01G01160	97	67	1
OS01G0118300	LPERR01G01170	57	30	1
OS01G0118400	LPERR01G01180	80	77	1
OS01G0118700	LPERR01G01190	81	25	0
OS01G0119100	LPERR01G01200	78	66	1
OS01G0120300	LPERR01G01240	88	57	1
OS01G0120500	LPERR01G01250	80	80	1
OS01G0120600	LPERR01G01260	70	73	1
OS01G0120800	LPERR01G01270	90	89	1
OS01G0121000	LPERR01G01280	73	73	1
OS01G0121100	LPERR01G01290	88	87	1
OS01G0121200	LPERR01G01300	92	89	1
OS01G0121300	LPERR01G01310	80	76	1
OS01G0121500	LPERR01G01320	71	56	1
OS01G0121600	LPERR01G01330	57	67	1
OS01G0121700	LPERR01G01340	92	84	1
OS01G0121800	LPERR01G01350	94	95	1
OS01G0121950	LPERR01G01360	50	54	1
OS01G0122701	LPERR01G01390	22	7	0
OS01G0122701	LPERR03G13440	25	8	0
OS01G0123700	LPERR01G01400	38	38	0
OS01G0123800	LPERR01G01410	49	49	1
OS01G0123900	LPERR01G01430	48	55	1
OS01G0123900	LPERR01G01460	49	56	1
OS01G0124600	LPERR01G01430	55	62	1
OS01G0124600	LPERR01G01460	50	57	1
OS01G0124650	LPERR01G01430	59	65	1
OS01G0124650	LPERR01G01460	58	64	1
OS01G0124900	LPERR01G01490	66	45	1
OS01G0125500	LPERR01G01520	43	43	1
OS01G0125600	LPERR01G01540	90	91	1
OS01G0125700	LPERR01G01560	87	81	1
OS01G0125800	LPERR01G01570	95	95	1
OS01G0125900	LPERR01G01580	89	89	1
OS01G0126100	LPERR01G01590	80	75	1
OS01G0126200	LPERR01G01600	80	79	1
OS01G0126600	LPERR01G01610	80	57	1
OS01G0126900	LPERR01G01620	79	86	1
OS01G0127000	LPERR01G01640	69	49	1
OS01G0127000	LPERR01G01650	64	46	1
OS01G0127000	LPERR01G01660	64	49	1
OS01G0127200	LPERR01G01640	72	72	1
OS01G0127200	LPERR01G01650	74	75	1
OS01G0127200	LPERR01G01660	68	74	1
OS01G0127300	LPERR01G01670	85	85	1
OS01G0127400	LPERR01G01680	92	92	1
OS01G0127500	LPERR01G01690	81	81	1
OS01G0127600	LPERR01G01700	60	57	1
OS01G0127900	LPERR01G01740	88	88	1
OS01G0128000	LPERR01G01750	53	54	1
OS01G0128100	LPERR01G01760	84	86	1
OS01G0128200	LPERR01G01770	86	79	1
OS01G0128300	LPERR01G01780	78	59	1
OS01G0128400	LPERR01G01790	85	86	1
OS01G0128800	LPERR01G01800	88	25	1
OS01G0129200	LPERR01G01810	68	72	1
OS01G0129500	LPERR01G01820	68	69	1
OS01G0129600	LPERR01G01830	48	52	1
OS01G0130000	LPERR01G01840	88	90	1
OS01G0130400	LPERR01G01850	87	88	1
OS01G0130900	LPERR01G01860	68	75	1
OS01G0131300	LPERR01G01870	73	70	1
OS01G0131600	LPERR01G01880	83	73	1
OS01G0131900	LPERR01G01900	90	89	1
OS01G0132000	LPERR01G01920	94	93	1
OS01G0132100	LPERR01G01930	52	65	0
OS01G0132200	LPERR01G01940	74	76	1
OS01G0132400	LPERR01G01950	58	61	1
OS01G0132700	LPERR01G01970	89	87	1
OS01G0132766	LPERR01G01980	57	57	1
OS01G0132800	LPERR01G01990	84	84	1
OS01G0133100	LPERR01G02010	75	55	1
OS01G0133200	LPERR01G02020	83	87	1
OS01G0133400	LPERR01G02030	94	49	1
OS01G0133600	LPERR01G02040	76	76	1
OS01G0133600	LPERR01G02050	67	72	1
OS01G0133700	LPERR01G02040	82	43	1
OS01G0133700	LPERR01G02050	81	46	1
OS01G0134200	LPERR09G03710	4	10	1
OS01G0134500	LPERR01G02070	91	90	1
OS01G0134700	LPERR01G02090	87	87	1
OS01G0134800	LPERR01G02100	79	27	1
OS01G0135700	LPERR01G02110	86	88	1
OS01G0135800	LPERR01G02130	85	86	1
OS01G0136000	LPERR01G02140	95	94	0
OS01G0136000	LPERR01G02150	93	92	0
OS01G0136100	LPERR01G02140	93	92	0
OS01G0136100	LPERR01G02150	100	100	0
OS01G0136200	LPERR01G02140	92	91	0
OS01G0136200	LPERR01G02150	99	99	0
OS01G0136300	LPERR01G02160	67	70	1
OS01G0136400	LPERR01G02180	62	32	1
OS01G0136450	LPERR01G02220	37	39	0
OS01G0136500	LPERR01G02230	43	50	1
OS01G0136800	LPERR01G02190	68	69	1
OS01G0136900	LPERR01G02210	88	31	1
OS01G0137200	LPERR01G02220	34	39	0
OS01G0137950	LPERR01G02240	62	25	1
OS01G0138300	LPERR01G02240	50	68	1
OS01G0138400	LPERR01G02250	73	76	1
OS01G0138500	LPERR01G02260	67	71	1
OS01G0138600	LPERR01G10290	63	39	1
OS01G0138800	LPERR01G02270	86	85	1
OS01G0138900	LPERR01G02280	80	83	1
OS01G0139000	LPERR01G02290	88	88	1
OS01G0139200	LPERR01G02300	93	94	1
OS01G0139600	LPERR01G02310	68	82	1
OS01G0140100	LPERR01G02330	84	84	1
OS01G0140400	LPERR01G02340	94	84	1
OS01G0140500	LPERR01G02350	57	49	1
OS01G0140700	LPERR01G02360	68	70	1
OS01G0141000	LPERR01G02380	71	74	1
OS01G0141100	LPERR01G02390	98	69	1
OS01G0141600	LPERR01G02400	71	48	1
OS01G0141700	LPERR01G02410	87	88	1
OS01G0141900	LPERR01G02420	90	90	1
OS01G0142100	LPERR01G02440	80	78	1
OS01G0142300	LPERR01G02450	96	66	1
