A0A0P0X5U4	Ensembl:ONIVA01G09020
A2X747	Ensembl:ONIVA02G26710
A2XPN8	Ensembl:ONIVA04G00550
A2Y626	Ensembl:ONIVA05G22030
A2Y8A8	Ensembl:ONIVA06G00270
A2ZRY8	Ensembl:ONIVA01G14200
A2ZW27	Ensembl:ONIVA01G28130
A2ZWY7	Ensembl:ONIVA01G31770
A3AAR2	Ensembl:ONIVA02G33080
A3AC56	Ensembl:ONIVA02G37560
A3B9A0	Ensembl:ONIVA06G07160
A3BJI6	Ensembl:ONIVA01G10500
A3BZ14	Ensembl:ONIVA09G10690
A3C4N5	Ensembl:ONIVA10G09040
A3C6G9	Ensembl:ONIVA10G17260
A3CDR8	Ensembl:ONIVA11G22310
A4LBC0	Ensembl:ONIVA01G32780
A9CM06	Ensembl:ONIVA02G14760
B1B534	Ensembl:ONIVA10G09540
B7E8M5	Ensembl:ONIVA04G02290
B7EA04	Ensembl:ONIVA04G24210
B7EJ81	Ensembl:ONIVA09G14370
B7EM10	Ensembl:ONIVA09G15490
B7ERE7	Ensembl:ONIVA09G20340
B7F4K3	Ensembl:ONIVA01G17410
B7F7B9	Ensembl:ONIVA02G07410
B7F8P7	Ensembl:ONIVA09G20840
B7FA34	Ensembl:ONIVA05G25910
B7FA90	Ensembl:ONIVA01G24480
B7FA99	Ensembl:ONIVA02G14620
B7FAE9	Ensembl:ONIVA06G15200
B7FAP2	Ensembl:ONIVA01G05820
B8AG62	Ensembl:ONIVA02G00630
B8AHI9	Ensembl:ONIVA08G14260
B8AY22	Ensembl:ONIVA05G16310
B8AZ97	Ensembl:ONIVA05G21180
B8B8K7	Ensembl:ONIVA07G21740
B8BB38	Ensembl:ONIVA08G17750
B8BF84	Ensembl:ONIVA09G08310
B9EUK4	Ensembl:ONIVA01G11220
B9EZJ8	Ensembl:ONIVA01G34190
B9F3B6	Ensembl:ONIVA02G05940
B9F8T8	Ensembl:ONIVA03G21770
B9FDB8	Ensembl:ONIVA04G28380
B9FLB9	Ensembl:ONIVA05G24780
B9FRT6	Ensembl:ONIVA06G05820
B9FYX6	Ensembl:ONIVA08G01860
B9FZ46	Ensembl:ONIVA08G03150
B9G3A7	Ensembl:ONIVA09G07460
B9G4Z8	Ensembl:ONIVA09G20270
B9G6J6	Ensembl:ONIVA04G21470
C7IWB6	Ensembl:ONIVA01G48290
C7IWK8	Ensembl:ONIVA01G39320
C7IXG8	Ensembl:ONIVA01G38830
C7J0P3	Ensembl:ONIVA03G15460
