Gene stable ID	Dioscorea rotundata gene stable ID	%id. target Dioscorea rotundata gene identical to query gene	%id. query gene identical to target Dioscorea rotundata gene
BAC19852	Dr20539	27.6923	57.6923
BAC19853	Dr11036	46.7857	39.577
BAC19853	Dr20866	56.7857	46.7647
BAC19872	Dr20872	43.2	80.597
BAC19874	Dr11038	13.6646	17.2775
BAC19882	Dr11047	37.069	39.8148
BAC19889	Dr14492	82.1577	11.0987
BAC19890	Dr20874	49.6222	25
BAC19891	Dr18085	16.0767	53.4314
BAC19891	Dr18240	36.2832	50.9317
BAC19891	Dr18868	26.9911	76.8908
BAC19891	Dr18876	16.5192	39.576
BAC19892	Dr11048	62.2093	23.3624
BAC19893	Dr11043	62.2896	88.729
BAC19894	Dr20537	13.9908	43.5714
BAC19894	Dr20544	16.2844	40.5714
BAC19899	Dr18075	53.6346	82.4773
CAA33933	Dr11033	31.6176	9.42982
CAA33933	Dr20546	27.9412	46.3415
CAA33935	Dr14892	30.8725	45.5446
CAA33962	Dr07916	60	18.4615
CAA33993	Dr18869	41.8146	58.8889
CAA34000	Dr07506	7.72358	21.8391
CAA34000	Dr07507	32.1138	14.8496
CAA34003	Dr18087	8.63454	53.75
CAA34003	Dr18889	14.257	62.2807
CAA34003	Dr20335	10.241	53.6842
Os01g0100100	Dr08979	55.8405	54.1436
Os01g0100500	Dr07621	52.2901	54.1502
Os01g0100600	Dr07620	38.0282	35.6201
Os01g0100700	Dr03758	39.5	28.8321
Os01g0100700	Dr03992	27	53.4653
Os01g0100700	Dr07919	88	89.7959
Os01g0100700	Dr09945	87	86.1386
Os01g0100700	Dr12679	86	85.1485
Os01g0100700	Dr13389	27.5	77.4648
Os01g0100800	Dr11285	34.8315	29.8795
Os01g0100900	Dr09863	70.872	73.7452
Os01g0101300	Dr09883	69.5332	68.1928
Os01g0101700	Dr09916	43.617	44.3243
Os01g0101700	Dr19867	42.5532	41.6667
Os01g0101800	Dr02501	9.61539	15.2941
Os01g0101800	Dr02502	18.3432	24.8
Os01g0102000	Dr09856	38.447	55.0135
Os01g0102500	Dr08205	49.3976	63.8132
Os01g0102600	Dr09834	35.6877	32.8767
Os01g0102800	Dr08249	69.6838	52.5493
Os01g0103000	Dr21518	75	73.4177
Os01g0103100	Dr09819	64.5215	27.8094
Os01g0103700	Dr09810	30.3571	4.19063
Os01g0103900	Dr08305	49.3724	35.119
Os01g0104000	Dr09798	70.6306	71.9266
Os01g0104100	Dr11977	57.8947	55.8891
Os01g0104400	Dr11979	48.5075	17.5676
Os01g0104500	Dr09181	39.6875	35.5742
Os01g0104600	Dr10771	65.7534	58.1315
Os01g0104800	Dr02126	37.2093	38.4615
Os01g0105700	Dr10009	26.8041	27.7333
Os01g0105900	Dr10028	71.7678	73.7127
Os01g0106200	Dr08225	37.2449	68.8679
Os01g0106200	Dr13153	75.5102	73.6318
Os01g0106200	Dr13965	69.3878	55.7377
Os01g0106700	Dr06945	52.78	43.7331
Os01g0106900	Dr06953	82.6638	83.1915
Os01g0107700	Dr06955	53.0909	50.6944
Os01g0107700	Dr08183	45.4545	48.3559
Os01g0108200	Dr13987	73.8356	68.2279
Os01g0108400	Dr08175	26.2009	32.2581
Os01g0108600	Dr08175	32.1429	38.7097
Os01g0109300	Dr10047	66.3306	62.5475
Os01g0109700	Dr17168	57.7677	53.6039
Os01g0110100	Dr06964	30.0375	55.1724
Os01g0110100	Dr06965	32.5407	77.8443
Os01g0110700	Dr06984	69.8551	71.0914
Os01g0110800	Dr15873	45.7778	26.5806
Os01g0111200	Dr08140	49.5161	50.6601
Os01g0111200	Dr17160	40.4839	33.1572
Os01g0111400	Dr08143	51.7832	55.2511
Os01g0112100	Dr10064	36.9681	35.2792
Os01g0112500	Dr13210	62.0787	59.0909
Os01g0113300	Dr00979	30.6525	55.0409
Os01g0113300	Dr03062	30.6525	57.0621
Os01g0113300	Dr03064	12.5948	40.8867
Os01g0113300	Dr03065	41.8816	40.5882
Os01g0113300	Dr03066	43.7026	40.678
Os01g0113300	Dr03067	31.4112	28.5912
Os01g0113300	Dr08498	38.5432	39.7496
Os01g0113300	Dr15300	43.3991	43.0723
Os01g0113300	Dr15301	37.481	40.228
Os01g0113300	Dr16352	42.1851	44.0571
Os01g0113300	Dr20610	41.8816	39.3162
Os01g0113350	Dr01336	39.7239	31.3939
Os01g0113350	Dr01337	38.6503	29.8225
Os01g0113400	Dr00979	30.4284	56.1308
Os01g0113400	Dr03062	29.9852	57.3446
Os01g0113400	Dr03064	12.8508	42.8571
Os01g0113400	Dr03065	39.8818	39.7059
Os01g0113400	Dr03066	40.4727	38.7006
Os01g0113400	Dr03067	28.5081	26.6575
Os01g0113400	Dr08498	37.3708	39.5931
Os01g0113400	Dr15300	40.9158	41.7169
Os01g0113400	Dr15301	36.9276	40.7166
Os01g0113400	Dr16352	40.9158	43.8986
Os01g0113400	Dr20610	39.7341	38.3191
Os01g0113650	Dr01336	41.0061	32.6061
Os01g0113650	Dr01337	40.2439	31.2426
Os01g0113700	Dr00979	30.073	56.1308
Os01g0113700	Dr03062	29.1971	56.4972
Os01g0113700	Dr03064	12.7007	42.8571
Os01g0113700	Dr03065	40.438	40.7353
Os01g0113700	Dr03066	40.292	38.9831
Os01g0113700	Dr03067	30.219	28.5912
Os01g0113700	Dr08498	37.8102	40.5321
Os01g0113700	Dr15300	42.0438	43.3735
Os01g0113700	Dr15301	36.9343	41.2052
Os01g0113700	Dr16352	40.8759	44.374
Os01g0113700	Dr20610	40	39.0313
Os01g0114100	Dr00979	31.2595	56.1308
Os01g0114100	Dr03062	31.8665	59.322
Os01g0114100	Dr03064	12.5948	40.8867
Os01g0114100	Dr03065	34.5979	33.5294
Os01g0114100	Dr03066	35.9636	33.4746
Os01g0114100	Dr03067	22.7618	20.7182
Os01g0114100	Dr08498	31.7147	32.7074
Os01g0114100	Dr15300	34.9014	34.6386
