Gene stable ID	Oryza longistaminata gene stable ID	%id. target Oryza longistaminata gene identical to query gene	%id. query gene identical to target Oryza longistaminata gene
BAC19854	KN540993.1_FG004	88.8325	86.6337
BAC19904	KN539055.1_FG007	100	87.4317
CAA33972	KN542814.1_FG001	52.7778	99.1304
CAA33973	KN542814.1_FG002	74.6063	98.6979
CAA33993	KN538879.1_FG002	52.2682	95.3237
CAA34004	KN539207.1_FG008	28.7212	100
CAA34007	KN538792.1_FG021	100	100
CAA34013	KN539246.1_FG012	36.2606	92.0863
Os01g0100100	KN541486.1_FG001	96.1538	96.5665
Os01g0100400	KN538826.1_FG007	98.145	43.4004
Os01g0100500	KN538826.1_FG004	99.4275	99.4275
Os01g0100600	KN538826.1_FG013	89.2958	62.0352
Os01g0100800	KN538826.1_FG020	52.809	60.0639
Os01g0100900	KN538826.1_FG024	79.4063	95.3229
Os01g0101150	KN538826.1_FG003	95.1852	71.9216
Os01g0101300	KN538826.1_FG019	94.1032	99.4805
Os01g0101600	KN538826.1_FG014	98.5685	98.5685
Os01g0101800	KN538826.1_FG022	84.6154	80.791
Os01g0101900	KN538826.1_FG001	100	100
Os01g0102000	KN538826.1_FG015	68.5606	98.3696
Os01g0102300	KN538826.1_FG009	89.1051	73.6334
Os01g0102400	KN538826.1_FG018	94.0618	43.8538
Os01g0102700	KN538886.1_FG019	56.5854	60.4167
Os01g0102800	KN538826.1_FG016	64.2312	52.5424
Os01g0102900	KN538826.1_FG010	94.5312	94.5312
Os01g0103000	KN538826.1_FG005	99.1379	99.1379
Os01g0103700	KN538826.1_FG008	58.9286	6.85596
Os01g0103700	KN538826.1_FG053	59.5238	11.3379
Os01g0103800	KN538826.1_FG023	98.2318	98.2318
Os01g0103900	KN538826.1_FG017	59.8326	58.9691
Os01g0104000	KN538826.1_FG002	98.1982	98.9111
Os01g0104100	KN538826.1_FG006	79.4258	96.793
Os01g0104200	KN538826.1_FG011	73.4513	90.8759
Os01g0104400	KN538826.1_FG021	86.5672	84.6715
Os01g0104500	KN538826.1_FG063	95.625	94.7368
Os01g0104600	AMDW01136391.1_FG001	48.5323	90.8425
Os01g0104600	KN538826.1_FG065	45.9883	90.7336
Os01g0104800	KN538826.1_FG049	92.2481	88.2789
Os01g0105400	KN540918.1_FG001	61.3636	21.7742
Os01g0105700	KN538826.1_FG062	73.4536	93.75
Os01g0105800	KN538826.1_FG055	97.1014	83.75
Os01g0105900	KN538826.1_FG052	99.4723	99.4723
Os01g0106200	KN538826.1_FG054	61.7347	99.1803
Os01g0106300	KN546717.1_FG001	53.4591	98.8372
Os01g0106400	AMDW01020000.1_FG001	23.5669	98.6667
Os01g0106400	KN538831.1_FG056	96.4968	96.8051
Os01g0106500	KN538831.1_FG061	96.2617	95.814
Os01g0106600	KN538831.1_FG050	84.589	87.2792
Os01g0106600	KN538831.1_FG055	88.0137	89.8601
Os01g0106600	KN538831.1_FG060	85.274	86.4583
Os01g0106700	KN538831.1_FG053	93.704	84.1101
Os01g0106900	KN538831.1_FG021	98.7315	84.4485
Os01g0107000	KN538831.1_FG011	86.2528	92.399
Os01g0107700	KN538831.1_FG023	93.8182	99.422
Os01g0107900	KN538831.1_FG008	96.9697	93.8272
Os01g0108000	KN538831.1_FG005	94.0633	99.3036
Os01g0108200	KN538831.1_FG010	94.9315	99.7122
Os01g0108400	KN538831.1_FG016	80.3493	93.8775
Os01g0108800	KN538831.1_FG018	84.4156	32.8836
Os01g0109300	KN538831.1_FG009	89.5161	94.2675
Os01g0109500	KN538831.1_FG001	77.1186	96.8085
Os01g0109700	KN538831.1_FG014	98.7179	92.2481
Os01g0109750	KN538831.1_FG019	82.4818	78.4722
Os01g0110100	KN538831.1_FG024	96.8711	94.621
Os01g0110400	KN538831.1_FG020	90.8654	92.8747
Os01g0110500	KN538831.1_FG013	47.5645	99.6997
Os01g0110600	KN538831.1_FG004	92.9961	80.2013
Os01g0110700	AMDW01040739.1_FG001	18.5507	100
Os01g0110700	KN539550.1_FG010	56.9082	99.6616
Os01g0110800	KN539550.1_FG006	80.4444	90.2743
Os01g0111200	KN539550.1_FG009	90	75.8152
Os01g0111400	KN539550.1_FG013	98.0029	81.6885
Os01g0111500	KN539550.1_FG001	55.5932	98.7952
Os01g0111600	KN539550.1_FG004	98.2759	98.2759
Os01g0111700	KN539550.1_FG008	42.2857	85.0575
Os01g0112100	KN539550.1_FG011	47.3404	99.4413
Os01g0112400	KN539550.1_FG007	61.8881	93.6508
Os01g0112500	KN539550.1_FG012	78.3708	91.7763
Os01g0112800	KN539608.1_FG012	98.14	63.0358
Os01g0113150	KN539608.1_FG012	99.2051	43.851
Os01g0113200	KN539608.1_FG006	92.9648	59.4855
Os01g0113300	KN539608.1_FG003	62.0637	99.0315
Os01g0113350	KN539608.1_FG011	75.3067	96.6535
Os01g0113400	KN542686.1_FG002	84.0473	97.099
Os01g0113500	KN542686.1_FG003	72.6415	96.25
Os01g0113650	KN542686.1_FG004	96.0366	96.7742
Os01g0113700	KN539608.1_FG010	83.5036	96.2963
Os01g0113700	KN542686.1_FG001	35.4745	99.5902
