Gene stable ID	Populus trichocarpa gene stable ID	%id. target Populus trichocarpa gene identical to query gene	%id. query gene identical to target Populus trichocarpa gene
BAC19860	POPTR_0011s04570	23.871	43.5294
BAC19862	POPTR_0019s09890	16.0976	50.7692
BAC19871	POPTR_0017s08400	25.1613	59.0909
BAC19875	POPTR_0005s23860	10.9091	67.5
BAC19880	POPTR_0014s16600	35.2239	74.6835
BAC19880	POPTR_0015s02580	12.2388	47.1264
BAC19883	POPTR_0018s01380	31.8182	75.6757
BAC19887	POPTR_0013s13320	55.914	39.6947
BAC19889	POPTR_0005s05970	73.029	9.234
CAA33910	POPTR_0015s10100	13.2597	70.5882
CAA33918	POPTR_0017s08800	38.3721	45.2055
CAA33919	POPTR_0017s08790	26.9231	50.6024
CAA33925	POPTR_0018s05890	29.1971	59.7015
CAA33925	POPTR_0018s08420	36.4963	58.1395
CAA33927	POPTR_0019s02300	35.4839	44
CAA33930	POPTR_0006s25780	45.7944	33.3333
CAA33930	POPTR_0018s00640	46.729	34.965
CAA33931	POPTR_0001s44060	23.5294	71.1111
CAA33932	POPTR_0004s13990	30.8943	53.5211
CAA33932	POPTR_0006s14120	35.7724	66.6667
CAA33933	POPTR_0043s00280	21.3235	43.9394
CAA33937	POPTR_0018s05890	29.1971	59.7015
CAA33937	POPTR_0018s08420	36.4963	58.1395
CAA33942	POPTR_0017s08790	26.9231	50.6024
CAA33954	POPTR_0016s13750	35.8025	40.8451
CAA33961	POPTR_0013s09930	15.625	70.4225
CAA33972	POPTR_0002s17960	17.5926	51.3514
CAA33975	POPTR_0009s01030	86.0465	88.0952
CAA33977	POPTR_0001s18860	22.7907	66.2162
CAA33977	POPTR_0004s05730	20	56.5789
CAA33977	POPTR_0009s01040	25.5814	88.7097
CAA33979	POPTR_0017s07550	0.296736	1.36986
CAA33987	POPTR_0002s10690	4.83871	45.2055
CAA33987	POPTR_0018s08350	7.47801	69.863
CAA33990	POPTR_0010s06340	29.9595	78.7234
CAA34000	POPTR_0018s08070	30.4878	79.7872
CAA34002	POPTR_0007s09890	31.3869	65.1515
CAA34003	POPTR_0013s10800	31.5261	72.3502
CAA34010	POPTR_0104s00240	55.7377	62.963
CAA34013	POPTR_0001s29850	9.91501	38.4615
CAA34013	POPTR_0001s46130	9.91501	46.6667
CAA34013	POPTR_0006s14390	10.4816	52.1127
CAA34013	POPTR_0006s16650	9.06516	44.4444
CAA34013	POPTR_0009s01350	9.91501	32.1101
CAA34013	POPTR_0011s06300	9.34844	41.7722
CAA34013	POPTR_0011s06370	11.3314	45.4545
CAA34013	POPTR_0012s09830	8.78187	47.6923
CAA34013	POPTR_0013s07060	10.7649	51.3514
CAA34013	POPTR_0013s08060	10.1983	54.5455
CAA34013	POPTR_0017s11870	12.7479	41.2844
CAA34013	POPTR_1814s00200	21.2465	86.2069
Os01g0100100	POPTR_0007s01560	42.735	56.6038
Os01g0100100	POPTR_0017s05160	52.4217	53.0259
Os01g0100400	POPTR_0001s00250	62.0573	62.1622
Os01g0100400	POPTR_0003s11220	62.7319	62.8378
Os01g0100400	POPTR_0012s14670	58.8533	58.8533
Os01g0100400	POPTR_0014s17590	66.1046	66.4407
Os01g0100400	POPTR_0015s14780	58.516	58.3193
Os01g0100500	POPTR_0013s08560	45.229	38.5993
Os01g0100600	POPTR_0013s08540	17.1831	61
Os01g0100600	POPTR_0013s08550	14.9296	25.8537
Os01g0100700	POPTR_0006s21210	84	80.7692
Os01g0100700	POPTR_0013s05290	31.5	43.4483
Os01g0100700	POPTR_0016s06310	84	81.1594
Os01g0100800	POPTR_0001s13620	26.9663	28.9157
Os01g0100800	POPTR_0003s16760	27.2472	26.7218
Os01g0100900	POPTR_0001s13580	27.6438	66.5179
Os01g0100900	POPTR_0003s16720	72.5417	72.4074
Os01g0101150	POPTR_0002s23820	42.5926	48.9362
Os01g0101300	POPTR_0015s10740	63.6364	61.6667
Os01g0101600	POPTR_0001s32630	31.7996	65.8898
Os01g0101600	POPTR_0001s32640	10.3272	21.1297
Os01g0101600	POPTR_0017s08510	43.3538	44.6316
Os01g0101700	POPTR_0001s32650	38.8298	37.0558
Os01g0101700	POPTR_0017s08520	37.234	35.7143
Os01g0101800	POPTR_0002s23750	17.8994	13.7813
Os01g0102000	POPTR_0012s10110	55.4924	56.6731
Os01g0102000	POPTR_0015s10980	57.0076	58.2205
Os01g0102300	POPTR_0015s10960	38.1323	45.3704
Os01g0102400	POPTR_0005s15090	9.26366	24.375
Os01g0102500	POPTR_0001s13530	63.5542	60.9827
Os01g0102500	POPTR_0003s16670	63.8554	61.8076
Os01g0102600	POPTR_0017s08970	37.1747	34.965
Os01g0102700	POPTR_0001s33070	43.4146	45.4082
Os01g0102700	POPTR_0017s08890	43.9024	45.9184
Os01g0102800	POPTR_0005s24820	68.7023	52.2388
Os01g0102900	POPTR_0001s13100	45.3125	43.9394
Os01g0102900	POPTR_0003s16190	35.9375	38.0165
Os01g0102900	POPTR_0014s14250	28.9062	29.3651
Os01g0103000	POPTR_0008s01920	74.1379	72.8814
Os01g0103000	POPTR_0010s24890	77.5862	76.2712
Os01g0103100	POPTR_0001s12890	62.8713	56.1947
Os01g0103600	POPTR_0001s12720	46.5753	61.4458
Os01g0103600	POPTR_0003s15880	61.1872	60.9091
Os01g0103700	POPTR_0025s00450	28.5714	3.88036
Os01g0103800	POPTR_0002s00330	43.8114	46.5553
Os01g0103800	POPTR_0005s28120	44.0079	48.59
Os01g0103900	POPTR_0015s12120	42.2594	32.5806
Os01g0104000	POPTR_0001s16030	63.7838	65.0735
Os01g0104100	POPTR_0001s07350	53.8278	61.9835
Os01g0104100	POPTR_0003s18860	54.5455	61.4555
Os01g0104400	POPTR_0013s05100	20.8955	48.6957
Os01g0104500	POPTR_0019s04710	44.375	35.8586
Os01g0104600	POPTR_0013s15750	67.1233	64.717
Os01g0104800	POPTR_0013s12950	36.5891	34.6549
Os01g0104800	POPTR_0013s12960	14.4186	51.0989
Os01g0104900	POPTR_0002s03350	49.5727	52.2523
Os01g0104900	POPTR_0005s25250	49.359	50.8811
Os01g0105700	POPTR_0002s03380	24.2268	22.2222
Os01g0105700	POPTR_0005s12150	21.6495	21.3198
Os01g0105700	POPTR_0005s25240	27.0619	24.4186
Os01g0105700	POPTR_0007s13360	22.4227	21.0145
Os01g0105800	POPTR_0008s02130	68.8406	67.3759
Os01g0105800	POPTR_0010s24530	70.2899	68.7943
Os01g0105900	POPTR_0002s03540	68.8654	70.9239
Os01g0105900	POPTR_0005s25070	69.1293	71.1957
Os01g0106200	POPTR_0002s03560	72.449	73.1959
