Gene stable ID	Solanum tuberosum gene stable ID	% identity	Solanum tuberosum % identity	Orthology confidence [0 low, 1 high]
OS01G0100400	PGSC0003DMG400028883	67	68	1
OS01G0100500	PGSC0003DMG401016935	9	18	1
OS01G0100500	PGSC0003DMG402016935	27	55	1
OS01G0100600	PGSC0003DMG400023471	33	37	1
OS01G0100700	PGSC0003DMG400008351	74	95	0
OS01G0100700	PGSC0003DMG400017812	82	78	0
OS01G0100900	PGSC0003DMG400019810	65	64	1
OS01G0101150	PGSC0003DMG401010181	45	48	1
OS01G0101200	PGSC0003DMG400012412	52	31	1
OS01G0101200	PGSC0003DMG400025041	53	42	1
OS01G0101300	PGSC0003DMG400012114	62	60	1
OS01G0101600	PGSC0003DMG400024356	44	48	0
OS01G0101700	PGSC0003DMG400015755	37	36	0
OS01G0101700	PGSC0003DMG400024357	36	38	0
OS01G0101800	PGSC0003DMG400021869	20	16	1
OS01G0102000	PGSC0003DMG400015265	55	56	1
OS01G0102300	PGSC0003DMG400015264	37	42	1
OS01G0102400	PGSC0003DMG400015177	14	23	0
OS01G0102400	PGSC0003DMG400015260	10	28	0
OS01G0102400	PGSC0003DMG400039636	10	27	0
OS01G0102500	PGSC0003DMG400010801	62	62	1
OS01G0102600	PGSC0003DMG401020240	37	38	1
OS01G0102700	PGSC0003DMG400019852	35	45	0
OS01G0102700	PGSC0003DMG400020198	44	47	0
OS01G0102800	PGSC0003DMG400010292	66	50	1
OS01G0102900	PGSC0003DMG400026417	44	41	1
OS01G0103000	PGSC0003DMG400023399	75	75	0
OS01G0103000	PGSC0003DMG402001984	73	73	0
OS01G0103100	PGSC0003DMG400028026	64	59	0
OS01G0103600	PGSC0003DMG400027684	58	57	1
OS01G0103700	PGSC0003DMG400003329	29	4	1
OS01G0103800	PGSC0003DMG400029308	41	48	1
OS01G0103900	PGSC0003DMG400014227	22	29	0
OS01G0104000	PGSC0003DMG400009417	61	62	1
OS01G0104100	PGSC0003DMG400023670	52	53	1
OS01G0104400	PGSC0003DMG401000859	43	37	0
OS01G0104600	PGSC0003DMG400031459	38	65	1
OS01G0104900	PGSC0003DMG400003747	44	44	1
OS01G0105700	PGSC0003DMG400003609	7	10	1
OS01G0105700	PGSC0003DMG400003746	26	25	1
OS01G0105800	PGSC0003DMG402002701	38	41	0
OS01G0105900	PGSC0003DMG400003693	65	66	1
OS01G0106200	PGSC0003DMG400000734	68	69	1
OS01G0106300	PGSC0003DMG400022577	46	47	1
OS01G0106400	PGSC0003DMG400022577	48	49	1
OS01G0106800	PGSC0003DMG400004861	73	77	0
OS01G0106900	PGSC0003DMG400024503	80	78	1
OS01G0107700	PGSC0003DMG400004769	46	48	1
OS01G0107700	PGSC0003DMG400012501	48	49	1
OS01G0107900	PGSC0003DMG400027093	48	47	1
OS01G0108200	PGSC0003DMG400009892	66	65	0
OS01G0108200	PGSC0003DMG400028869	68	68	0
OS01G0108400	PGSC0003DMG400024597	21	35	0
OS01G0108400	PGSC0003DMG400024598	14	39	0
OS01G0108600	PGSC0003DMG400024597	23	38	0
OS01G0108600	PGSC0003DMG400024598	16	45	0
OS01G0108800	PGSC0003DMG400030993	45	17	1
OS01G0109300	PGSC0003DMG400030991	45	64	0
OS01G0109300	PGSC0003DMG401000497	18	41	0
OS01G0109300	PGSC0003DMG402000497	59	50	0
OS01G0109700	PGSC0003DMG400001397	46	45	0
OS01G0109700	PGSC0003DMG400001398	7	24	0
OS01G0109700	PGSC0003DMG400001399	12	31	0
OS01G0109700	PGSC0003DMG400022606	51	50	0
OS01G0109700	PGSC0003DMG400034534	3	15	0
OS01G0109700	PGSC0003DMG400039730	5	22	0
OS01G0109700	PGSC0003DMG400047007	7	18	0
OS01G0110100	PGSC0003DMG400025127	44	53	1
OS01G0110400	PGSC0003DMG400010900	71	73	0
OS01G0110400	PGSC0003DMG400019748	74	75	0
OS01G0110400	PGSC0003DMG401017380	71	73	0
OS01G0110500	PGSC0003DMG400007455	43	43	1
OS01G0110500	PGSC0003DMG400010093	47	48	1
OS01G0110500	PGSC0003DMG400016012	45	43	1
OS01G0110500	PGSC0003DMG400025102	48	45	1
OS01G0110700	PGSC0003DMG400007466	72	71	1
OS01G0110800	PGSC0003DMG400000819	46	45	1
OS01G0110800	PGSC0003DMG400004056	43	42	1
OS01G0111100	PGSC0003DMG400005701	51	48	0
OS01G0111200	PGSC0003DMG400000802	44	46	0
OS01G0111200	PGSC0003DMG400004074	31	28	0
OS01G0111400	PGSC0003DMG400005619	46	48	1
OS01G0111500	PGSC0003DMG400030650	34	32	1
OS01G0111600	PGSC0003DMG400005654	53	54	1
OS01G0111700	PGSC0003DMG400016702	18	35	1
OS01G0111700	PGSC0003DMG400030645	23	40	1
OS01G0112100	PGSC0003DMG400033071	30	28	1
OS01G0112500	PGSC0003DMG400010393	49	46	1
OS01G0112500	PGSC0003DMG400016679	47	47	1
OS01G0112500	PGSC0003DMG400030649	51	47	1
OS01G0113200	PGSC0003DMG400009078	20	17	0
OS01G0113200	PGSC0003DMG400019721	15	17	0
OS01G0113200	PGSC0003DMG400019725	30	25	0
OS01G0113200	PGSC0003DMG400019726	29	21	0
OS01G0113200	PGSC0003DMG400020016	15	17	0
OS01G0113200	PGSC0003DMG400031486	23	18	0
OS01G0113300	PGSC0003DMG400004553	20	56	0
OS01G0113300	PGSC0003DMG400009114	25	54	0
OS01G0113300	PGSC0003DMG400010484	26	53	0
OS01G0113300	PGSC0003DMG400010701	36	36	0
OS01G0113300	PGSC0003DMG400013884	25	50	0
OS01G0113300	PGSC0003DMG400017728	26	49	0
OS01G0113300	PGSC0003DMG400019566	22	50	0
OS01G0113300	PGSC0003DMG400019720	25	50	0
OS01G0113300	PGSC0003DMG400020898	25	56	0
OS01G0113300	PGSC0003DMG400020899	35	37	0
OS01G0113300	PGSC0003DMG400025598	24	49	0
OS01G0113300	PGSC0003DMG400025600	22	51	0
OS01G0113300	PGSC0003DMG400030291	35	34	0
OS01G0113300	PGSC0003DMG400030292	19	50	0
OS01G0113300	PGSC0003DMG400031485	33	37	0
OS01G0113350	PGSC0003DMG400028461	38	30	0
OS01G0113400	PGSC0003DMG400004553	18	52	0
OS01G0113400	PGSC0003DMG400009114	24	52	0
OS01G0113400	PGSC0003DMG400010484	24	50	0
OS01G0113400	PGSC0003DMG400010701	33	34	0
OS01G0113400	PGSC0003DMG400013884	23	49	0
OS01G0113400	PGSC0003DMG400017728	25	48	0
OS01G0113400	PGSC0003DMG400019566	21	48	0
OS01G0113400	PGSC0003DMG400019720	24	49	0
OS01G0113400	PGSC0003DMG400020898	23	54	0
OS01G0113400	PGSC0003DMG400020899	32	35	0
OS01G0113400	PGSC0003DMG400025598	23	48	0
OS01G0113400	PGSC0003DMG400025600	20	49	0
OS01G0113400	PGSC0003DMG400030291	33	33	0
OS01G0113400	PGSC0003DMG400030292	17	47	0
OS01G0113400	PGSC0003DMG400031485	30	34	0
OS01G0113500	PGSC0003DMG400009078	29	41	0
OS01G0113500	PGSC0003DMG400019721	26	48	0
OS01G0113500	PGSC0003DMG400019725	28	38	0
OS01G0113500	PGSC0003DMG400019726	34	39	0
OS01G0113500	PGSC0003DMG400020016	27	49	0
OS01G0113500	PGSC0003DMG400031486	31	39	0
OS01G0113650	PGSC0003DMG400028461	38	30	0
OS01G0113700	PGSC0003DMG400004553	18	54	0
OS01G0113700	PGSC0003DMG400009114	24	53	0
OS01G0113700	PGSC0003DMG400010484	25	52	0
OS01G0113700	PGSC0003DMG400010701	34	36	0
OS01G0113700	PGSC0003DMG400013884	23	49	0
OS01G0113700	PGSC0003DMG400017728	25	49	0
OS01G0113700	PGSC0003DMG400019566	21	48	0
OS01G0113700	PGSC0003DMG400019720	24	49	0
OS01G0113700	PGSC0003DMG400020898	23	54	0
OS01G0113700	PGSC0003DMG400020899	33	37	0
OS01G0113700	PGSC0003DMG400025598	23	48	0
OS01G0113700	PGSC0003DMG400025600	20	50	0
OS01G0113700	PGSC0003DMG400030291	34	34	0
OS01G0113700	PGSC0003DMG400030292	18	49	0
OS01G0113700	PGSC0003DMG400031485	31	36	0
OS01G0113800	PGSC0003DMG400009078	30	42	0
OS01G0113800	PGSC0003DMG400019721	28	51	0
OS01G0113800	PGSC0003DMG400019725	29	39	0
OS01G0113800	PGSC0003DMG400019726	36	40	0
OS01G0113800	PGSC0003DMG400020016	27	49	0
OS01G0113800	PGSC0003DMG400031486	32	39	0
OS01G0114100	PGSC0003DMG400004553	19	55	0
OS01G0114100	PGSC0003DMG400009114	25	54	0
OS01G0114100	PGSC0003DMG400010484	26	52	0
OS01G0114100	PGSC0003DMG400010701	35	35	0
OS01G0114100	PGSC0003DMG400013884	25	50	0
OS01G0114100	PGSC0003DMG400017728	27	49	0
OS01G0114100	PGSC0003DMG400019566	22	49	0
OS01G0114100	PGSC0003DMG400019720	25	51	0
OS01G0114100	PGSC0003DMG400020898	25	57	0
OS01G0114100	PGSC0003DMG400020899	34	36	0
OS01G0114100	PGSC0003DMG400025598	25	50	0
OS01G0114100	PGSC0003DMG400025600	22	51	0
OS01G0114100	PGSC0003DMG400030291	35	34	0
OS01G0114100	PGSC0003DMG400030292	18	49	0
OS01G0114100	PGSC0003DMG400031485	32	36	0
OS01G0114400	PGSC0003DMG400004553	30	45	0
OS01G0114400	PGSC0003DMG400009114	46	51	0
OS01G0114400	PGSC0003DMG400010484	48	50	0
OS01G0114400	PGSC0003DMG400010701	47	24	0
OS01G0114400	PGSC0003DMG400013884	46	48	0
OS01G0114400	PGSC0003DMG400017728	46	44	0
OS01G0114400	PGSC0003DMG400019566	42	49	0
OS01G0114400	PGSC0003DMG400019720	46	47	0
OS01G0114400	PGSC0003DMG400020898	45	53	0
OS01G0114400	PGSC0003DMG400020899	47	25	0
OS01G0114400	PGSC0003DMG400025598	46	47	0
OS01G0114400	PGSC0003DMG400025600	41	50	0
OS01G0114400	PGSC0003DMG400030291	46	23	0
OS01G0114400	PGSC0003DMG400030292	35	47	0
OS01G0114400	PGSC0003DMG400031485	41	24	0
OS01G0114600	PGSC0003DMG400004553	18	54	0
OS01G0114600	PGSC0003DMG400009114	24	55	0
OS01G0114600	PGSC0003DMG400010484	24	51	0
OS01G0114600	PGSC0003DMG400010701	33	35	0
