Gene stable ID	Amborella trichopoda gene stable ID	%id. target Amborella trichopoda gene identical to query gene	%id. query gene identical to target Amborella trichopoda gene
BAC19853	AMTR_s00130p00119570	47.8571	67
BAC19854	AMTR_s00044p00157000	26.9036	45.2991
BAC19854	AMTR_s04781p00001270	69.0355	75.5556
BAC19863	AMTR_s00003p00271410	36.6667	58.2781
BAC19874	AMTR_s00235p00022600	4.34783	7.63636
BAC19876	AMTR_s05659p00002430	19.6154	44.3478
BAC19880	AMTR_s05271p00004000	19.7015	66
BAC19889	AMTR_s00150p00030620	75.1037	9.84766
BAC19890	AMTR_s00034p00187470	16.3728	61.3208
BAC19891	AMTR_s00003p00173250	19.764	58.0087
BAC19893	AMTR_s04495p00001190	7.23906	21.0784
BAC19893	AMTR_s04495p00005620	34.8485	77.2388
BAC19894	AMTR_s00012p00228710	36.0092	77.7228
BAC19898	AMTR_s00054p00223510	49.4681	69.9248
BAC19898	AMTR_s00093p00170440	22.3404	67.7419
BAC19898	AMTR_s00251p00014530	23.4043	37.2881
BAC19898	AMTR_s00363p00007720	27.6596	71.2329
BAC19898	AMTR_s00370p00007710	23.4043	64.7059
BAC19898	AMTR_s00376p00015470	21.8085	61.194
BAC19899	AMTR_s00002p00257540	25.1473	75.2941
BAC19899	AMTR_s00002p00257550	22.7898	77.3333
CAA33910	AMTR_s01088p00010650	11.8785	82.6923
CAA33918	AMTR_s02071p00004290	81.3953	50
CAA33919	AMTR_s02071p00000020	69.2308	82.4427
CAA33924	AMTR_s00071p00011090	34.7985	76
CAA33924	AMTR_s00543p00002030	45.4212	87.3239
CAA33928	AMTR_s00071p00011090	34.7985	76
CAA33928	AMTR_s00543p00002030	45.4212	87.3239
CAA33932	AMTR_s00585p00011490	84.5528	85.2459
CAA33933	AMTR_s02809p00000680	71.3235	81.5126
CAA33934	AMTR_s00585p00011820	35.1464	66.1417
CAA33942	AMTR_s02071p00000020	69.2308	82.4427
CAA33958	AMTR_s02490p00007250	23.2432	40.566
CAA33961	AMTR_s00334p00011840	89.0625	89.0625
CAA33965	AMTR_s00334p00011530	97.5904	50
CAA33972	AMTR_s00072p00125230	20.8333	56.962
CAA33972	AMTR_s00334p00008040	24.0741	70.2703
CAA33973	AMTR_s00585p00000100	76.7717	88.0361
CAA33980	AMTR_s00585p00011060	63.6364	65.942
CAA33980	AMTR_s03283p00005470	44.0559	67.7419
CAA33986	AMTR_s00626p00011520	33.3953	70.2544
CAA33987	AMTR_s00390p00014170	26.5396	68.5606
CAA33988	AMTR_s00028p00130230	3.04032	31.7241
CAA33989	AMTR_s00102p00108730	35.1695	74.7748
CAA33990	AMTR_s00390p00012910	50.2024	7.15522
CAA33991	AMTR_s00390p00012600	97.5309	97.5309
CAA33993	AMTR_s00390p00012050	80.8679	89.3246
CAA33995	AMTR_s01196p00002960	59.4005	97.9775
CAA33996	AMTR_s00334p00015340	79.0667	94.88
CAA33997	AMTR_s00334p00015220	30.1775	72.8571
CAA33999	AMTR_s00334p00014280	69.8113	31.7143
CAA34000	AMTR_s00102p00107760	51.626	61.9512
CAA34002	AMTR_s00334p00013940	35.0365	64.8649
