A2X747	Ensembl:BGIOSGA008609
A2XPN8	Ensembl:BGIOSGA015713
A2Y626	Ensembl:BGIOSGA020098
A2Y8A8	Ensembl:BGIOSGA022107
A2ZRY8	Ensembl:BGIOSGA003292
A2ZW27	Ensembl:BGIOSGA004125
A2ZWY7	Ensembl:BGIOSGA004276
A3AAR2	Ensembl:BGIOSGA008928
A3AC56	Ensembl:BGIOSGA009181
A3AQC6	Ensembl:BGIOSGA015794
A3BJI6	Ensembl:BGIOSGA025656
A3BTE7	Ensembl:BGIOSGA028718
A3BZ14	Ensembl:BGIOSGA030796
A3C4N5	Ensembl:BGIOSGA040481
A3CDR8	Ensembl:BGIOSGA033582
A4LBC0	Ensembl:BGIOSGA004324
A9CM06	Ensembl:BGIOSGA006624
B1B534	Ensembl:BGIOSGA031911
B7E8M5	Ensembl:BGIOSGA015983
B7EA04	Ensembl:BGIOSGA014361
B7EJ81	Ensembl:BGIOSGA030958
B7EM10	Ensembl:BGIOSGA029533
B7ERE7	Ensembl:BGIOSGA029292
B7F409	Ensembl:BGIOSGA017951
B7F7B9	Ensembl:BGIOSGA007680
B7F8P7	Ensembl:BGIOSGA031313
B7F924	Ensembl:BGIOSGA003614
B7F956	Ensembl:BGIOSGA003051
B7F9K3	Ensembl:BGIOSGA031282
B7FA24	Ensembl:BGIOSGA004637
B7FA34	Ensembl:BGIOSGA017625
B7FA90	Ensembl:BGIOSGA023407
B7FA99	Ensembl:BGIOSGA008025
B7FAE9	Ensembl:BGIOSGA022438
B7FAP2	Ensembl:BGIOSGA002259
B8ACC6	Ensembl:BGIOSGA004085
B8AG62	Ensembl:BGIOSGA007352
B8AHI9	Ensembl:BGIOSGA008178
B8AT82	Ensembl:BGIOSGA016279
B8AY22	Ensembl:BGIOSGA019839
B8AZ97	Ensembl:BGIOSGA017874
B8B8K7	Ensembl:BGIOSGA023902
B8BB38	Ensembl:BGIOSGA026917
B8BF84	Ensembl:BGIOSGA030715
B9EUK4	Ensembl:BGIOSGA003093
B9EZJ8	Ensembl:BGIOSGA004401
B9F8T8	Ensembl:BGIOSGA012793
B9FM98	Ensembl:BGIOSGA037447
