Gene stable ID	Medicago truncatula str. A17 gene stable ID	% identity	Medicago truncatula str. A17 % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	MTR_2g099185	43	45	1
OS01G0100400	MTR_7g051440	68	67	1
OS01G0100500	MTR_7g079510	43	37	1
OS01G0100600	MTR_1g078380	35	37	1
OS01G0100700	MTR_0306s0010	32	73	0
OS01G0100700	MTR_0515s0010	32	73	0
OS01G0100700	MTR_1g054310	86	72	0
OS01G0100700	MTR_7g107380	84	82	0
OS01G0100800	MTR_7g022230	24	23	1
OS01G0100900	MTR_7g022310	70	70	1
OS01G0101150	MTR_7g076020	36	36	0
OS01G0101200	MTR_2g079110	52	31	1
OS01G0101300	MTR_3g074980	62	61	1
OS01G0101600	MTR_8g081640	45	42	0
OS01G0101700	MTR_8g081620	37	36	0
OS01G0101800	MTR_8g083310	19	11	1
OS01G0102000	MTR_3g099120	57	58	1
OS01G0102300	MTR_3g099140	37	44	1
OS01G0102400	MTR_2g023340	13	22	0
OS01G0102500	MTR_7g022390	62	58	1
OS01G0102600	MTR_6g033510	36	33	1
OS01G0102700	MTR_7g083560	45	48	0
OS01G0102800	MTR_1g069755	65	49	1
OS01G0102900	MTR_7g084000	34	31	1
OS01G0103000	MTR_1g090490	76	75	0
OS01G0103100	MTR_7g006540	65	61	0
OS01G0103600	MTR_6g084920	61	58	1
OS01G0103700	MTR_4g078330	13	6	1
OS01G0103800	MTR_1g026560	42	45	1
OS01G0103900	MTR_8g095540	43	32	0
OS01G0104000	MTR_2g043380	61	62	1
OS01G0104100	MTR_3g011510	56	61	1
OS01G0104400	MTR_7g085240	41	30	0
OS01G0104500	MTR_6g032770	39	33	1
OS01G0104500	MTR_7g085260	39	33	1
OS01G0104600	MTR_5g008710	70	67	1
OS01G0104800	MTR_4g087270	35	35	1
OS01G0104900	MTR_3g112180	43	44	1
OS01G0105700	MTR_3g112170	25	21	1
OS01G0105800	MTR_1g060070	68	69	0
OS01G0105900	MTR_3g112040	66	68	1
OS01G0106200	MTR_4g070400	70	70	1
OS01G0106300	MTR_5g020740	49	50	1
OS01G0106300	MTR_5g020760	43	43	1
OS01G0106300	MTR_5g020800	42	42	1
OS01G0106400	MTR_5g020740	54	55	1
OS01G0106400	MTR_5g020760	46	46	1
OS01G0106400	MTR_5g020800	47	46	1
OS01G0106700	MTR_3g077860	46	37	1
OS01G0106800	MTR_2g088570	79	84	0
OS01G0106800	MTR_4g046877	77	83	0
OS01G0106900	MTR_4g106870	81	80	1
OS01G0106900	MTR_8g012565	70	70	1
OS01G0107700	MTR_4g100730	49	50	1
OS01G0107900	MTR_3g078020	48	48	1
OS01G0107900	MTR_4g106950	14	36	1
OS01G0108000	MTR_1g077190	47	48	1
OS01G0108200	MTR_1g026370	47	64	0
OS01G0108200	MTR_1g026380	68	63	0
OS01G0108200	MTR_3g115030	70	70	0
OS01G0108400	MTR_2g013920	23	30	0
OS01G0108400	MTR_2g090425	23	16	0
OS01G0108400	MTR_2g090440	22	23	0
OS01G0108400	MTR_2g090480	21	21	0
OS01G0108400	MTR_2g090500	16	16	0
OS01G0108400	MTR_4g078350	21	24	0
OS01G0108600	MTR_2g013920	25	32	0
OS01G0108600	MTR_2g090425	22	15	0
OS01G0108600	MTR_2g090440	22	23	0
OS01G0108600	MTR_2g090480	21	22	0
OS01G0108600	MTR_2g090500	17	17	0
OS01G0108600	MTR_4g078350	21	23	0
OS01G0108800	MTR_5g034370	41	17	1
OS01G0109300	MTR_5g034420	59	62	0
OS01G0109300	MTR_6g007210	63	67	0
OS01G0109700	MTR_8g062350	3	23	1
OS01G0110100	MTR_8g069955	59	60	1
OS01G0110400	MTR_0449s0040	61	73	0
OS01G0110400	MTR_4g134090	75	75	0
OS01G0110400	MTR_5g098310	72	74	0
OS01G0110500	MTR_0194s0030	45	47	1
OS01G0110500	MTR_7g018890	47	44	1
OS01G0110700	MTR_0002s0890	69	68	1
OS01G0110700	MTR_1g094000	26	78	1
OS01G0110700	MTR_1g094010	37	60	1
OS01G0110700	MTR_7g060030	9	46	1
OS01G0110800	MTR_1g093900	45	39	1
OS01G0111100	MTR_4g111720	52	48	0
