Gene stable ID	Oryza meridionalis gene stable ID	% identity	Oryza meridionalis % identity	Orthology confidence [0 low, 1 high]
OS01G0100200	OMERI05G17330	68	48	1
OS01G0100300	OMERI09G10390	47	27	1
OS01G0100800	OMERI05G20720	85	92	0
OS01G0101700	OMERI03G14090	27	30	0
OS01G0101700	OMERI09G06180	28	24	0
OS01G0102400	OMERI01G13210	74	70	0
OS01G0102700	OMERI05G00300	57	61	0
OS01G0103600	OMERI06G17620	26	35	0
OS01G0103700	OMERI01G05980	85	12	0
OS01G0104100	OMERI02G33630	83	97	1
OS01G0104500	OMERI01G15210	78	73	1
OS01G0104600	OMERI01G15220	18	89	1
OS01G0107700	OMERI01G00030	93	92	1
OS01G0107900	OMERI01G00040	99	100	1
OS01G0108200	OMERI01G00050	91	38	1
OS01G0108400	OMERI01G00060	84	89	1
OS01G0108500	OMERI05G14750	30	36	1
OS01G0108600	OMERI01G00100	85	83	1
OS01G0108800	OMERI01G00110	65	29	1
OS01G0109300	OMERI01G00120	99	99	1
OS01G0109700	OMERI01G00130	99	85	1
OS01G0109750	OMERI01G00140	80	74	0
OS01G0110100	OMERI01G00180	23	92	0
OS01G0110400	OMERI01G00190	96	94	1
OS01G0110500	OMERI01G00200	61	99	1
OS01G0110700	OMERI01G00210	96	100	1
OS01G0110800	OMERI01G00220	92	86	1
OS01G0111000	OMERI01G00230	90	70	1
OS01G0111100	OMERI01G00240	96	89	0
OS01G0111200	OMERI01G00250	98	98	0
OS01G0111500	OMERI01G00290	96	97	1
OS01G0111600	OMERI01G00300	98	98	1
OS01G0111700	OMERI01G00310	93	93	1
OS01G0111700	OMERI03G14050	38	38	1
OS01G0111800	OMERI01G00330	87	87	0
OS01G0111900	OMERI01G00340	98	95	1
OS01G0112000	OMERI01G00350	99	98	1
OS01G0112100	OMERI01G00360	96	90	1
OS01G0112400	OMERI01G00390	74	86	1
OS01G0112500	OMERI01G00420	99	99	1
OS01G0112800	OMERI01G00450	70	57	1
OS01G0113150	OMERI01G00450	72	41	1
OS01G0113200	OMERI01G00470	98	31	1
OS01G0113500	OMERI01G00460	97	50	1
OS01G0113650	OMERI01G00480	98	99	1
OS01G0113800	OMERI01G00490	95	95	1
OS01G0113900	OMERI01G00640	25	10	0
OS01G0114700	OMERI01G00610	68	71	0
OS01G0114900	OMERI01G00550	93	42	0
OS01G0115100	OMERI04G08410	2	5	1
OS01G0115500	OMERI01G00500	83	42	1
OS01G0115566	OMERI01G00640	34	8	0
OS01G0115600	OMERI01G00510	99	92	1
OS01G0115700	OMERI01G00520	90	41	1
OS01G0115725	OMERI01G00530	57	89	1
OS01G0115800	OMERI01G00640	31	8	0
OS01G0115900	OMERI01G00580	34	50	0
OS01G0116400	OMERI01G00570	91	98	1
OS01G0116600	OMERI01G00590	41	97	1
OS01G0116800	OMERI01G00600	91	37	0
OS01G0117266	OMERI01G00620	45	23	0
OS01G0117266	OMERI01G00630	51	8	0
OS01G0117900	OMERI01G00660	99	99	0
OS01G0118100	OMERI01G00670	100	59	1
OS01G0118300	OMERI01G00680	99	38	0
OS01G0118600	OMERI01G00690	95	90	1
OS01G0118700	OMERI01G00700	99	99	1
OS01G0119100	OMERI01G00710	97	84	1
OS01G0119500	OMERI01G00720	91	95	1
OS01G0120300	OMERI01G00740	96	54	1
OS01G0120300	OMERI01G00770	96	54	1
OS01G0120400	OMERI01G00750	97	97	1
OS01G0120400	OMERI01G00780	97	97	1
OS01G0120500	OMERI09G01970	16	33	0
OS01G0120600	OMERI01G00790	76	79	0
OS01G0120700	OMERI01G00800	98	98	1
OS01G0120800	OMERI01G00810	91	90	0
OS01G0121000	OMERI01G00820	97	96	1
OS01G0121100	OMERI01G00830	98	99	1
OS01G0121200	OMERI01G00840	29	93	0
OS01G0121300	OMERI01G00850	92	82	1
OS01G0121500	OMERI01G00860	80	60	1
OS01G0121700	OMERI01G00870	99	96	1
OS01G0121800	OMERI01G00880	99	100	1
OS01G0121950	OMERI01G00890	79	45	0
OS01G0122701	OMERI01G00920	54	19	1
OS01G0123700	OMERI01G01000	61	61	0
OS01G0123800	OMERI01G01030	80	80	1
OS01G0123900	OMERI01G01040	86	86	0
OS01G0124000	OMERI01G01050	86	89	0
OS01G0124100	OMERI01G01060	46	59	1
OS01G0124401	OMERI01G01070	96	98	1
OS01G0124650	OMERI01G01100	100	100	1
OS01G0124700	OMERI01G01080	44	46	1
OS01G0124900	OMERI01G01110	90	64	1
OS01G0125000	OMERI01G01120	73	69	0
OS01G0125500	OMERI01G01130	90	77	1
OS01G0125550	OMERI01G01140	85	50	1
OS01G0125600	OMERI01G01150	100	100	1
OS01G0125700	OMERI01G01160	100	100	1
OS01G0125800	OMERI01G01170	100	100	1
OS01G0125900	OMERI01G01180	99	97	1
OS01G0126100	OMERI01G01190	97	98	1
OS01G0126600	OMERI01G01200	100	35	1
OS01G0127000	OMERI01G01240	81	31	1
OS01G0127100	OMERI01G01250	77	82	1
