A2X747	Phytozome_Cs:orange1.1g036315m
A2XPN8	Phytozome_Cs:orange1.1g021558m Phytozome_Cs:orange1.1g012433m Phytozome_Cs:orange1.1g015787m
A2Y626	Phytozome_Cs:orange1.1g010704m
A2Y8A8	Phytozome_Cs:orange1.1g010700m Phytozome_Cs:orange1.1g007735m
A2ZRY8	Phytozome_Cs:orange1.1g035700m
A2ZW27	Phytozome_Cs:orange1.1g007987m Phytozome_Cs:orange1.1g012479m Phytozome_Cs:orange1.1g007951m Phytozome_Cs:orange1.1g013877m Phytozome_Cs:orange1.1g014863m
A2ZWY3	Phytozome_Cs:orange1.1g009299m Phytozome_Cs:orange1.1g008995m
A2ZWY7	Phytozome_Cs:orange1.1g009299m Phytozome_Cs:orange1.1g008995m
A3AAR2	Phytozome_Cs:orange1.1g031789m
A3AQC6	Phytozome_Cs:orange1.1g044294m Phytozome_Cs:orange1.1g037166m
A3AZW5	Phytozome_Cs:orange1.1g016019m Phytozome_Cs:orange1.1g014649m Phytozome_Cs:orange1.1g014608m Phytozome_Cs:orange1.1g014638m
A3B7R7	Phytozome_Cs:orange1.1g012770m
A3B9A0	Phytozome_Cs:orange1.1g002116m Phytozome_Cs:orange1.1g001969m Phytozome_Cs:orange1.1g001931m Phytozome_Cs:orange1.1g003369m Phytozome_Cs:orange1.1g001787m Phytozome_Cs:orange1.1g001821m Phytozome_Cs:orange1.1g003107m Phytozome_Cs:orange1.1g002396m Phytozome_Cs:orange1.1g004300m Phytozome_Cs:orange1.1g002397m Phytozome_Cs:orange1.1g001728m Phytozome_Cs:orange1.1g002119m
A3BI64	Phytozome_Cs:orange1.1g013342m Phytozome_Cs:orange1.1g046167m Phytozome_Cs:orange1.1g012151m Phytozome_Cs:orange1.1g013836m Phytozome_Cs:orange1.1g012678m Phytozome_Cs:orange1.1g012543m Phytozome_Cs:orange1.1g012563m Phytozome_Cs:orange1.1g040486m Phytozome_Cs:orange1.1g016062m Phytozome_Cs:orange1.1g012613m Phytozome_Cs:orange1.1g020179m Phytozome_Cs:orange1.1g014232m Phytozome_Cs:orange1.1g018483m Phytozome_Cs:orange1.1g012735m Phytozome_Cs:orange1.1g012474m
A3BIR7	Phytozome_Cs:orange1.1g041964m Phytozome_Cs:orange1.1g010151m Phytozome_Cs:orange1.1g035623m Phytozome_Cs:orange1.1g010614m Phytozome_Cs:orange1.1g010727m Phytozome_Cs:orange1.1g048482m Phytozome_Cs:orange1.1g041279m Phytozome_Cs:orange1.1g010479m Phytozome_Cs:orange1.1g046490m Phytozome_Cs:orange1.1g035527m Phytozome_Cs:orange1.1g035827m Phytozome_Cs:orange1.1g013651m Phytozome_Cs:orange1.1g046023m Phytozome_Cs:orange1.1g047291m Phytozome_Cs:orange1.1g048583m Phytozome_Cs:orange1.1g046537m Phytozome_Cs:orange1.1g048790m Phytozome_Cs:orange1.1g038171m Phytozome_Cs:orange1.1g010315m Phytozome_Cs:orange1.1g048189m Phytozome_Cs:orange1.1g010661m Phytozome_Cs:orange1.1g037819m Phytozome_Cs:orange1.1g009872m
A3BJI8	Phytozome_Cs:orange1.1g046079m
A3C4N5	Phytozome_Cs:orange1.1g021809m Phytozome_Cs:orange1.1g023226m Phytozome_Cs:orange1.1g021352m Phytozome_Cs:orange1.1g022620m Phytozome_Cs:orange1.1g021077m Phytozome_Cs:orange1.1g021357m
A3C6G9	Phytozome_Cs:orange1.1g031294m Phytozome_Cs:orange1.1g032928m
A4LBC0	Phytozome_Cs:orange1.1g019261m Phytozome_Cs:orange1.1g043432m
B7E8M5	Phytozome_Cs:orange1.1g014311m
B7EA04	Phytozome_Cs:orange1.1g010950m Phytozome_Cs:orange1.1g018126m Phytozome_Cs:orange1.1g018150m Phytozome_Cs:orange1.1g017059m Phytozome_Cs:orange1.1g016006m Phytozome_Cs:orange1.1g011772m Phytozome_Cs:orange1.1g015957m Phytozome_Cs:orange1.1g016922m
B7EJ81	Phytozome_Cs:orange1.1g022171m Phytozome_Cs:orange1.1g019508m Phytozome_Cs:orange1.1g019960m Phytozome_Cs:orange1.1g020282m Phytozome_Cs:orange1.1g019485m Phytozome_Cs:orange1.1g020814m Phytozome_Cs:orange1.1g020774m
B7F4K3	Phytozome_Cs:orange1.1g037495m
B7F7B9	Phytozome_Cs:orange1.1g001557m Phytozome_Cs:orange1.1g001541m Phytozome_Cs:orange1.1g002660m
B7F8T0	Phytozome_Cs:orange1.1g009502m
B7F9K3	Phytozome_Cs:orange1.1g037495m
B7FA34	Phytozome_Cs:orange1.1g043471m
B7FA90	Phytozome_Cs:orange1.1g023367m Phytozome_Cs:orange1.1g020838m Phytozome_Cs:orange1.1g022970m Phytozome_Cs:orange1.1g041070m
B7FA99	Phytozome_Cs:orange1.1g019298m Phytozome_Cs:orange1.1g014936m
B7FAE9	Phytozome_Cs:orange1.1g026028m Phytozome_Cs:orange1.1g026066m Phytozome_Cs:orange1.1g026011m Phytozome_Cs:orange1.1g029204m
B7FAP2	Phytozome_Cs:orange1.1g041902m Phytozome_Cs:orange1.1g036740m
B8AG62	Phytozome_Cs:orange1.1g019218m Phytozome_Cs:orange1.1g014714m Phytozome_Cs:orange1.1g017031m Phytozome_Cs:orange1.1g023775m Phytozome_Cs:orange1.1g025322m Phytozome_Cs:orange1.1g023760m
B8AHI9	Phytozome_Cs:orange1.1g033065m Phytozome_Cs:orange1.1g042754m Phytozome_Cs:orange1.1g033074m Phytozome_Cs:orange1.1g033044m
B8AZ97	Phytozome_Cs:orange1.1g011669m Phytozome_Cs:orange1.1g013235m
B8B8K7	Phytozome_Cs:orange1.1g009517m Phytozome_Cs:orange1.1g013892m
B8BB38	Phytozome_Cs:orange1.1g030406m Phytozome_Cs:orange1.1g026418m
B9EUK4	Phytozome_Cs:orange1.1g006028m Phytozome_Cs:orange1.1g007282m Phytozome_Cs:orange1.1g005368m Phytozome_Cs:orange1.1g005491m Phytozome_Cs:orange1.1g006471m Phytozome_Cs:orange1.1g009328m Phytozome_Cs:orange1.1g005675m Phytozome_Cs:orange1.1g005623m Phytozome_Cs:orange1.1g005575m
B9EXM2	Phytozome_Cs:orange1.1g001014m
B9EZJ8	Phytozome_Cs:orange1.1g016069m Phytozome_Cs:orange1.1g020533m Phytozome_Cs:orange1.1g022626m Phytozome_Cs:orange1.1g039923m Phytozome_Cs:orange1.1g016519m Phytozome_Cs:orange1.1g022090m Phytozome_Cs:orange1.1g025254m Phytozome_Cs:orange1.1g016088m Phytozome_Cs:orange1.1g022182m
B9F3B6	Phytozome_Cs:orange1.1g010482m Phytozome_Cs:orange1.1g009516m Phytozome_Cs:orange1.1g015249m Phytozome_Cs:orange1.1g009618m
B9FDB8	Phytozome_Cs:orange1.1g015182m Phytozome_Cs:orange1.1g015110m Phytozome_Cs:orange1.1g015826m Phytozome_Cs:orange1.1g010547m Phytozome_Cs:orange1.1g013050m Phytozome_Cs:orange1.1g015190m
B9FML1	Phytozome_Cs:orange1.1g010573m Phytozome_Cs:orange1.1g011787m
B9FRT6	Phytozome_Cs:orange1.1g019543m Phytozome_Cs:orange1.1g021783m Phytozome_Cs:orange1.1g016612m Phytozome_Cs:orange1.1g027424m Phytozome_Cs:orange1.1g022194m
B9FYX6	Phytozome_Cs:orange1.1g007392m Phytozome_Cs:orange1.1g005540m Phytozome_Cs:orange1.1g006408m
B9FZ46	Phytozome_Cs:orange1.1g010700m Phytozome_Cs:orange1.1g007735m
B9G3A7	Phytozome_Cs:orange1.1g045882m Phytozome_Cs:orange1.1g002986m Phytozome_Cs:orange1.1g002979m Phytozome_Cs:orange1.1g002977m Phytozome_Cs:orange1.1g002983m Phytozome_Cs:orange1.1g002984m Phytozome_Cs:orange1.1g003999m
C7IYK7	Phytozome_Cs:orange1.1g019298m Phytozome_Cs:orange1.1g014936m
C7J0P3	Phytozome_Cs:orange1.1g012705m Phytozome_Cs:orange1.1g012077m
C7J5F5	Phytozome_Cs:orange1.1g046862m Phytozome_Cs:orange1.1g038655m Phytozome_Cs:orange1.1g039445m
C7J5T9	Phytozome_Cs:orange1.1g046862m Phytozome_Cs:orange1.1g038655m Phytozome_Cs:orange1.1g039445m
E3WF37	Phytozome_Cs:orange1.1g012946m
I1QJ08	Phytozome_Cs:orange1.1g048603m
I1QQP8	Phytozome_Cs:orange1.1g042742m Phytozome_Cs:orange1.1g025826m Phytozome_Cs:orange1.1g030315m Phytozome_Cs:orange1.1g027043m
I3QK18	Phytozome_Cs:orange1.1g003705m Phytozome_Cs:orange1.1g004408m Phytozome_Cs:orange1.1g002059m
O04226	Phytozome_Cs:orange1.1g005074m Phytozome_Cs:orange1.1g006484m Phytozome_Cs:orange1.1g008588m Phytozome_Cs:orange1.1g005047m Phytozome_Cs:orange1.1g004665m Phytozome_Cs:orange1.1g005798m Phytozome_Cs:orange1.1g005062m Phytozome_Cs:orange1.1g005131m Phytozome_Cs:orange1.1g005078m Phytozome_Cs:orange1.1g005079m Phytozome_Cs:orange1.1g005041m
O04882	Phytozome_Cs:orange1.1g025823m Phytozome_Cs:orange1.1g019339m
O22105	Phytozome_Cs:orange1.1g022601m Phytozome_Cs:orange1.1g022527m Phytozome_Cs:orange1.1g019466m Phytozome_Cs:orange1.1g016607m Phytozome_Cs:orange1.1g028137m Phytozome_Cs:orange1.1g016722m Phytozome_Cs:orange1.1g015108m Phytozome_Cs:orange1.1g016621m Phytozome_Cs:orange1.1g015087m
O22567	Phytozome_Cs:orange1.1g008493m Phytozome_Cs:orange1.1g005820m Phytozome_Cs:orange1.1g004923m Phytozome_Cs:orange1.1g009809m
O64422	Phytozome_Cs:orange1.1g015860m Phytozome_Cs:orange1.1g015111m
O64437	Phytozome_Cs:orange1.1g010460m Phytozome_Cs:orange1.1g011047m
O82117	Phytozome_Cs:orange1.1g019028m Phytozome_Cs:orange1.1g017738m Phytozome_Cs:orange1.1g017166m Phytozome_Cs:orange1.1g017819m
O82427	Phytozome_Cs:orange1.1g018194m
