Gene stable ID	Triticum urartu gene stable ID	%id. target Triticum urartu gene identical to query gene	%id. query gene identical to target Triticum urartu gene
BAC19852	TRIUR3_11948	32	65
BAC19853	TRIUR3_00408	62.1429	74.0426
BAC19853	TRIUR3_09864	97.8571	98.2079
BAC19853	TRIUR3_35291	100	100
BAC19854	TRIUR3_30056	85.2792	88.8889
BAC19857	TRIUR3_35392	59.4595	97.7778
BAC19860	TRIUR3_14371	94.8387	95.4545
BAC19860	TRIUR3_20265	92.9032	92.9032
BAC19860	TRIUR3_22854	95.4839	95.4839
BAC19860	TRIUR3_32208	95.4839	95.4839
BAC19860	TRIUR3_33960	47.7419	92.5
BAC19862	TRIUR3_04531	44.878	89.3204
BAC19862	TRIUR3_11145	44.878	90.1961
BAC19862	TRIUR3_22792	48.7805	97.0874
BAC19862	TRIUR3_35450	43.4146	94.6809
BAC19863	TRIUR3_11949	99.1667	99.5816
BAC19863	TRIUR3_11951	90	93.1034
BAC19863	TRIUR3_19595	87.0833	100
BAC19871	TRIUR3_01423	69.6774	90.7563
BAC19871	TRIUR3_14397	70.9677	92.437
BAC19871	TRIUR3_32397	40	98.4127
BAC19874	TRIUR3_24280	15.735	29.0076
BAC19875	TRIUR3_06123	26.6667	86.8421
BAC19875	TRIUR3_07088	26.6667	86.8421
BAC19875	TRIUR3_07293	26.4646	86.1842
BAC19875	TRIUR3_16913	26.6667	86.8421
BAC19875	TRIUR3_26003	25.6566	83.5526
BAC19875	TRIUR3_32297	26.0606	84.8684
BAC19876	TRIUR3_06921	77.6923	93.0876
BAC19876	TRIUR3_22524	91.9231	90.5303
BAC19876	TRIUR3_30570	98.8462	94.8339
BAC19876	TRIUR3_32358	96.1538	92.5926
BAC19880	TRIUR3_30905	67.4627	87.5969
BAC19882	TRIUR3_11224	87.069	99.0196
BAC19887	TRIUR3_02662	64.5161	86.9565
BAC19887	TRIUR3_29938	56.9892	86.8852
BAC19887	TRIUR3_33642	59.1398	90.1639
BAC19888	TRIUR3_13160	86	95.5556
BAC19888	TRIUR3_21492	49	94.2308
BAC19890	TRIUR3_29538	95.2141	91.3043
BAC19890	TRIUR3_33035	79.8489	98.4472
BAC19891	TRIUR3_07294	34.9558	98.3402
BAC19893	TRIUR3_17569	93.266	91.874
BAC19894	TRIUR3_01422	94.7248	94.9425
BAC19894	TRIUR3_14396	97.2477	96.5831
BAC19894	TRIUR3_26755	33.4862	89.0244
BAC19896	TRIUR3_06126	27.8169	64.7541
BAC19896	TRIUR3_06434	26.4085	60.9756
BAC19896	TRIUR3_07617	23.2394	54.0984
BAC19896	TRIUR3_11064	27.1127	62.6016
BAC19896	TRIUR3_15780	27.4648	67.2414
BAC19896	TRIUR3_20784	25.7042	59.3496
BAC19896	TRIUR3_23558	24.6479	51.0949
BAC19896	TRIUR3_25846	8.09859	39.6552
BAC19896	TRIUR3_30523	27.4648	63.4146
BAC19898	TRIUR3_06384	70.2128	52.1739
BAC19899	TRIUR3_34553	64.6365	97.0501
BAC19900	TRIUR3_06920	93.6842	94.1799
BAC19900	TRIUR3_16914	98.4211	98.4211
BAC19900	TRIUR3_26070	97.3684	97.3684
BAC19901	TRIUR3_02620	83.815	88.4146
BAC19901	TRIUR3_08225	79.1908	83.5366
CAA33908	EPlTURG00000010050	96.5909	96.5909
CAA33908	TRIUR3_02237	43.75	95.0617
CAA33908	TRIUR3_08362	43.75	95.0617
CAA33908	TRIUR3_29453	42.6136	92.5926
CAA33909	EPlTURG00000010007	92.6966	91.6667
CAA33909	TRIUR3_08363	62.9213	96.5517
CAA33910	EPlTURG00000010009	96.9613	96.9613
CAA33910	TRIUR3_02236	40.884	95.4839
CAA33910	TRIUR3_07070	40.884	95.4839
CAA33910	TRIUR3_07951	22.3757	89.011
CAA33911	TRIUR3_02235	84.9873	71.2154
CAA33911	TRIUR3_07071	97.4555	97.4555
CAA33911	TRIUR3_22155	98.2188	98.2188
CAA33912	TRIUR3_00158	43.3333	65
CAA33912	TRIUR3_03483	35.5556	57.1429
CAA33915	EPlTURG00000010010	66.1654	61.1111
CAA33918	TRIUR3_02369	60.4651	80
CAA33918	TRIUR3_19517	52.3256	69.2308
CAA33920	TRIUR3_34768	88.4314	96.3675
CAA33921	TRIUR3_06158	21.2851	81.5385
CAA33921	TRIUR3_30500	20.4819	78.4615
CAA33921	TRIUR3_32071	19.2771	88.8889
CAA33923	TRIUR3_00154	72.043	90.5405
CAA33923	TRIUR3_00355	76.3441	97.2603
CAA33923	TRIUR3_00608	63.4409	95.1613
CAA33923	TRIUR3_02283	74.1936	97.1831
CAA33923	TRIUR3_02815	72.043	91.7808
CAA33923	TRIUR3_04455	53.7634	92.5926
CAA33923	TRIUR3_06151	72.043	91.7808
CAA33923	TRIUR3_22662	76.3441	97.2603
CAA33923	TRIUR3_22919	72.043	97.1014
CAA33923	TRIUR3_34099	47.3118	84.6154
CAA33924	EPlTURG00000010048	97.8022	98.1618
CAA33924	TRIUR3_00354	78.3883	86.6397
CAA33924	TRIUR3_00609	87.5458	86.5942
CAA33925	TRIUR3_00367	94.8905	71.8232
CAA33925	TRIUR3_00610	95.6204	72.3757
