Gene stable ID	Hordeum vulgare gene stable ID	% identity	Hordeum vulgare % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	MLOC_38472	55	73	1
OS01G0100400	MLOC_53398	82	78	1
OS01G0100500	MLOC_16448	54	76	1
OS01G0100600	MLOC_44131	55	60	1
OS01G0100700	MLOC_81866	62	96	0
OS01G0100800	MLOC_34498	55	56	1
OS01G0100900	MLOC_60832	71	80	1
OS01G0101150	MLOC_4018	72	78	1
OS01G0101300	MLOC_57377	61	87	1
OS01G0101600	MLOC_5230	68	71	1
OS01G0101700	MLOC_17508	42	69	1
OS01G0101800	MLOC_66417	42	35	1
OS01G0101900	MLOC_66418	65	65	1
OS01G0102000	MLOC_6260	74	73	1
OS01G0102300	MLOC_15777	50	57	1
OS01G0102500	MLOC_37902	53	88	1
OS01G0102600	MLOC_63808	74	72	1
OS01G0102700	MLOC_37196	31	59	0
OS01G0102800	MLOC_66535	41	79	1
OS01G0103600	MLOC_64646	78	79	0
OS01G0103700	MLOC_37161	54	12	1
OS01G0103800	MLOC_11804	74	74	1
OS01G0103800	MLOC_16118	80	75	1
OS01G0103900	MLOC_51485	79	75	1
OS01G0104000	MLOC_57247	83	83	1
OS01G0104100	MLOC_54598	69	77	1
OS01G0104400	MLOC_38039	49	81	1
OS01G0104500	MLOC_5374	40	37	1
OS01G0104500	MLOC_56943	43	37	1
OS01G0104500	MLOC_57427	39	36	1
OS01G0104500	MLOC_58272	44	40	1
OS01G0104500	MLOC_63121	42	37	1
OS01G0104500	MLOC_72737	38	55	1
OS01G0104600	MLOC_64226	51	76	0
OS01G0104800	MLOC_81801	35	50	1
OS01G0104900	MLOC_65187	39	56	1
OS01G0105700	MLOC_57076	29	55	1
OS01G0105800	MLOC_15563	32	96	0
OS01G0105900	MLOC_74713	82	83	1
OS01G0106200	MLOC_15520	38	59	1
OS01G0106300	MLOC_68567	62	64	1
OS01G0106400	MLOC_68567	71	72	1
OS01G0106500	MLOC_34369	30	30	1
OS01G0106700	MLOC_11813	18	82	1
OS01G0106900	MLOC_21379	88	86	0
OS01G0107000	MLOC_60685	61	59	1
OS01G0107700	MLOC_14407	69	63	1
OS01G0107900	MLOC_73243	67	82	1
OS01G0108000	MLOC_26218	11	71	1
OS01G0108200	MLOC_58266	16	84	1
OS01G0108400	MLOC_17549	42	46	1
OS01G0108400	MLOC_3915	45	49	1
OS01G0108400	MLOC_5684	41	39	1
OS01G0108400	MLOC_73706	36	42	1
OS01G0108600	MLOC_21066	35	44	1
OS01G0108600	MLOC_43080	52	50	1
OS01G0108800	MLOC_4298	56	23	1
OS01G0109300	MLOC_52570	81	85	1
OS01G0109700	MLOC_68482	68	68	1
OS01G0109750	MLOC_14318	56	61	1
OS01G0110400	MLOC_62884	85	85	1
OS01G0110500	MLOC_62885	53	79	1
OS01G0110800	MLOC_73427	65	60	1
