Gene stable ID	Solanum lycopersicum str. Heinz 1706 gene stable ID	% identity	Solanum lycopersicum str. Heinz 1706 % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	Solyc03g058470.1	33	41	1
OS01G0100400	Solyc09g055930.2	66	67	1
OS01G0100500	Solyc04g051310.2	46	37	1
OS01G0100600	Solyc05g055830.2	33	37	1
OS01G0100700	Solyc10g078620.1	83	77	0
OS01G0100700	Solyc11g042610.1	83	79	0
OS01G0100800	Solyc05g015820.2	34	33	1
OS01G0100900	Solyc05g015860.2	68	68	1
OS01G0101150	Solyc03g098420.2	47	47	1
OS01G0101200	Solyc07g063040.2	52	32	1
OS01G0101200	Solyc07g063060.1	11	27	1
OS01G0101200	Solyc10g007050.2	52	45	1
OS01G0101300	Solyc08g083260.2	62	59	1
OS01G0101600	Solyc09g092250.2	44	48	0
OS01G0101700	Solyc05g053760.2	36	34	0
OS01G0101700	Solyc09g092260.2	36	38	0
OS01G0101800	Solyc09g092510.2	20	15	1
OS01G0102000	Solyc03g019670.2	55	56	1
OS01G0102300	Solyc03g019660.2	37	42	1
OS01G0102400	Solyc02g021330.1	9	24	0
OS01G0102400	Solyc03g110840.1	10	25	0
OS01G0102400	Solyc03g110850.1	9	24	0
OS01G0102400	Solyc03g111450.1	14	19	0
OS01G0102400	Solyc03g111460.1	14	20	0
OS01G0102400	Solyc03g111470.1	12	19	0
OS01G0102400	Solyc11g016920.1	9	28	0
OS01G0102500	Solyc05g015980.2	62	62	1
OS01G0102600	Solyc02g094420.2	35	38	1
OS01G0102700	Solyc02g094440.2	44	47	0
OS01G0102700	Solyc03g097750.2	34	36	0
OS01G0102800	Solyc09g066480.2	66	50	1
OS01G0102900	Solyc09g092110.2	41	41	1
OS01G0103000	Solyc05g055170.2	75	75	0
OS01G0103000	Solyc11g006500.1	74	74	0
OS01G0103600	Solyc06g082980.2	58	57	1
OS01G0103700	Solyc02g064590.1	8	5	1
OS01G0103700	Solyc02g064600.2	23	4	1
OS01G0103700	Solyc02g064610.2	8	5	1
OS01G0103700	Solyc02g064620.2	23	4	1
OS01G0103800	Solyc12g095780.1	41	48	1
OS01G0103900	Solyc03g117990.1	46	34	0
OS01G0104000	Solyc02g068370.2	61	62	1
OS01G0104100	Solyc10g080520.1	52	54	1
OS01G0104400	Solyc01g010750.2	41	34	0
OS01G0104600	Solyc01g056340.2	70	69	1
OS01G0104800	Solyc11g072320.1	37	34	1
OS01G0104800	Solyc11g072390.1	37	37	1
OS01G0104900	Solyc04g080720.2	44	44	1
OS01G0105700	Solyc02g084880.2	18	20	1
OS01G0105700	Solyc04g080710.2	27	25	1
OS01G0105800	Solyc09g009460.2	43	44	0
OS01G0105900	Solyc04g080580.2	66	66	1
OS01G0106200	Solyc01g109770.2	68	69	1
OS01G0106300	Solyc03g033970.1	44	45	1
OS01G0106400	Solyc03g033970.1	47	47	1
OS01G0106700	Solyc03g112950.2	32	52	1
OS01G0106800	Solyc06g062940.2	73	78	0
OS01G0106800	Solyc12g009120.1	76	83	0
OS01G0106900	Solyc03g114340.2	84	84	1
OS01G0107700	Solyc08g007260.1	21	57	1
OS01G0107700	Solyc08g007310.2	47	49	1
OS01G0107700	Solyc08g078450.2	47	48	1
OS01G0107900	Solyc06g071430.2	48	46	1
OS01G0108000	Solyc02g063050.2	43	50	1
OS01G0108200	Solyc04g082120.2	66	65	0
OS01G0108200	Solyc08g022070.2	68	67	0
OS01G0108400	Solyc03g114230.1	26	33	0
OS01G0108600	Solyc03g114230.1	33	41	0
OS01G0108800	Solyc05g005580.2	45	17	1
OS01G0109300	Solyc02g086900.2	62	66	0
OS01G0109300	Solyc05g005600.1	29	63	0
OS01G0109300	Solyc05g005610.2	18	53	0
OS01G0109700	Solyc02g067570.2	50	49	0
OS01G0109700	Solyc02g087360.2	47	46	0
OS01G0109700	Solyc02g087370.1	4	30	0
OS01G0109700	Solyc02g087380.1	2	23	0
OS01G0109700	Solyc02g087390.1	12	30	0
