Gene stable ID	Arabidopsis thaliana gene stable ID	% identity	Arabidopsis thaliana % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	AT2G43490	45	43	1
OS01G0100100	AT3G59570	43	42	1
OS01G0100400	AT5G48450	62	59	1
OS01G0100500	AT5G16520	44	38	1
OS01G0100700	AT2G37270	85	82	0
OS01G0100700	AT3G11940	83	80	0
OS01G0100800	AT1G24265	28	26	1
OS01G0100800	AT1G24267	29	30	1
OS01G0100900	AT1G27980	68	67	1
OS01G0101150	AT3G02010	47	46	1
OS01G0101200	AT5G53850	53	32	1
OS01G0101300	AT4G24880	60	59	1
OS01G0101600	AT3G23900	44	43	0
OS01G0101700	AT4G13830	38	36	0
OS01G0101800	AT3G23740	17	20	1
OS01G0101800	AT4G14120	7	12	1
OS01G0102000	AT3G48610	57	58	1
OS01G0102300	AT4G24930	37	42	1
OS01G0102400	AT5G38140	10	23	1
OS01G0102500	AT5G13100	58	55	1
OS01G0102600	AT3G26900	32	30	1
OS01G0102700	AT5G14030	42	44	0
OS01G0102800	AT2G18760	65	50	1
OS01G0102900	AT3G26740	36	33	1
OS01G0103000	AT3G10640	73	72	0
OS01G0103000	AT5G04850	70	60	0
OS01G0103100	AT5G13400	63	61	0
OS01G0103600	AT1G20050	57	56	1
OS01G0103700	AT4G20060	22	3	1
OS01G0103800	AT1G76660	41	48	1
OS01G0103900	AT5G07380	45	34	0
OS01G0104000	AT1G52310	60	60	1
OS01G0104100	AT3G54360	52	53	1
OS01G0104400	AT2G39050	37	32	0
OS01G0104500	AT3G04060	40	38	1
OS01G0104500	AT5G18270	40	38	1
OS01G0104600	AT4G10180	67	63	1
OS01G0104800	AT2G43650	33	33	1
OS01G0104800	AT3G28230	11	39	1
OS01G0104900	AT1G27620	47	49	1
OS01G0105700	AT1G27660	27	23	1
OS01G0105800	AT2G16710	66	64	0
OS01G0105800	AT2G36260	57	72	0
OS01G0105900	AT1G19600	65	69	1
OS01G0106200	AT2G21600	66	67	1
OS01G0106200	AT4G39220	68	70	1
OS01G0106700	AT3G48190	45	29	1
OS01G0106800	AT3G42830	72	79	0
OS01G0106800	AT5G20570	79	70	0
OS01G0106900	AT5G62790	83	79	1
OS01G0107700	AT4G16745	45	42	1
OS01G0107900	AT1G27510	45	43	1
OS01G0108000	AT5G08440	39	38	1
OS01G0108000	AT5G23490	42	44	1
OS01G0108000	AT5G23510	18	45	1
OS01G0108200	AT1G20380	68	68	0
OS01G0108200	AT1G76140	71	65	0
OS01G0108400	AT1G10585	23	29	1
OS01G0108400	AT1G10586	23	30	1
OS01G0108600	AT1G10585	23	29	1
OS01G0108600	AT1G10586	24	30	1
OS01G0108800	AT1G23790	44	19	1
OS01G0108800	AT1G70340	42	19	1
OS01G0109300	AT5G40270	60	63	0
OS01G0109300	AT5G40290	57	63	0
OS01G0109700	AT1G27220	2	16	1
OS01G0109700	AT1G27250	2	22	1
OS01G0110100	AT1G68740	60	61	1
OS01G0110400	AT5G47720	72	72	0
OS01G0110400	AT5G48230	72	74	0
OS01G0110500	AT1G26150	47	43	1
OS01G0110500	AT1G68690	45	45	1
OS01G0110500	AT5G38560	48	49	1
OS01G0110700	AT1G68750	69	69	1
