Gene stable ID	Ostreococcus lucimarinus gene stable ID	%id. target Ostreococcus lucimarinus gene identical to query gene	%id. query gene identical to target Ostreococcus lucimarinus gene
BAC19858	OSTLU_33760	20	17.8832
BAC19858	OSTLU_7185	7.34694	16.2896
BAC19858	OSTLU_9555	6.12245	29.1262
CAA33909	OSTLU_18502	23.5955	25.1497
CAA33935	OSTLU_18674	26.1745	38.6139
CAA33952	OSTLU_43520	35.8255	38.9831
CAA33969	OSTLU_29405	46.9697	31.9588
CAA33978	OSTLU_32458	78.75	59.1549
CAA33985	OSTLU_26720	72.4138	19.8113
CAA33993	OSTLU_30441	21.1045	18.9381
Os01g0100100	OSTLU_26794	14.8148	24.5863
Os01g0100700	OSTLU_12674	82	84.5361
Os01g0100900	OSTLU_119543	40.4453	40.9774
Os01g0101300	OSTLU_33010	27.027	30.9859
Os01g0101600	OSTLU_26579	7.77096	34.0807
Os01g0102300	OSTLU_33443	19.4553	29.5858
Os01g0102600	OSTLU_10503	11.1524	17.6471
Os01g0103000	OSTLU_87009	37.931	38.9381
Os01g0104600	OSTLU_16748	23.8748	23.5521
Os01g0105800	OSTLU_9276	46.3768	58.1818
Os01g0105900	OSTLU_18364	22.9551	31.8681
Os01g0106200	OSTLU_7961	48.9796	53.6313
Os01g0106700	OSTLU_51045	7.7269	49.2188
Os01g0106800	OSTLU_119493	38.0952	43.6364
Os01g0106900	OSTLU_31255	60.6765	61.7204
Os01g0107900	OSTLU_89546	25.1994	26.7797
Os01g0109300	OSTLU_39912	37.9032	37.6
Os01g0111100	OSTLU_41204	20.7483	46.5649
Os01g0111200	OSTLU_28052	21.2903	32.4324
Os01g0116600	OSTLU_36881	27.4809	37.422
Os01g0118000	OSTLU_13796	55.6701	64.2857
Os01g0118300	OSTLU_3295	33.4118	38.7978
Os01g0120300	OSTLU_41128	56.927	51.4221
Os01g0120400	OSTLU_41622	34.4697	33.829
Os01g0120600	OSTLU_119689	23.0496	24.6212
Os01g0120800	OSTLU_12762	37.8296	42.7752
Os01g0121700	OSTLU_14894	42.8144	51.4389
Os01g0127300	OSTLU_10147	30.7054	38.6423
Os01g0127900	OSTLU_3605	41.3551	43.4889
Os01g0128300	OSTLU_8856	18.8596	29.4521
Os01g0128300	OSTLU_93971	21.4912	21.1207
Os01g0130000	OSTLU_33926	45.7801	47.3545
Os01g0131800	OSTLU_36742	25	20.4878
Os01g0131800	OSTLU_93629	25	20.4878
Os01g0132800	OSTLU_7303	25.8687	35.4497
Os01g0133400	OSTLU_3240	36.3469	45.814
Os01g0133400	OSTLU_52000	30.4428	35.7143
Os01g0133500	OSTLU_10245	9.5057	17.5439
Os01g0134500	OSTLU_6297	24.8175	36.7568
Os01g0138500	OSTLU_88941	26.2687	31.5412
Os01g0139600	OSTLU_33830	30.0319	35.6061
Os01g0140500	OSTLU_8655	34.1085	33.8462
Os01g0141100	OSTLU_26031	71.6172	49.095
Os01g0141300	OSTLU_26031	51.2552	55.4299
Os01g0142200	OSTLU_33384	24.4186	32.3077
Os01g0142300	OSTLU_43238	11.0092	10.5263
Os01g0142300	OSTLU_43286	11.0092	10.5263
Os01g0142500	OSTLU_8087	29.932	55.6962
Os01g0143100	OSTLU_5951	45.3416	50
Os01g0143300	OSTLU_31802	25	24
Os01g0143700	OSTLU_31802	24.7104	23.2727
Os01g0143800	OSTLU_31802	20.3636	20.3636
Os01g0144100	OSTLU_10537	23.2323	36.8
Os01g0144500	OSTLU_34773	33.1967	22.8169
Os01g0147200	OSTLU_3738	20.2627	39.4161
Os01g0147800	OSTLU_29984	12.766	17.2911
Os01g0147900	OSTLU_24989	61.6601	55.914
Os01g0147900	OSTLU_36521	61.6601	58.6466
Os01g0147900	OSTLU_43602	60.0791	44.9704
Os01g0148400	OSTLU_34162	8.30671	15.5224
Os01g0149600	OSTLU_12804	59.4771	81.25
Os01g0149600	OSTLU_13105	59.4771	81.25
Os01g0150000	OSTLU_49170	54.1936	54.1936
Os01g0150200	OSTLU_13214	33.9367	33.0396
Os01g0150200	OSTLU_29682	33.9367	33.0396
Os01g0150400	OSTLU_13214	17.0616	15.859
Os01g0150400	OSTLU_29682	17.0616	15.859
Os01g0150500	OSTLU_13214	19.0045	18.5022
Os01g0150500	OSTLU_29682	19.0045	18.5022
Os01g0150800	OSTLU_13214	30.6667	30.3965
