A2X747	Ensembl:HORVU6Hr1G056230
A2XPN8	Ensembl:HORVU2Hr1G004890
A2Y626	Ensembl:HORVU0Hr1G031710 Ensembl:HORVU1Hr1G068030
A2Y8A8	Ensembl:HORVU7Hr1G000150
A2ZWY7	Ensembl:HORVU3Hr1G013470
A3AAR2	Ensembl:HORVU6Hr1G070650
A3AC56	Ensembl:HORVU0Hr1G028350 Ensembl:HORVU6Hr1G084190
A3AQC6	Ensembl:HORVU2Hr1G126540
A3B9A0	Ensembl:HORVU7Hr1G033820
A3C6G9	Ensembl:HORVU6Hr1G076880
A4LBC0	Ensembl:HORVU3Hr1G067350
A9CM06	Ensembl:HORVU1Hr1G071260
B7E8M5	Ensembl:HORVU4Hr1G085940
B7EA04	Ensembl:HORVU4Hr1G030830 Ensembl:HORVU2Hr1G099220 Ensembl:HORVU6Hr1G084480 Ensembl:HORVU5Hr1G052910
B7EEU8	Ensembl:HORVU2Hr1G027790
B7EM10	Ensembl:HORVU5Hr1G073630 Ensembl:HORVU5Hr1G073670
B7F4K3	Ensembl:HORVU1Hr1G091090
B7F7B9	Ensembl:HORVU6Hr1G028330
B7F8T0	Ensembl:HORVU7Hr1G115920 Ensembl:HORVU7Hr1G115910
B7F956	Ensembl:HORVU1Hr1G045570 Ensembl:HORVU3Hr1G031020
B7F9K3	Ensembl:HORVU1Hr1G091090
B7FA24	Ensembl:HORVU3Hr1G078760 Ensembl:HORVU6Hr1G002700
B7FA34	Ensembl:HORVU1Hr1G078350
B7FA90	Ensembl:HORVU7Hr1G110990 Ensembl:HORVU2Hr1G117600
B7FA99	Ensembl:HORVU6Hr1G081670
B7FAE9	Ensembl:HORVU7Hr1G030810
B7FAP2	Ensembl:HORVU3Hr1G021810
B8ACC6	Ensembl:HORVU3Hr1G057000
B8AHI9	Ensembl:HORVU2Hr1G066400
B8AZ97	Ensembl:HORVU1Hr1G070220
B8B8K7	Ensembl:HORVU2Hr1G030820
B8BF84	Ensembl:HORVU5Hr1G033940 Ensembl:HORVU5Hr1G060460
B9EUK4	Ensembl:HORVU3Hr1G032230
B9EZJ8	Ensembl:HORVU3Hr1G069580
B9F3B6	Ensembl:HORVU6Hr1G031480
B9FLB9	Ensembl:HORVU1Hr1G080320
B9FRT6	Ensembl:HORVU7Hr1G028540
B9FYX6	Ensembl:HORVU7Hr1G073610
B9FZ46	Ensembl:HORVU7Hr1G071750
B9G4Z8	Ensembl:HORVU5Hr1G087880
B9G6J6	Ensembl:HORVU1Hr1G046690
C7IWK8	Ensembl:HORVU3Hr1G079010
C7J0P3	Ensembl:HORVU4Hr1G054020
C7J5F5	Ensembl:HORVU7Hr1G020190 Ensembl:HORVU7Hr1G117880
C7J6Z0	Ensembl:HORVU5Hr1G057050
D5A7I6	Ensembl:HORVU4Hr1G026680
D5A7J1	Ensembl:HORVU1Hr1G072970 Ensembl:HORVU1Hr1G091030
H6TFZ4	Ensembl:HORVU7Hr1G120520
I1QQP8	Ensembl:HORVU5Hr1G081790
I3QK18	Ensembl:HORVU4Hr1G011260
O04226	Ensembl:HORVU1Hr1G072780
O04882	Ensembl:HORVU3Hr1G065960
O22105	Ensembl:HORVU5Hr1G109300
O22567	Ensembl:HORVU1Hr1G060610
O24174	Ensembl:HORVU2Hr1G080970
O64422	Ensembl:HORVU4Hr1G060630
O64437	Ensembl:HORVU4Hr1G071730
O82427	Ensembl:HORVU1Hr1G052620 Ensembl:HORVU4Hr1G080780
P0C128	Ensembl:HORVU7Hr1G077110
P0C129	Ensembl:HORVU4Hr1G016160
P0C132	Ensembl:HORVU5Hr1G014300
