Gene stable ID	Gossypium raimondii gene stable ID	%id. target Gossypium raimondii gene identical to query gene	%id. query gene identical to target Gossypium raimondii gene
BAC19852	B456_001G164200	36.3077	78.6667
BAC19852	B456_013G212700	32.3077	77.7778
BAC19853	B456_001G162400	86.0714	73.7003
BAC19853	B456_013G213200	68.2143	82.3276
BAC19854	B456_001G167400	76.6497	77.8351
BAC19857	B456_001G165300	60.8108	28.481
BAC19860	B456_001G164500	62.5806	75.7812
BAC19862	B456_001G168000	88.2927	85.782
BAC19863	B456_001G165900	89.1667	75.0877
BAC19865	B456_001G166700	71.0037	30.0314
BAC19867	B456_013G137600	22.2222	46.3768
BAC19875	B456_001G166300	55.1515	47.8109
BAC19876	B456_001G161700	81.9231	52.3342
BAC19880	B456_001G160500	54.0299	59.1503
BAC19883	B456_001G161800	51.1364	54.7112
BAC19887	B456_005G267300	55.914	34.2105
BAC19888	B456_001G160700	79	62.6984
BAC19889	B456_011G119900	71.7842	9.02452
BAC19889	B456_011G120300	73.8589	9.26119
BAC19890	B456_001G162000	92.1914	93.3673
BAC19891	B456_005G104100	37.7581	81.0127
BAC19892	B456_011G233600	56.9767	40.4959
BAC19899	B456_013G213000	91.5521	91.1937
CAA33908	B456_005G189900	36.3636	68.0851
CAA33908	B456_013G109900	42.0455	74.7475
CAA33909	B456_002G166200	37.6404	55.8333
CAA33910	B456_003G091000	30.9392	58.0311
CAA33910	B456_005G106600	34.5304	72.6744
CAA33910	B456_007G369400	18.5083	62.6168
CAA33910	B456_009G3952002	37.0166	59.5556
CAA33910	B456_009G398900	19.0608	62.7273
CAA33911	B456_009G313900	21.6285	85.8586
CAA33911	B456_011G083800	17.3028	56.1983
CAA33912	B456_006G055100	61.1111	34.8101
CAA33912	B456_011G221100	51.1111	35.3846
CAA33912	B456_013G128500	54.4444	62.0253
CAA33917	B456_009G264200	33.8028	57.1429
CAA33918	B456_004G116100	36.0465	30.3922
CAA33918	B456_005G077900	61.6279	29.7753
CAA33918	B456_005G100800	77.907	49.6296
CAA33918	B456_005G170800	62.7907	41.2214
CAA33918	B456_008G017300	45.3488	39.7959
CAA33918	B456_011G198300	62.7907	35.7616
CAA33918	B456_011G203400	76.7442	47.8261
CAA33918	B456_011G282800	52.3256	36.8852
CAA33918	B456_012G049000	66.2791	46.3415
CAA33919	B456_001G269800	41.0256	80
CAA33923	B456_007G229500	77.4194	77.4194
CAA33924	B456_001G079400	47.2527	70.1087
CAA33924	B456_001G213100	42.1245	48.7288
CAA33924	B456_002G165900	36.2637	57.8947
CAA33924	B456_002G169400	42.8571	82.3944
CAA33924	B456_005G159000	29.304	57.1429
CAA33924	B456_005G190100	20.8791	77.027
CAA33924	B456_007G372600	45.4212	87.3239
CAA33925	B456_002G146700	64.9635	65.9259
CAA33925	B456_005G093900	62.7737	75.4386
CAA33925	B456_007G083900	51.0949	77.7778
CAA33925	B456_011G182500	48.9051	72.043
CAA33925	B456_012G032000	41.6058	78.0822
CAA33927	B456_004G123300	50.5376	58.75
CAA33927	B456_005G167500	41.9355	57.3529
CAA33928	B456_001G079400	47.2527	70.1087
CAA33928	B456_001G213100	42.1245	48.7288
CAA33928	B456_002G165900	36.2637	57.8947
CAA33928	B456_002G169400	42.8571	82.3944
CAA33928	B456_005G159000	29.304	57.1429
CAA33928	B456_005G190100	20.8791	77.027
CAA33928	B456_007G372600	45.4212	87.3239
