Gene stable ID	Corchorus capsularis gene stable ID	%id. target Corchorus capsularis gene identical to query gene	%id. query gene identical to target Corchorus capsularis gene
BAC19857	CCACVL1_02259	86.4865	86.4865
BAC19857	CCACVL1_02958	86.4865	86.4865
BAC19857	CCACVL1_02961	86.4865	86.4865
BAC19858	CCACVL1_12538	36.5306	11.0562
BAC19889	CCACVL1_25939	70.9544	8.85552
BAC19892	CCACVL1_06753	32.5581	35
CAA33911	CCACVL1_00938	7.63359	50.8475
CAA33932	CCACVL1_00731	85.3659	86.0656
CAA33932	CCACVL1_00789	85.3659	86.0656
CAA33932	CCACVL1_00804	40.6504	87.7193
CAA33932	CCACVL1_00987	40.6504	87.7193
CAA33932	CCACVL1_01345	71.5447	85.4369
CAA33932	CCACVL1_01360	79.6748	85.2174
CAA33969	CCACVL1_01365	33.3333	59.4595
CAA33979	CCACVL1_00914	32.0475	63.1579
CAA33980	CCACVL1_00507	50.3497	59.5041
CAA33980	CCACVL1_00710	61.5385	66.1654
CAA33980	CCACVL1_00933	50.3497	59.5041
CAA33980	CCACVL1_01274	50.3497	59.5041
CAA33980	CCACVL1_01300	19.5804	50
CAA33986	CCACVL1_00754	10.9767	71.5152
CAA33986	CCACVL1_00919	10.9767	78.6667
CAA33986	CCACVL1_00926	12.9302	75.9563
CAA33987	CCACVL1_01075	41.2023	77.1978
CAA33988	CCACVL1_00644	4.89094	91.358
CAA33988	CCACVL1_01302	5.55188	84
CAA33988	CCACVL1_01344	5.08923	89.5349
CAA33989	CCACVL1_00712	16.1017	71.6981
CAA33989	CCACVL1_00846	7.62712	75
CAA33989	CCACVL1_00946	75.8475	76.1702
CAA33989	CCACVL1_01227	78.3898	78.3898
CAA33989	CCACVL1_13137	32.6271	53.1034
CAA33990	CCACVL1_02898	16.5992	70.6897
CAA33993	CCACVL1_00905	29.783	97.4194
CAA33998	CCACVL1_00968	14.9254	52.6316
CAA34000	CCACVL1_20925	28.4553	33.0189
CAA34004	CCACVL1_00666	33.3333	94.0828
CAA34004	CCACVL1_00959	59.7484	93.75
CAA34004	CCACVL1_03269	33.3333	94.0828
CAA34004	CCACVL1_03310	33.3333	94.0828
CAA34007	CCACVL1_01139	98.3003	98.5795
CAA34013	CCACVL1_03030	63.1728	39.6092
Os01g0100100	CCACVL1_07405	50.8547	54.5872
Os01g0100400	CCACVL1_02868	64.2496	64.5763
Os01g0100400	CCACVL1_05706	57.1669	57.3604
Os01g0100500	CCACVL1_06733	44.6565	36.5055
Os01g0100600	CCACVL1_06734	37.1831	29.7297
Os01g0100700	CCACVL1_29533	87.5	84.5411
Os01g0100800	CCACVL1_24067	19.6629	24.2215
Os01g0100900	CCACVL1_05340	73.4694	73.0627
Os01g0101300	CCACVL1_11008	62.8993	60.3774
Os01g0101300	CCACVL1_15879	60.9337	58.3529
Os01g0101600	CCACVL1_04410	43.2515	46.0784
Os01g0101700	CCACVL1_04411	40.4255	40.2116
Os01g0101700	CCACVL1_21330	34.5745	28.0172
Os01g0101800	CCACVL1_29597	19.3787	15.6325
Os01g0102000	CCACVL1_10958	7.95455	43.299
Os01g0102000	CCACVL1_10985	57.7652	58.6538
Os01g0102300	CCACVL1_10987	33.8521	49.4318
Os01g0102400	CCACVL1_13071	9.73872	18.3036
Os01g0102500	CCACVL1_19553	5.42169	60
Os01g0102500	CCACVL1_26677	62.9518	60.7558
Os01g0102600	CCACVL1_10160	35.316	31.8792
Os01g0102700	CCACVL1_10146	47.8049	50.2564
Os01g0102800	CCACVL1_02589	69.4657	51.7465
Os01g0102900	CCACVL1_10115	33.5938	37.7193
Os01g0103000	CCACVL1_08544	75.431	74.1525
Os01g0103100	CCACVL1_08790	64.5215	61.6719
Os01g0103600	CCACVL1_08116	51.1416	53.0806
Os01g0103600	CCACVL1_21756	57.0776	56.0538
Os01g0103700	CCACVL1_13200	23.2143	2.67123
Os01g0103800	CCACVL1_13178	45.1866	48.4211
Os01g0103900	CCACVL1_05829	48.3264	35.2672
Os01g0104000	CCACVL1_13198	49.3694	60.8889
Os01g0104100	CCACVL1_27298	54.067	61.7486
Os01g0104500	CCACVL1_00708	42.5	34
Os01g0104800	CCACVL1_01477	28.3721	41.3093
Os01g0104900	CCACVL1_08960	49.359	50.4367
Os01g0105700	CCACVL1_08958	27.5773	25
Os01g0105700	CCACVL1_26125	19.3299	20.7182
Os01g0105800	CCACVL1_12036	68.8406	67.8571
Os01g0105900	CCACVL1_08937	65.4354	67.3913
Os01g0106200	CCACVL1_08935	31.6327	38.5093
Os01g0106200	CCACVL1_16819	31.6327	68.8889
Os01g0106200	CCACVL1_26149	38.2653	63.0252
Os01g0106700	CCACVL1_06941	6.13246	57.2519
Os01g0106700	CCACVL1_12414	29.722	63.8279
Os01g0106900	CCACVL1_12407	83.0867	82.3899
Os01g0107900	CCACVL1_12390	49.2823	47.2477
Os01g0108000	CCACVL1_29450	47.4934	30.4569
Os01g0108200	CCACVL1_02647	72.0548	66.7513
Os01g0108200	CCACVL1_02648	64.1096	67.2414
Os01g0108400	CCACVL1_12387	20.0873	28.0488
Os01g0108600	CCACVL1_12387	29.0179	39.6341
Os01g0109300	CCACVL1_12800	58.6694	70.6311
Os01g0109700	CCACVL1_01684	5.05279	39.1813
Os01g0109700	CCACVL1_04808	51.7345	41.9572
Os01g0109700	CCACVL1_25861	20.8899	49.9099
Os01g0109700	CCACVL1_25862	13.8009	37.8882
Os01g0110100	CCACVL1_11592	60.5757	57.9641
Os01g0110400	CCACVL1_03179	74.2788	75.9214
Os01g0110700	CCACVL1_07490	73.913	74.1279
