Gene stable ID	Nicotiana attenuata str. UT gene stable ID	%id. target Nicotiana attenuata str. UT gene identical to query gene	%id. query gene identical to target Nicotiana attenuata str. UT gene
BAC19854	A4A49_59846	71.5736	71.2121
BAC19871	A4A49_26499	69.0323	90.678
BAC19871	A4A49_60360	69.0323	90.678
BAC19892	A4A49_52166	33.7209	51.3274
BAC19900	A4A49_64845	37.3684	97.2603
CAA34000	A4A49_06086	29.2683	33.8028
CAA34000	A4A49_58113	30.0813	34.9057
CAA34003	A4A49_59142	86.3454	90.7173
CAA34004	A4A49_52846	33.9623	30
Os01g0100400	A4A49_13752	61.3828	61.4865
Os01g0100400	A4A49_38518	67.7909	67.563
Os01g0100600	A4A49_36655	33.2394	37.8205
Os01g0100700	A4A49_04231	84	80.3828
Os01g0100700	A4A49_05175	70	72.5389
Os01g0100700	A4A49_12438	29	33.9181
Os01g0100700	A4A49_24066	70	89.7436
Os01g0100700	A4A49_32625	60.5	82.3129
Os01g0100700	A4A49_35794	83.5	79.5238
Os01g0100900	A4A49_05213	71.4286	71.5613
Os01g0101150	A4A49_04195	48.1481	47.7941
Os01g0101300	A4A49_09485	63.145	59.4907
Os01g0101600	A4A49_34404	41.2065	41.6322
Os01g0101700	A4A49_29818	37.766	35.8586
Os01g0101700	A4A49_29821	37.234	36.0825
Os01g0101700	A4A49_34402	36.1702	37.7778
Os01g0101800	A4A49_19343	18.6391	14.6172
Os01g0102000	A4A49_18524	54.9242	55.7692
Os01g0102300	A4A49_10499	36.5759	40.1709
Os01g0102400	A4A49_40734	11.8765	14.5349
Os01g0102500	A4A49_32334	61.747	59.4203
Os01g0102500	A4A49_38306	10.8434	42.8571
Os01g0102600	A4A49_07717	36.0595	34.6429
Os01g0102700	A4A49_19832	33.1707	35.7895
Os01g0102700	A4A49_38817	31.7073	47.1014
Os01g0102800	A4A49_22090	69.7928	52.9363
Os01g0103000	A4A49_12706	73.7069	72.766
Os01g0103100	A4A49_15617	62.7063	58.2822
Os01g0103600	A4A49_31897	56.1644	55.6561
Os01g0103700	A4A49_34267	11.3095	2.69504
Os01g0103700	A4A49_38727	21.4286	6.34921
Os01g0103900	A4A49_17006	46.8619	34.7287
Os01g0104000	A4A49_13094	61.6216	61.9565
Os01g0104100	A4A49_41181	53.11	54.2787
Os01g0104500	A4A49_30240	41.5625	36.7403
Os01g0104600	A4A49_02437	68.2975	66.6031
Os01g0104800	A4A49_25194	38.1395	37.5573
Os01g0104900	A4A49_00319	45.9402	47.046
Os01g0105700	A4A49_25648	20.8763	21.8919
Os01g0105800	A4A49_02204	69.5652	72.1805
Os01g0105900	A4A49_12780	65.9631	67.9348
Os01g0106200	A4A49_00770	70.4082	71.5026
Os01g0106200	A4A49_07364	57.6531	60.7527
Os01g0106200	A4A49_18856	69.3878	70.1031
Os01g0106200	A4A49_20580	69.898	71.7277
Os01g0106200	A4A49_53302	54.5918	50.9524
Os01g0106200	A4A49_57303	34.6939	59.1304
Os01g0107700	A4A49_26532	48.1818	50.2846
Os01g0107900	A4A49_35394	48.0064	46.379
Os01g0108000	A4A49_08948	47.3615	47.3615
Os01g0108200	A4A49_25601	70.411	64.01
Os01g0108200	A4A49_43536	28.2192	62.4242
Os01g0108800	A4A49_30420	53.6797	20.7012
Os01g0109300	A4A49_03969	62.7016	66.1702
Os01g0109700	A4A49_11369	52.4887	51.5556
Os01g0110400	A4A49_22037	71.3942	73.5149
Os01g0110700	A4A49_00587	75.8454	74.9761
Os01g0110800	A4A49_38596	50.6667	47.8992
Os01g0110800	A4A49_39200	46.6667	44.1176
Os01g0111100	A4A49_21852	47.9592	43.7888
Os01g0111200	A4A49_21850	32.5806	31.221
Os01g0111200	A4A49_34763	45.4839	47.0785
Os01g0111200	A4A49_39201	33.7097	31.6667
Os01g0111500	A4A49_31288	33.8983	30.03
Os01g0111700	A4A49_65198	22.2857	37.1429
Os01g0112400	A4A49_02413	30.7692	30.2405
Os01g0112500	A4A49_39733	60.6742	55.6701
Os01g0112500	A4A49_41486	55.618	55
Os01g0113300	A4A49_09900	27.6176	48.7936
Os01g0113300	A4A49_11810	25.4932	42.9668
Os01g0113300	A4A49_15243	35.8118	36.9906
Os01g0113300	A4A49_15244	35.3566	36.2364
Os01g0113300	A4A49_15245	24.7344	22.7654
Os01g0113350	A4A49_30972	37.7301	29.1124
Os01g0113400	A4A49_09900	25.997	47.185
Os01g0113400	A4A49_11810	24.0768	41.688
Os01g0113400	A4A49_15243	32.7917	34.7962
Os01g0113400	A4A49_15244	31.9055	33.5925
Os01g0113400	A4A49_15245	23.6337	22.3464
Os01g0113650	A4A49_30972	37.5	29.1124
Os01g0113700	A4A49_09900	26.1314	47.9893
Os01g0113700	A4A49_11810	24.6715	43.2225
Os01g0113700	A4A49_15243	34.0146	36.5204
Os01g0113700	A4A49_15244	32.9927	35.1477
