A0A0P0X5U4	Jaiswal:PITA_000087673-RA
A2X747	Jaiswal:PITA_000026379-RA Jaiswal:PITA_000081575-RA Jaiswal:PITA_000011290-RA Jaiswal:PITA_000038868-RA Jaiswal:PITA_000060600-RA Jaiswal:PITA_000011287-RA
A2XPN8	Jaiswal:PITA_000015865-RA
A2Y626	Jaiswal:PITA_000029785-RA
A2ZW27	Jaiswal:PITA_000003787-RA
A2ZWY3	Jaiswal:PITA_000025276-RA
A2ZWY7	Jaiswal:PITA_000025276-RA
A3AQC6	Jaiswal:PITA_000003501-RA
A3AZW5	Jaiswal:PITA_000021147-RA
A3B7R7	Jaiswal:PITA_000004890-RA Jaiswal:PITA_000032119-RA Jaiswal:PITA_000074708-RA Jaiswal:PITA_000077664-RA Jaiswal:PITA_000000899-RA
A3B9A0	Jaiswal:PITA_000033561-RA
A3C4N5	Jaiswal:PITA_000011643-RA
B7E8M5	Jaiswal:PITA_000004562-RA
B7EA04	Jaiswal:PITA_000068140-RA Jaiswal:PITA_000009841-RA Jaiswal:PITA_000048089-RA
B7F4K3	Jaiswal:PITA_000005859-RA
B7F7B9	Jaiswal:PITA_000051806-RA
B7F8T0	Jaiswal:PITA_000040458-RA
B7F956	Jaiswal:PITA_000094695-RA Jaiswal:PITA_000051216-RA Jaiswal:PITA_000094203-RA Jaiswal:PITA_000039132-RA Jaiswal:PITA_000084551-RA Jaiswal:PITA_000093264-RA Jaiswal:PITA_000038519-RA Jaiswal:PITA_000064615-RA Jaiswal:PITA_000094184-RA Jaiswal:PITA_000086372-RA Jaiswal:PITA_000064038-RA
B7F9K3	Jaiswal:PITA_000005859-RA
B7FA34	Jaiswal:PITA_000008521-RA
B7FA90	Jaiswal:PITA_000006891-RA Jaiswal:PITA_000006889-RA
B7FA99	Jaiswal:PITA_000092964-RA Jaiswal:PITA_000095346-RA Jaiswal:PITA_000022940-RA Jaiswal:PITA_000026782-RA Jaiswal:PITA_000068204-RA Jaiswal:PITA_000000261-RA Jaiswal:PITA_000036913-RA Jaiswal:PITA_000095986-RA
B7FAE9	Jaiswal:PITA_000011419-RA
B8AG62	Jaiswal:PITA_000038735-RA
B8AHI9	Jaiswal:PITA_000047646-RA
B8AZ97	Jaiswal:PITA_000016664-RA
B8BB38	Jaiswal:PITA_000003222-RA Jaiswal:PITA_000015395-RA Jaiswal:PITA_000031487-RA Jaiswal:PITA_000002717-RA Jaiswal:PITA_000002709-RA Jaiswal:PITA_000054477-RA Jaiswal:PITA_000015397-RA Jaiswal:PITA_000002703-RA
B8BF84	Jaiswal:PITA_000062340-RA Jaiswal:PITA_000028501-RA
B9EXM2	Jaiswal:PITA_000079748-RA
B9EZJ8	Jaiswal:PITA_000046423-RA Jaiswal:PITA_000072962-RA Jaiswal:PITA_000090942-RA Jaiswal:PITA_000029918-RA Jaiswal:PITA_000026952-RA Jaiswal:PITA_000061174-RA Jaiswal:PITA_000063609-RA Jaiswal:PITA_000045079-RA Jaiswal:PITA_000044561-RA Jaiswal:PITA_000048318-RA Jaiswal:PITA_000069109-RA Jaiswal:PITA_000084631-RA Jaiswal:PITA_000072961-RA Jaiswal:PITA_000086333-RA
B9FM98	Jaiswal:PITA_000086863-RA Jaiswal:PITA_000018756-RA Jaiswal:PITA_000060673-RA
C7IYK7	Jaiswal:PITA_000092964-RA Jaiswal:PITA_000095346-RA Jaiswal:PITA_000022940-RA Jaiswal:PITA_000026782-RA Jaiswal:PITA_000068204-RA Jaiswal:PITA_000000261-RA Jaiswal:PITA_000036913-RA Jaiswal:PITA_000095986-RA
C7J0P3	Jaiswal:PITA_000061438-RA Jaiswal:PITA_000063217-RA
C7J5F5	Jaiswal:PITA_000094683-RA Jaiswal:PITA_000055100-RA Jaiswal:PITA_000016422-RA Jaiswal:PITA_000081414-RA Jaiswal:PITA_000056400-RA Jaiswal:PITA_000094179-RA Jaiswal:PITA_000026524-RA
C7J5T9	Jaiswal:PITA_000094683-RA Jaiswal:PITA_000055100-RA Jaiswal:PITA_000016422-RA Jaiswal:PITA_000081414-RA Jaiswal:PITA_000056400-RA Jaiswal:PITA_000094179-RA Jaiswal:PITA_000026524-RA
E3WF37	Jaiswal:PITA_000051622-RA
