Gene stable ID	Vitis vinifera gene stable ID	%id. target Vitis vinifera gene identical to query gene	%id. query gene identical to target Vitis vinifera gene
BAC19852	VIT_00s0396g00020	28.9231	94.9495
BAC19860	VIT_00s0246g00220	74.1936	72.327
BAC19860	VIT_01s0146g00390	74.8387	72.956
BAC19863	VIT_10s0092g00770	89.1667	85.6
BAC19871	VIT_00s0873g00020	70.9677	93.2203
BAC19872	VIT_00s0873g00010	87.2	87.2
BAC19874	VIT_19s0014g02680	20.7039	39.0625
BAC19875	VIT_00s0629g00020	30.9091	77.2727
BAC19876	VIT_00s0438g00010	79.6154	66.9903
BAC19880	VIT_14s0036g01270	18.806	69.2308
BAC19883	VIT_00s0396g00050	78.125	75.9669
BAC19885	VIT_00s0438g00020	81.3333	82.4324
BAC19885	VIT_12s0055g00090	72	76.0563
BAC19887	VIT_10s0092g00790	75.2688	74.4681
BAC19887	VIT_13s0047g00220	56.9892	50
BAC19889	VIT_04s0044g01280	74.6888	9.32642
BAC19891	VIT_00s0332g00010	30.9735	78.6517
BAC19892	VIT_00s0246g00240	74.4186	67.7249
BAC19893	VIT_00s0332g00130	58.7542	80.0459
BAC19894	VIT_03s0063g02270	9.86239	62.3188
BAC19899	VIT_00s0733g00010	81.336	91.796
CAA33910	VIT_08s0056g01060	19.337	67.9612
CAA33911	VIT_06s0004g07410	20.1018	86.8132
CAA33919	VIT_00s0173g00170	62.1795	76.378
CAA33923	VIT_01s0010g02310	59.1398	82.0896
CAA33923	VIT_03s0038g02780	83.871	83.871
CAA33923	VIT_12s0035g01010	31.1828	65.9091
CAA33924	VIT_17s0000g06990	28.5714	46.4286
CAA33928	VIT_17s0000g06990	28.5714	46.4286
CAA33932	VIT_19s0014g02520	47.9675	80.8219
CAA33935	VIT_17s0000g02610	20.8054	56.3636
CAA33938	VIT_01s0010g02310	59.1398	82.0896
CAA33938	VIT_03s0038g02780	83.871	83.871
CAA33938	VIT_12s0035g01010	31.1828	65.9091
CAA33942	VIT_00s0173g00170	62.1795	76.378
CAA33952	VIT_00s0246g00170	69.4704	71.0191
CAA33953	VIT_00s0246g00180	33.2	58.6572
CAA33953	VIT_11s0037g01360	3.6	12.5874
CAA33954	VIT_00s0246g00200	93.8272	93.8272
CAA33958	VIT_06s0009g02070	16.2162	61.2245
CAA33958	VIT_12s0059g02430	52.4324	80.1653
CAA33960	VIT_05s0020g00350	31.3043	59.5041
CAA33960	VIT_06s0009g02080	22.6087	52
CAA33960	VIT_08s0056g00590	59.1304	60.7143
CAA33961	VIT_11s0016g02030	25.625	67.7686
CAA33962	VIT_00s0332g00110	92.5	92.5
CAA33970	VIT_00s0270g00040	25.1534	63.0769
CAA33975	VIT_00s0505g00060	95.3488	95.3488
CAA33979	VIT_06s0004g05580	10.9792	33.6364
CAA33984	VIT_18s0001g12070	94.1176	94.1176
CAA33991	VIT_10s0003g04310	50.6173	66.129
CAA33993	VIT_17s0053g00440	10.2564	48.5981
CAA33994	VIT_16s0039g00380	43.6893	75
CAA33995	VIT_09s0002g08340	8.85559	59.633
CAA33995	VIT_18s0001g08620	21.3896	63.8211
CAA33998	VIT_14s0030g00680	53.2338	81.0606
CAA34000	VIT_04s0008g00830	28.4553	33.4928
CAA34003	VIT_00s0332g00060	32.1285	70.1754
CAA34003	VIT_14s0068g01700	22.0884	86.6142
CAA34004	VIT_16s0013g00330	18.239	75
CAA34007	VIT_13s0019g02630	98.017	50.5848
CAA34008	VIT_00s0125g00030	11.0701	0.677048
CAA34008	VIT_08s0032g00010	9.7786	52.4752
CAA34013	VIT_00s0275g00010	18.6969	94.2857
CAA34013	VIT_11s0103g00100	26.3456	86.9159
CAA34013	VIT_11s0103g00110	14.7309	66.6667
CAA34013	VIT_12s0055g00080	28.0453	59.2814
Os01g0100100	VIT_00s0226g00020	43.5897	53.7786
Os01g0100100	VIT_00s0226g00160	50.4273	51.9062
Os01g0100400	VIT_02s0154g00080	63.4064	63.621
Os01g0100400	VIT_07s0141g00540	68.1282	67.8992
Os01g0100400	VIT_16s0022g00680	59.1906	59.2905
Os01g0100500	VIT_04s0023g00280	42.1756	39.6768
Os01g0100600	VIT_04s0023g00170	33.5211	38.5113
Os01g0100700	VIT_04s0043g00440	86	84.3137
Os01g0100700	VIT_08s0007g07220	85	73.2759
Os01g0100800	VIT_01s0010g03920	29.2135	28.8889
Os01g0100900	VIT_01s0010g03940	74.7681	75.0466
Os01g0101150	VIT_14s0068g01170	50	49.3902
Os01g0101300	VIT_17s0000g01420	66.8305	64.9165
Os01g0101600	VIT_04s0159g00030	10.9407	58.1522
Os01g0101700	VIT_00s0362g00010	31.9149	28.8462
Os01g0101700	VIT_05s0029g00500	38.2979	33.3333
Os01g0101800	VIT_05s0062g00260	15.8284	20.3036
Os01g0102000	VIT_17s0000g01190	53.7879	54.1985
Os01g0102300	VIT_17s0000g01170	38.9105	44.2478
Os01g0102400	VIT_14s0006g02320	7.12589	23.2558
Os01g0102500	VIT_01s0010g04010	23.494	50.3226
