Gene stable ID	Theobroma cacao gene stable ID	% identity	Theobroma cacao % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	TCM_019958	49	50	1
OS01G0100400	TCM_002664	69	69	1
OS01G0100500	TCM_025345	46	38	1
OS01G0100600	TCM_025347	36	38	1
OS01G0100700	TCM_025037	87	83	0
OS01G0100800	TCM_008646	32	30	1
OS01G0100900	TCM_008631	70	69	1
OS01G0101150	TCM_017341	49	49	1
OS01G0101200	TCM_031540	54	31	1
OS01G0101200	TCM_046722	51	30	1
OS01G0101300	TCM_014636	61	59	1
OS01G0101600	TCM_020243	46	47	0
OS01G0101700	TCM_020242	46	46	0
OS01G0101800	TCM_020199	20	15	1
OS01G0102000	TCM_014656	56	57	1
OS01G0102300	TCM_014654	35	39	1
OS01G0102400	TCM_019356	11	20	0
OS01G0102500	TCM_008611	60	58	1
OS01G0102600	TCM_017289	38	35	1
OS01G0102700	TCM_017300	49	51	0
OS01G0102800	TCM_003990	67	50	1
OS01G0102900	TCM_008357	41	38	1
OS01G0102900	TCM_017342	41	24	1
OS01G0103000	TCM_044333	75	74	0
OS01G0103100	TCM_008311	65	62	0
OS01G0103600	TCM_003533	61	62	1
OS01G0103700	TCM_006006	29	4	1
OS01G0103800	TCM_034789	45	48	1
OS01G0103900	TCM_014790	48	35	0
OS01G0104000	TCM_006003	63	65	1
OS01G0104100	TCM_044553	54	62	1
OS01G0104400	TCM_026029	41	28	0
OS01G0104500	TCM_026028	43	36	1
OS01G0104600	TCM_007636	70	65	1
OS01G0104800	TCM_025480	33	31	1
OS01G0104900	TCM_034101	44	46	1
OS01G0105700	TCM_000306	22	21	1
OS01G0105700	TCM_034098	27	25	1
OS01G0105800	TCM_022577	42	62	0
OS01G0105900	TCM_034073	66	66	1
OS01G0106200	TCM_006859	70	71	1
OS01G0106300	TCM_046677	49	48	1
OS01G0106400	TCM_046677	52	50	1
OS01G0106700	TCM_012074	47	38	1
OS01G0106800	TCM_037519	79	84	0
OS01G0106900	TCM_012070	79	76	1
OS01G0107700	TCM_015934	50	49	1
OS01G0107900	TCM_012049	51	49	1
OS01G0108000	TCM_001634	47	48	1
OS01G0108200	TCM_046888	68	68	0
OS01G0108200	TCM_046889	72	66	0
OS01G0108400	TCM_010318	18	30	0
OS01G0108400	TCM_010319	23	31	0
OS01G0108400	TCM_010340	22	30	0
OS01G0108400	TCM_012044	26	29	0
OS01G0108400	TCM_042996	20	28	0
OS01G0108400	TCM_042999	18	25	0
OS01G0108400	TCM_043003	17	13	0
OS01G0108600	TCM_010318	23	37	0
OS01G0108600	TCM_010319	27	35	0
OS01G0108600	TCM_010340	22	30	0
OS01G0108600	TCM_012044	34	36	0
OS01G0108600	TCM_042996	22	30	0
OS01G0108600	TCM_042999	22	31	0
OS01G0108600	TCM_043003	21	15	0
OS01G0108800	TCM_010315	43	17	1
OS01G0109300	TCM_010313	63	66	0
OS01G0109300	TCM_016870	64	51	0
OS01G0109700	TCM_010128	60	55	0
OS01G0109700	TCM_017920	52	49	0
OS01G0110100	TCM_011897	63	61	1
OS01G0110400	TCM_002426	73	75	0
OS01G0110400	TCM_030451	74	73	0
OS01G0110500	TCM_011904	48	46	1
OS01G0110500	TCM_019607	48	44	1
OS01G0110700	TCM_011892	74	72	1
OS01G0110800	TCM_011886	50	47	1
OS01G0110800	TCM_014483	47	50	1
OS01G0111100	TCM_012238	53	47	0
OS01G0111200	TCM_011884	47	43	0
OS01G0111200	TCM_012240	39	34	0
OS01G0111200	TCM_016705	32	34	0
OS01G0111200	TCM_019522	46	48	0
